Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dhanbad,2840852,1946201,576018,392338,1895902
giridih,2771162,1717850,454419,893053,1490421
gumla,894488,555510,220350,206901,475412
chatra,1197148,700721,198919,273787,738603
pakaur,0,0,0,0,0
palamu,1865171,1197271,226543,476600,1189457
purbisinghbhum,2467215,1712084,571002,350313,1547850
sahibganj,1281290,639669,347216,207275,730448
pashchimisinghbhum,1275934,670250,274610,337420,672238
hazaribagh,1513675,986063,256525,369285,920095
kodarma,857787,535191,164052,150449,545704
dumka,1145156,663381,168742,434289,587016
lohardaga,519763,334331,104058,177727,256605
deoghar,1688299,1031486,304100,332258,1065750
ranchi,2981077,2157320,758796,421187,1803871
bokaro,2221327,1495796,404521,404891,1434706
garhwa,1495085,938126,152463,601799,818881
godda,1470626,779235,234269,415864,839650
