Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
bijapur,2177331,1248268,760082,167639,1249608
davanagere,1945496,1308539,705098,170107,1070290
gadag,1064570,700177,423450,72270,568847
bellary,2452595,1421620,969388,147491,1335715
mysore,3001126,1962180,1082108,232160,1686858
shimoga,1752753,1263016,652788,127809,972155
raichur,1928811,979769,725985,177427,1025399
kolar,1536401,1016218,584590,133282,818528
dharwad,1847023,1301664,690947,93884,1062190
bangalore,9621551,7512275,3858342,388585,5374624
dakshinakannada,2089649,1666322,914476,83244,1091928
haveri,1597668,1085443,601950,128115,867601
bidar,1703299,1042672,551763,150844,1000692
gulbarga,2566326,1427368,844237,242791,1479297
tumkur,2678980,1813390,1078431,276214,1324334
kodagu,554518,412876,258752,20185,275581
chitradurga,1659455,1087392,667478,189107,802868
uttarakannada,1437169,1081906,498303,110222,828643
hassan,1776420,1225255,752387,151193,872840
koppal,1389920,809085,508088,146676,735154
chamarajanagar,1020790,565279,381408,100284,539098
belgaum,4779661,3052031,1734501,371167,2673992
mandya,1805769,1149649,714901,156507,934361
chikmagalur,1137961,818344,480228,85545,572187
udupi,1177361,926428,459446,53795,664120
bangalorerural,990922,688748,389988,69901,531031
bagalkot,1889752,1113411,676407,141673,1071670
