Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nagpur,4977465,4081720,1879242,195639,2922408
sindhudurg,840223,694345,222979,101283,522979
buldana,2783645,2152461,1222663,114622,1448506
akola,1913359,1573531,752801,83391,1079165
solapur,4572803,3248461,1920607,98069,2592806
sangli,2949594,2238569,1142109,101657,1743789
washim,1296827,1021606,566732,71048,661155
hingoli,1285765,953958,574149,59102,653205
pune,10766654,8555602,4466948,292286,6033920
nashik,6753772,5123090,2898763,224949,3648851
jalna,2158999,1401127,992015,78403,1101330
osmanabad,1750310,1299693,789190,61642,910098
ahmadnagar,4817389,3471259,2294643,135302,2420132
chandrapur,2274089,1732254,873002,256781,1149058
mumbai(suburban),0,0,0,0,0
latur,2665645,1893433,1121337,66536,1499436
wardha,1334025,1106385,586874,63888,695636
jalgaon,4533307,3186815,1848625,200345,2500817
bid,2827161,2021925,1361435,89882,1397268
yavatmal,2944128,2319583,1340817,156770,1456501
satara,3106120,2403262,1260943,138473,1725571
thane,12898724,9940248,4671911,668301,7563168
raigarh,2877269,2237554,976220,198468,1714923
gondiya,1387964,1119286,456662,257019,675850
nandurbar,1847709,1111270,799570,117395,945839
aurangabad,4183627,2976589,1718163,118333,2363867
gadchiroli,1128269,851596,424239,209165,496652
nanded,3633669,2540837,1539878,151893,1972096
mumbai,2966363,2469195,1189162,83245,1697950
amravati,3040271,2480065,1147564,168853,1727245
parbhani,2012882,1357262,879184,58717,1085497
ratnagiri,1575702,1254785,553657,139901,885218
kolhapur,4065458,3089374,1568832,170139,2340619
dhule,2247333,1442672,991074,90574,1194615
bhandara,1233775,972367,440375,189803,604921
