Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jammu & Kashmir,438916,244981,272980,180782,67471,148267,16219,19872,2898,16974,165985,95472,177639,197511,47437,9256.0,193820,3958,12605,143067,937,13536,9671,652.0,15587,16239,18260,504.0,269964,2300931,172925,208034,81675,82139,82801,194477,199063,149.0,108743,395593,244.0
Anantnag,27664,22977,18914,12823,2431,12734,395,173,84,89,16328,11718,16716,16889,3770,304.0,16512,579,1513,16511,976,2048,0,2.0,475,477,591,0.0,13639,86910,16883,17522,9085,8136,7666,14087,14087,0.0,8050,24715,31.0
Badgam,13987,12794,11798,13041,1310,6955,113,70,5,65,4386,2852,4388,4458,625,,4447,17,35,4148,1024,521,3,13.0,273,286,1150,15.0,25393,139764,5238,5750,5712,5927,6009,12204,12236,0.0,4139,12051,
Bandipora,7188,5364,6857,4783,1693,4750,428,209,60,149,3377,3118,3377,3586,307,,3577,91,97,3284,975,251,2,13.0,115,128,216,,3888,29015,2895,4136,3054,2996,2934,6088,5891,13.0,1415,7595,
Baramula,26011,14135,19799,15088,5688,14259,391,504,42,462,9705,6625,10765,11269,2232,845.0,10831,168,260,8558,960,1080,54,0.0,262,262,1279,,21570,129031,10797,12348,9427,9288,8695,16972,17035,48.0,7153,39950,9.0
Doda,7455,5776,4088,5251,3504,2318,9,2511,8,2503,4264,3035,4264,6775,685,,6743,45,144,4511,897,129,195,0.0,627,627,344,,11520,58386,4164,6919,1735,1860,1322,6172,6209,0.0,1844,18414,11.0
Ganderbal,5574,5095,5488,4451,449,2487,134,34,4,30,2347,1966,2347,2381,320,,2372,21,51,2336,964,116,0,3.0,244,247,545,,6994,62284,2832,3076,2675,2662,2553,4825,2078,75.0,1419,10783,
Jammu,123154,25394,65360,15620,9895,38314,10920,568,27,541,25679,15924,28483,29051,9705,1914.0,28773,930,2810,18517,883,2273,2673,118.0,2747,2865,2056,111.0,19120,334040,27760,30190,9238,9677,10298,18894,18191,0.0,21117,53621,
Kargil,2613,1337,1765,1811,1104,1002,150,179,88,91,2142,1873,2142,2321,215,,2425,53,180,1919,994,152,3,0.0,91,91,803,,2339,8521,1858,2311,1234,1257,1244,2271,993,0.0,534,6155,18.0
Kathua,10887,5208,8776,9518,5559,5802,518,2577,5,2572,5314,3282,5661,8238,1538,313.0,8126,154,39,6477,862,504,336,85.0,1216,1301,968,,20080,276727,5430,9830,5080,5619,5965,11059,11054,0.0,2722,5599,4.0
Kishtwar,5581,2697,2895,4418,2206,369,6,819,15,804,3845,2722,3845,4664,685,,4601,133,401,4089,878,283,51,,381,381,317,,4241,18437,4233,4722,462,593,1324,3128,3085,,1097,13977,15.0
Kulgam,9738,8014,7047,8105,2365,5907,71,644,39,605,3627,3369,3627,4271,247,,4250,83,283,3796,942,147,2,0.0,74,74,404,,11746,62009,3851,4953,2410,2216,2048,7937,8990,0.0,7028,6165,
Kupwara,17587,13476,10394,10166,3741,5626,115,719,474,245,10274,7976,10274,10993,1297,,10550,260,367,9208,986,849,7,4.0,624,628,1641,,17101,73203,8347,11292,2558,2870,2993,15553,14290,0.0,4605,46511,51.0
Leh Ladakh,2828,1141,1182,1630,1276,660,29,87,38,49,1935,1355,1935,2022,320,,2167,50,227,1780,961,188,45,12.0,51,63,582,,935,2986,1966,1456,806,745,758,1254,1218,0.0,1268,4920,18.0
Poonch,11726,5055,10936,10764,1259,11092,366,2736,509,2227,7318,5667,7318,10054,1090,,9843,277,611,7471,892,847,1246,0.0,1062,1062,1248,,9555,75667,5550,9581,1340,1233,1201,8722,8802,1.0,3263,8372,51.0
Pulwama,9272,7636,7511,7859,778,5143,27,78,4,74,4404,2754,5028,5106,1638,614.0,5048,74,52,3319,963,652,0,2.0,273,275,282,2.0,10319,67073,5744,5977,5203,5197,4890,8659,8392,0.0,4461,14759,17.0
Rajouri,14386,7862,10491,10919,7821,1810,184,2292,714,1578,9742,7743,10032,12324,885,185.0,12127,147,551,11213,976,616,1853,11.0,1182,1193,1844,15.0,27614,249729,8726,15013,3283,3629,4127,12638,12461,0.0,2741,55279,
Ramban,6039,3529,2822,3625,2089,4857,318,1633,444,1189,3922,3372,3922,5555,245,,5455,121,113,4970,937,253,521,1.0,359,360,511,,11247,40930,4681,5578,2742,2751,2644,4468,2928,0.0,685,7075,3.0
Reasi,6535,2311,2902,3836,3074,982,0,1426,68,1358,2704,1231,2704,4130,119,,4158,91,118,2398,915,256,196,45.0,595,640,603,,10781,100132,3969,4910,3707,3484,3456,4698,4781,0.0,382,9839,
Samba,5035,2085,3578,3361,1428,2860,37,294,8,286,1983,1126,1983,2277,412,,2268,3,91,1754,896,338,617,30.0,869,899,359,,7810,120508,3070,3070,1767,1837,2040,5184,4400,0.0,1843,5995,
Shopian,4755,2853,3544,3663,580,1981,1,176,0,176,1510,1170,1510,1686,328,,1657,33,4,1631,980,114,12,1.0,125,126,325,,5059,28800,2151,2672,2340,2293,2021,3821,3753,0.0,1450,7442,9.0
Srinagar,104812,84442,57426,20054,8664,13962,1910,1,1,0,33534,1226,38621,38622,19541,4974.0,38024,498,3761,16796,978,1213,0,0.0,2241,2241,753,160.0,12474,134018,34688,35303,7541,7287,7286,15847,28266,12.0,29621,21811,2.0
Udhampur,16089,5800,9407,9996,557,4397,97,2142,261,1881,7645,5368,8697,10839,1233,107.0,9866,130,897,8381,845,706,1855,312.0,1701,2013,1439,201.0,16539,202761,8092,11425,276,582,1327,9996,9923,0.0,1906,14565,5.0
