Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jharkhand,665252,,350803,471784,660767,,,312731,130739,181992,189700,,190401,503132,4.0,,497729,6333,47633,5401.0,896,3619.0,3512.0,11598.0,82434,94032,103369,766.0,1126767,12625066,298021,734856,703699,652481,621554,637320,593240,,,,3040.0
Bokaro,26083,,16624,21790,22686,,,16047,5684,10363,8421,,8421,24468,,,24233,235,2881,,931,938.0,938.0,4650.0,7762,12412,4110,,72603,712482,15046,36229,39352,36199,35889,34422,28175,,,,106.0
Chatra,22769,,11681,16675,22569,,,11102,4400,6702,5799,,5799,16901,,,16782,119,1776,,836,,,2.0,317,319,3416,,8839,473647,8709,26384,24803,22864,21306,20525,16535,,,,
Deoghar,27925,,14876,19220,27925,,,10506,3700,6806,11363,,11363,21869,,,21498,371,283,,955,166.0,166.0,59.0,5765,5824,6629,,24922,269150,14284,30528,29716,27478,25822,25375,25075,,,,193.0
Dhanbad,42658,,23243,30205,42494,,,16367,6927,9440,10069,,10069,26436,,,26321,115,7539,,957,199.0,199.0,585.0,9008,9593,11250,,208377,1715108,21871,56788,57180,54144,53205,54249,38551,,,,
Dumka,26142,,16672,21454,26142,,,12458,6951,5507,8509,,8509,20967,,,20819,148,1675,1268.0,773,80.0,77.0,102.0,349,451,1914,,38846,92189,15238,26123,25004,22356,20901,23969,23969,,,,
Garhwa,32592,,18439,22320,32573,,,15060,8062,6998,10798,,10798,25858,,,25466,392,1852,3279.0,931,8.0,8.0,106.0,3013,3119,3955,,44982,491691,10708,34859,34497,33227,32738,30561,26794,,,,162.0
Giridih,26948,,15333,20997,26657,,,12687,6853,5834,11637,,11637,24324,,,24034,290,1754,,939,234.0,234.0,249.0,1370,1619,4163,,62031,533498,11893,53622,51480,48671,44866,36854,34432,,,,72.0
Godda,26628,,14191,21260,26628,,,11100,4605,6495,6017,,6017,17117,,,16947,206,2164,854.0,890,171.0,171.0,158.0,3048,3206,1878,766.0,31802,286400,7107,28469,25914,20784,19412,24844,24744,,,,84.0
Gumla,25781,,13498,20602,25781,,,15799,6937,8862,6142,,6142,21941,,,21597,344,1105,,863,89.0,89.0,495.0,1511,2006,4114,,40032,387825,9476,24721,23798,23428,22569,21921,21921,,,,202.0
Hazaribagh,32057,,16706,22055,32057,,,19313,5867,13446,8821,,8821,28134,,,27933,218,3018,,896,453.0,453.0,342.0,18605,18947,4714,,73228,663076,19427,36612,34533,32041,30499,31225,27412,,,,80.0
Jamtara,16125,,7994,10109,16125,,,8265,3174,5091,3901,,4035,12300,,,12098,202,1549,,818,16.0,16.0,,1948,1948,3111,,32419,23309,8131,18423,19349,17551,16920,16145,15953,,,,38.0
Khunti,12738,,6886,9533,12738,,,6027,2075,3952,2332,,2332,8359,,,8314,45,627,,828,81.0,81.0,80.0,212,292,2901,,24218,238000,7150,12954,13355,12511,11388,13201,12949,,,,59.0
Kodarma,13997,,7203,10424,13997,,,5400,2397,3003,3140,,3140,8540,,,8408,132,846,,845,,,32.0,1439,1471,2130,,6080,101103,7252,17593,17032,15491,14417,15187,15055,,,,60.0
Latehar,17643,,8753,12876,17423,,,11717,5307,6410,3576,,3576,15293,,,15585,255,1847,,838,8.0,8.0,213.0,1345,1558,4918,,23085,248967,5924,18806,18446,17932,17115,17895,17323,,,,119.0
Lohardaga,11152,,5880,7123,11152,,,6029,1970,4059,4120,,4120,10149,,,10078,101,652,,853,158.0,54.0,123.0,1177,1300,970,,34047,341368,3097,11536,11219,10750,10480,9956,9956,,,,37.0
Pakaur,22183,,10930,15094,22043,,,7494,3048,4446,5707,,5782,13276,,,13150,126,2410,,814,1.0,1.0,172.0,1623,1795,2295,,22631,185209,12667,21016,19959,19423,17756,17967,17967,,,,76.0
Palamu,49054,,24569,33752,49029,,,30369,23169,7200,13229,,13229,43598,4.0,,42981,617,3531,,924,,,150.0,5842,5992,8593,,56070,974169,22936,48334,45751,44382,42548,40143,33748,,,,
Pashchimi Singhbhum,35373,,17706,23778,35373,,,17756,6614,11142,5279,,5771,23527,,,23439,198,1994,,926,55.0,55.0,766.0,624,1390,3181,,49740,455882,7751,34731,32929,29896,28333,32374,32374,,,,335.0
Purbi Singhbhum,51459,,26089,31575,51459,,,12758,3990,8768,23625,,23625,36383,,,35767,616,2508,,926,357.0,357.0,1142.0,6554,7696,3322,,67194,741417,22203,44993,41260,37701,36706,42720,42520,,,,579.0
Ramgarh,13705,,7273,11134,13705,,,8710,2571,6139,4705,,4705,13415,,,13327,88,1092,,870,,,218.0,422,640,1979,,20597,186900,6994,15672,13895,11565,11125,11384,11384,,,,4.0
Ranchi,41436,,21152,28751,41436,,,20330,5024,15306,18395,,18395,38725,,,38168,747,3373,,956,579.0,579.0,1486.0,8258,9744,12841,,86100,2426601,30796,56672,52708,48955,45448,49153,49153,,,,352.0
Sahibganj,33962,,17140,24327,33962,,,12031,4047,7984,6432,,6432,18463,,,18198,265,1150,,884,,,14.0,1088,1102,4385,,38641,340928,11800,29233,25456,22753,21015,24702,24702,,,,92.0
Saraikela,23685,,12066,16427,23656,,,13522,3755,9767,2957,,2957,16479,,,16232,247,917,,883,14.0,14.0,125.0,333,458,2870,,26147,405211,6771,24452,22271,20208,19237,18759,18759,,,,312.0
Simdega,33157,,15899,20303,33157,,,11884,3612,8272,4726,,4726,16610,,,16354,256,1090,,862,12.0,12.0,329.0,821,1150,3730,,34136,330936,10790,26106,23792,22171,21859,23789,23789,,,,78.0
