Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1196698,871411,1139602,1208346,864069,982363,41147,8202,3774,4428,598292,113709,884610,892812,99118,104773,892339,10459,94469,850493,945,30335,10895,1006,321139,322145,158367,30460,1485156,13374962,863393,1127020,17095,16275,15613,1044281,1026880,3136,391846,392485,6760
Bagalkote,42939,30619,43757,44707,22075,45195,2097,110,71,39,17873,643,43675,43785,708,7991,43527,325,5039,42724,936,248,40,22,11340,11362,7587,39,73850,571688,33332,53318,1263,1171,1128,40605,40449,31,15424,18147,166
Bangalore Rural,16277,12494,15897,15948,13347,14053,656,27,13,14,4986,1219,9492,9519,575,2528,9471,65,829,9247,952,1075,171,23,4030,4053,2004,971,26799,282985,8860,10229,0,2,1,14226,14349,1,12205,26060,54
Bangalore Urban,222156,125478,171532,187255,182977,81075,2809,12,4,8,68112,5340,106198,106210,16774,10766,107404,266,5709,102713,971,2784,2289,160,60960,61120,27574,7822,271394,2339541,113373,122757,1125,958,894,118197,121141,7,39931,39175,247
Belgaum,96691,73068,91300,92869,81027,96686,4041,125,99,26,41193,4436,70275,70400,4790,7265,71055,818,9895,67405,929,1739,540,132,22954,23086,14803,2018,55465,336026,71189,101487,1369,1326,1362,89272,85008,69,29008,33599,335
Bellary,64557,53263,58520,71450,41983,66271,3853,639,246,393,34113,6101,44748,45387,4002,5838,44835,882,3505,42101,945,1351,394,17,16697,16714,9640,1362,76114,613842,35463,65942,473,461,502,60016,56709,36,6162,5392,560
Bidar,34041,24317,35307,40960,24302,47865,2279,261,171,90,27957,7255,33781,34042,2976,1658,34077,467,2039,33635,939,820,174,114,6507,6621,1496,303,43932,274563,30633,41625,243,231,254,31665,32573,37,6062,4986,325
Bijapur,56245,35992,52874,60954,27285,30578,984,573,333,240,24572,4433,36059,36632,892,2625,36571,348,3454,35372,948,580,136,50,13447,13497,7690,399,57950,528493,36967,70216,1257,1121,1237,49452,47521,7,19764,28232,491
Chamrajnagar,13928,12204,12813,14336,9277,10690,267,58,30,28,9716,22,11843,11901,1554,798,10767,137,1267,10475,944,396,131,1,4699,4700,1926,143,29120,372918,10427,11120,35,36,56,13557,13096,110,4994,4840,79
Chikkaballapur,20866,17286,21241,23312,16070,16703,937,169,48,121,12566,4454,13072,13241,2552,274,13427,188,1993,12318,940,441,238,8,4045,4053,3625,13,11285,135895,16009,18210,1193,1080,1477,21765,25080,993,3053,2214,80
