Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,304185,195655,224845,250261,106926,31598,881,773,86.0,687,77660,24827,245030,245803,29259,49901,244891,1096,22038,200187,956,11490,3693,1402,49114,50516,27374,3319,167234,3973956,249538,267117,271541,263857,259538,249761,245670,620,62197,44188,228.0
Alappuzha,14556,10415,11204,13908,2486,363,16,5,2.0,3,6224,1967,10795,10800,2906,2269,10796,47,1019,9878,907,628,286,106,2670,2776,1101,115,9207,152205,11927,11938,14218,13746,13822,13862,13749,35,1377,745,22.0
Ernakulam,30368,24616,24003,29363,6871,1677,15,9,1.0,8,4645,1206,20400,20409,3108,8683,20480,33,1437,20452,962,1019,493,94,5401,5495,1953,535,23035,453220,25908,26647,25194,25212,26458,26126,25282,295,6726,4027,21.0
Idukki,9232,7880,8953,8319,7540,1561,26,65,4.0,61,2435,1681,7218,7283,943,2240,7298,30,404,7229,920,360,277,145,1907,2052,1785,51,8017,154418,8923,8942,10286,10295,10195,8567,8476,11,2331,5855,4.0
KOZHIKKODE,25857,19426,20015,22178,9239,1936,7,23,11.0,12,12287,2565,26768,26791,3652,3688,26542,226,3145,23776,943,1671,148,116,3572,3688,2425,46,11223,349246,26510,30418,27135,26110,24649,22998,26118,9,401,356,60.0
Kannur,24891,12355,17493,17840,3679,1911,153,29,9.0,20,5557,674,22343,22372,2739,2586,22288,127,1061,8764,964,802,102,147,2250,2397,2678,61,7776,314159,19338,20292,20009,19271,20309,19674,21232,15,4349,4717,14.0
Kasaragod,11658,7508,8128,12948,381,1614,36,29,3.0,26,1460,811,13402,13431,308,1808,13537,29,389,10251,916,875,21,71,1329,1400,1408,98,6893,128584,8994,12949,11767,11594,11350,10525,10400,91,862,870,4.0
Kollam,25112,16770,17914,18432,2077,3698,25,23,6.0,17,6694,1083,16714,16737,3654,5116,16532,22,1007,15608,963,663,188,1,3440,3441,2015,184,14215,270899,16063,16174,17847,17894,18381,18498,18671,7,4264,2555,3.0
Kottayam,18343,12515,16259,12855,12735,873,45,2,1.0,1,4975,962,10599,10601,1914,2228,10515,32,1002,7375,974,593,514,205,3107,3312,3102,44,17816,272874,12852,12614,13366,13321,13228,12893,12674,26,3827,1626,
Malappuram,40465,21733,24671,33338,27819,6377,96,191,26.0,165,7605,9276,40380,40571,1471,6482,39987,223,4500,30840,933,1580,45,110,5406,5516,2444,797,18248,389212,38983,42196,40329,37624,36182,31134,28874,24,10676,4335,19.0
Palakkad,22715,14465,16327,20888,3610,1145,20,119,8.0,111,3854,1276,19247,19366,981,4107,19379,58,2427,14152,965,896,113,148,5849,5997,2588,416,13369,308800,20633,21025,24632,23924,23432,21504,20816,30,2073,8883,13.0
Pathanamthitta,13920,8477,7850,9903,6638,467,60,11,,11,2164,484,8184,8195,1119,2112,8256,16,833,5599,961,299,398,97,2313,2410,1086,165,1003,85391,8992,9191,9781,9090,4588,8454,8003,1,2427,1714,
Thiruvananthapuram,31676,16711,25005,20929,6327,3843,121,17,4.0,13,12576,945,23709,23726,3992,3516,23759,165,2466,22741,977,1407,756,34,5367,5401,1803,221,11875,556058,20522,23467,26338,25053,25052,25860,24678,14,15117,3246,63.0
Thrissur,27373,16910,19982,23107,10439,2755,35,7,2.0,5,3412,1747,18133,18140,1625,4572,18150,15,1485,16420,1023,195,180,42,4929,4971,2087,529,16495,285150,23475,23352,22861,22913,24103,23248,21163,19,6557,4180,1.0
Wayanad,8019,5874,7041,6253,7085,3378,226,243,9.0,234,3772,150,7138,7381,847,494,7372,73,863,7102,969,502,172,86,1574,1660,899,57,8062,253740,6418,7912,7778,7810,7789,6418,5534,43,1210,1079,4.0
