Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,565673,470740,494655,11348,392906,114179,2122,795,156,639,138510,1951,452127,452922,56563,128429,492964,2057,54836,401343,964,12175,2811,730,62595,63325,33825,6825,69526,3874191,478209,500958,1120,888,866,264902,495624,2357,317955,563848,2665
Alappuzha,29064,24338,26408,369,22609,3958,30,23,10,13,8580,58,16895,16918,4162,4914,19139,24,2166,15373,981,532,316,221,2872,3093,2229,129,7016,228340,17206,17781,3,5,13,13426,21136,129,23679,37841,66
Ernakulam,64354,50417,49776,1463,28232,13109,272,37,9,28,7855,30,40126,40163,4179,16645,47239,129,6216,28740,965,1023,230,59,5990,6049,2700,830,19381,581294,45992,46635,40,20,35,30960,51441,287,49833,105256,116
Idukki,14376,12271,16541,442,13119,6507,145,52,12,40,3391,25,10045,10097,1699,3285,10838,49,1380,9941,954,668,291,32,1742,1774,1684,84,3667,204002,11170,11467,47,19,10,8336,15879,22,14258,24216,51
KOZHIKKODE,53077,45163,44331,1263,46227,7106,82,12,5,7,23427,56,54657,54669,8631,12516,52624,551,6680,52693,946,678,196,14,7165,7179,3088,520,6350,241601,57349,57769,39,21,17,22562,43947,213,16189,18856,500
Kannur,45689,37076,33265,425,37683,5568,123,43,19,24,11078,93,27266,27309,5131,6334,37878,181,4044,26021,953,467,83,46,4621,4667,2600,81,2072,132435,35962,37112,71,44,53,18528,36007,120,9976,37896,126
Kasaragod,25998,21836,24834,949,27017,9149,96,24,6,18,3880,8,20227,20251,1113,3935,20299,87,1838,14094,936,1029,49,33,1166,1199,1946,313,2896,240289,27152,27430,9,2,18,15945,30366,93,4810,8933,200
Kollam,35714,30580,33412,343,28520,5533,91,25,7,18,9842,44,26341,26366,4830,9180,27596,48,2201,24629,971,612,133,3,6006,6009,2299,309,3644,180812,26696,28650,2,12,11,14282,30893,693,13163,37978,175
Kottayam,20719,17334,22877,802,22707,1365,24,6,3,3,9085,584,23325,23331,3627,6585,23600,138,3030,21905,960,618,267,112,3030,3142,3115,226,7092,296653,23943,24422,98,6,12,12344,23249,23,22205,50671,246
Malappuram,109983,89970,85612,2255,54327,12375,458,239,31,208,12662,146,85305,85544,3849,22414,91363,285,9912,80362,970,2148,117,24,6861,6885,3104,1896,1621,269317,78320,88633,94,70,60,39020,80832,191,55768,43281,466
Palakkad,43535,36341,36969,1010,30035,8229,176,60,7,53,8851,9,36727,36787,3316,9314,37004,69,3966,25996,960,835,236,10,6983,6993,3505,541,3301,268925,38135,40579,213,181,197,22397,40405,116,14090,18515,75
Pathanamthitta,12643,10549,19703,259,18575,4155,24,15,5,10,4066,1,14367,14382,1840,6337,14711,25,2009,13619,966,604,144,6,2757,2763,1324,187,1786,109019,14781,14923,7,7,13,6075,12057,12,16190,21821,11
Thiruvananthapuram,53966,46564,46690,686,36920,21331,297,30,13,17,21011,284,40342,40372,9187,9594,52962,273,5420,33489,969,956,696,22,5800,5822,2221,511,5085,821248,48283,48860,180,166,172,31316,51794,257,38060,36481,388
Thrissur,42164,34919,36106,293,22986,8760,168,13,1,12,9451,613,41905,41918,3637,14415,42761,123,3679,41551,976,1193,23,40,6227,6267,2755,953,4091,175114,37131,40219,281,275,236,21140,42519,28,34752,114090,183
Wayanad,14391,13382,18131,789,3949,7034,136,216,28,188,5331,0,14599,14815,1362,2961,14950,75,2295,12930,990,812,30,108,1375,1483,1255,245,1524,125142,16089,16478,36,60,19,8571,15099,173,4982,8013,62
