Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Madhya Pradesh,2109976.0,917299.0,1631531.0,1822339.0,1727697.0,157305.0,16765.0,350789.0,113850.0,236939.0,1255679.0,629488.0,1408675.0,1759464.0,25287.0,12197.0,1737868.0,32200.0,356916.0,1092064.0,928,22819.0,17162.0,34008.0,417754.0,451762.0,497352.0,63474.0,6694867.0,85253445.0,1198074.0,1901042.0,1900659.0,1793827.0,1765627.0,1835609.0,1899629.0,786.0,30271.0,71641.0,12267.0
Agar Malwa,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Alirajpur,25573.0,8007.0,20873.0,20392.0,24441.0,793.0,10.0,6604.0,1099.0,5505.0,14315.0,12048.0,18629.0,25233.0,66.0,64.0,24247.0,1025.0,5907.0,24246.0,982,258.0,218.0,9.0,4744.0,4753.0,7280.0,,9536.0,41414.0,25164.0,25164.0,22271.0,21499.0,21991.0,21933.0,21934.0,,3.0,21.0,
Anuppur,21800.0,5967.0,13345.0,19463.0,14154.0,10.0,,106.0,45.0,61.0,14540.0,14540.0,14540.0,14646.0,,,14540.0,122.0,2528.0,11203.0,868,28.0,28.0,1029.0,4118.0,5147.0,4947.0,,5143.0,30838.0,14063.0,14540.0,18017.0,19324.0,17595.0,21012.0,21012.0,,,,
Ashok Nagar,45173.0,16418.0,31110.0,21427.0,40536.0,1677.0,425.0,8499.0,5295.0,3204.0,34974.0,11222.0,35628.0,44127.0,,70.0,43229.0,356.0,4372.0,38204.0,900,45.0,147.0,1213.0,8350.0,9563.0,6981.0,,62055.0,719613.0,40762.0,42242.0,41182.0,21438.0,21150.0,41768.0,20995.0,3.0,1683.0,296.0,611.0
Balaghat,33609.0,19219.0,28906.0,32269.0,29211.0,,,5544.0,,5544.0,23581.0,19811.0,25439.0,30983.0,1591.0,1016.0,29809.0,874.0,6265.0,22508.0,880,386.0,76.0,1746.0,8508.0,10254.0,1802.0,,68809.0,362653.0,,30736.0,29583.0,29261.0,29663.0,28140.0,28140.0,,,,1137.0
Barwani,37316.0,17427.0,26502.0,33857.0,36971.0,,,11119.0,1024.0,10095.0,24540.0,24386.0,24725.0,35844.0,141.0,112.0,35472.0,445.0,8311.0,23081.0,945,545.0,213.0,61.0,9463.0,9524.0,5198.0,,113619.0,2273087.0,32302.0,32128.0,48230.0,35279.0,36840.0,32789.0,32789.0,,,,992.0
Betul,39711.0,18804.0,33377.0,31117.0,31498.0,3158.0,784.0,8082.0,870.0,7212.0,21366.0,11789.0,24236.0,32318.0,240.0,179.0,32072.0,400.0,6298.0,20023.0,934,685.0,86.0,349.0,9740.0,10089.0,5715.0,,182160.0,3233665.0,14162.0,31965.0,31415.0,31735.0,30561.0,31820.0,31919.0,41.0,506.0,570.0,100.0
Bhind,47455.0,22954.0,39140.0,46278.0,46389.0,558.0,43.0,6103.0,757.0,5346.0,27847.0,26141.0,28399.0,34502.0,27.0,,33871.0,300.0,2114.0,15390.0,949,744.0,312.0,366.0,6795.0,7161.0,16171.0,,262792.0,4108953.0,40634.0,40634.0,43411.0,42234.0,41815.0,46618.0,46618.0,,987.0,134.0,116.0
Bhopal,77433.0,15090.0,62343.0,50460.0,54342.0,18121.0,1903.0,5334.0,4113.0,1221.0,40121.0,22260.0,46845.0,52179.0,2423.0,144.0,53334.0,191.0,147.0,53304.0,927,,1808.0,1135.0,8466.0,9601.0,6890.0,6.0,137239.0,2056243.0,53625.0,59996.0,64871.0,62519.0,59629.0,58960.0,58960.0,,195.0,346.0,
Burhanpur,22459.0,9006.0,14851.0,20617.0,18881.0,830.0,190.0,4326.0,1668.0,2658.0,16280.0,2056.0,17257.0,21583.0,273.0,180.0,21375.0,232.0,2321.0,1890.0,840,108.0,95.0,670.0,1824.0,2494.0,2400.0,,48958.0,524403.0,6922.0,23771.0,22264.0,21574.0,20429.0,22560.0,20738.0,11.0,,,68.0
Chhatarpur,48634.0,23218.0,33973.0,44693.0,28490.0,,,4762.0,709.0,4053.0,34711.0,,37034.0,41796.0,703.0,505.0,41287.0,537.0,2891.0,,896,549.0,885.0,286.0,8604.0,8890.0,14325.0,,182044.0,2899880.0,25675.0,43365.0,47987.0,43685.0,40773.0,42580.0,42580.0,19.0,,,
Chhindwada,46522.0,7785.0,4344.0,27531.0,25474.0,210.0,117.0,4650.0,3049.0,1601.0,19996.0,5022.0,20017.0,24667.0,1400.0,5.0,18370.0,238.0,1260.0,4541.0,1046,81.0,162.0,2515.0,1448.0,3963.0,7238.0,24.0,110966.0,1008995.0,16896.0,47570.0,42481.0,38627.0,37961.0,42429.0,152390.0,,432.0,948.0,
Damoh,36812.0,14856.0,28869.0,33366.0,16934.0,,,12970.0,,12970.0,18785.0,2103.0,19133.0,32103.0,196.0,,31906.0,381.0,4281.0,,938,346.0,115.0,171.0,8657.0,8828.0,12307.0,,9841.0,30658.0,,38320.0,38204.0,32264.0,32169.0,35581.0,35581.0,,,,
Datia,15763.0,8494.0,14390.0,28349.0,25360.0,10354.0,130.0,5716.0,492.0,5224.0,18767.0,3851.0,18767.0,24483.0,13.0,,24179.0,211.0,3547.0,17756.0,882,103.0,89.0,404.0,4859.0,5263.0,5004.0,,100584.0,1828273.0,11590.0,15958.0,16235.0,15948.0,15063.0,14991.0,14991.0,,23.0,65.0,271.0
Dewas,43663.0,25919.0,41164.0,41873.0,44601.0,,,1650.0,12.0,1638.0,26582.0,26582.0,30847.0,32497.0,31.0,1068.0,32212.0,282.0,1309.0,,954,31.0,96.0,262.0,9882.0,10144.0,8048.0,,131399.0,1947611.0,27076.0,32911.0,41652.0,41558.0,41421.0,37904.0,41414.0,,,,327.0
Dhar,63915.0,38677.0,46442.0,58872.0,60627.0,106.0,2.0,9374.0,9273.0,101.0,33826.0,169.0,37483.0,46857.0,227.0,2.0,46024.0,836.0,9062.0,45814.0,954,865.0,1670.0,380.0,15154.0,15534.0,15730.0,10998.0,252134.0,2650538.0,18338.0,61221.0,57413.0,56258.0,58109.0,54655.0,54655.0,,,29.0,72.0
Dindori,17812.0,4127.0,13534.0,17519.0,16779.0,,,9911.0,791.0,9120.0,6932.0,5162.0,6932.0,16843.0,,,16669.0,207.0,1205.0,,924,90.0,18.0,670.0,5842.0,6512.0,2819.0,,76667.0,1126357.0,934.0,16552.0,14868.0,16162.0,15204.0,15837.0,15837.0,,,,34.0
Guna,36037.0,23646.0,27450.0,34420.0,30726.0,1117.0,68.0,1062.0,28.0,1034.0,30145.0,1432.0,31325.0,32387.0,302.0,103.0,31619.0,773.0,2090.0,21145.0,866,238.0,217.0,93.0,7751.0,7844.0,9234.0,,15965.0,457680.0,20256.0,31307.0,32359.0,32359.0,32765.0,32169.0,32120.0,46.0,171.0,712.0,909.0
Gwalior,67574.0,8013.0,23367.0,55927.0,40558.0,62.0,,2324.0,570.0,1754.0,30307.0,27659.0,41641.0,43965.0,1831.0,2448.0,43630.0,144.0,5076.0,34883.0,924,444.0,1911.0,3646.0,8071.0,11717.0,9455.0,503.0,95696.0,852502.0,27159.0,51531.0,53955.0,49987.0,50740.0,43083.0,9832.0,,,,255.0
Harda,16118.0,6821.0,14107.0,11310.0,10920.0,662.0,324.0,5567.0,5567.0,,12079.0,6737.0,12079.0,17646.0,,,9708.0,216.0,8587.0,3247.0,936,402.0,415.0,236.0,3289.0,3525.0,4024.0,,82655.0,1531004.0,6672.0,15241.0,13964.0,13884.0,13775.0,13883.0,13873.0,,6.0,34.0,24.0
Hoshangabad,32181.0,19446.0,30176.0,29808.0,19940.0,,,3173.0,364.0,2809.0,20965.0,,25854.0,29027.0,317.0,2160.0,28466.0,561.0,4048.0,22526.0,929,246.0,202.0,84.0,6354.0,6438.0,7406.0,301.0,115497.0,2578646.0,32394.0,32394.0,27381.0,26987.0,27704.0,27711.0,27711.0,,,,342.0
