Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,60704,51649,57896,59723,59823,9617,10103.0,22163,10850.0,11313.0,16814,11031,31379,53542,6279,4345.0,120,5833,25552,595,32.0,102.0,1202,14973,16175,3283,628.0,183800,120812,30056,46018,46350,46105,45526,49740,52284,0.0,11.0,11.0,711,2662674,1360578,1017655,242358,1401515,34027
2,93120,47218,83855,87185,87596,8616,186.0,4459,3615.0,844.0,41580,37132,72165,76624,2194,5501.0,349,2530,65350,925,402.0,75.0,156,39551,39707,20691,1758.0,236478,3224452,21166,79350,78751,77473,76482,73291,73291,0.0,0.0,0.0,132,3943620,2134751,1614199,340645,1988577,76746
3,84590,61944,78428,84403,79264,75287,0.0,3195,20.0,3175.0,38395,34477,70148,73343,2137,235.0,199,505,71254,968,161.0,378.0,452,36500,36952,22770,0.0,189956,2692700,50280,71635,71632,71714,71643,73153,70233,0.0,1061.0,4315.0,290,4040706,2509996,1604797,271269,2163290,71645
4,61772,39718,53757,58045,54409,7110,491.0,4573,1820.0,2753.0,16749,11409,50011,54584,3077,1862.0,430,2052,32912,890,444.0,178.0,317,30911,31228,13035,1088.0,129241,2222623,21925,52402,51263,51830,54133,50425,29340,0.0,3041.0,56587.0,433,0,0,0,0,0,54203
5,117728,58615,96851,94424,81425,9591,529.0,1995,848.0,1147.0,49560,20254,86935,88930,3717,11536.0,833,2920,25403,954,672.0,205.0,1849,39982,41831,29293,0.0,281410,4293936,73020,102234,88889,86439,90653,93924,100327,0.0,0.0,0.0,565,5077093,3136260,1707005,339391,3030446,99817
6,103250,54647,73554,96269,75734,8888,2609.0,8552,4400.0,4152.0,26991,5230,26991,35543,5380,16634.0,1073,3441,24448,956,1152.0,193.0,960,37191,38151,17845,3310.0,239440,5438883,46661,87930,87238,88357,88324,78242,78214,199.0,1858.0,7642.0,475,4756974,2799085,2032415,288121,2434418,55884
7,97867,48517,97170,93747,93747,19614,1501.0,103,0.0,103.0,55109,21585,79016,79119,5969,5522.0,10,1574,36664,939,221.0,3062.0,3263,38185,41448,11689,4914.0,259266,3282453,54220,84389,86259,87771,83981,84450,84450,0.0,0.0,0.0,549,3908902,2812462,1076542,215583,2582700,86136
8,79499,52438,76214,76657,76597,18498,601.0,8769,3754.0,5015.0,8007,4999,63705,72474,781,39109.0,126,32326,43645,939,0.0,71.0,5658,23355,29013,18884,6.0,214292,2752920,35994,68156,67822,67768,67658,67759,67760,0.0,371.0,921.0,125,3688583,2026543,1549703,275855,1862914,72116
9,56370,34879,44345,53562,43644,23924,257.0,2898,1233.0,1665.0,13481,6710,40930,43828,1498,13646.0,516,1316,25413,933,3347.0,16.0,568,20199,20767,14263,507.0,154719,1620885,17764,50462,47319,46696,49272,46388,46388,167.0,1107.0,4586.0,281,2729962,1511837,1159968,197388,1371265,50539
10,94530,49472,85307,94763,85053,16199,1452.0,4540,2071.0,2469.0,34118,13750,51250,55790,7994,11799.0,425,5931,58329,958,630.0,165.0,690,26826,27516,26803,0.0,196102,4409246,43113,82118,81783,81906,82053,80068,80068,0.0,116.0,410.0,148,4415896,2860334,1692282,292050,2431181,68677
