Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,2713.0,246.0,904.0,1941.0,1478.0,0.0,0.0,3.0,3.0,0.0,1116.0,154.0,1116.0,1119.0,0.0,0.0,8.0,90.0,90.0,1018,0.0,35.0,0.0,1005.0,1005.0,63.0,0.0,3129.0,4382.0,231.0,2704.0,2910.0,2668.0,2167.0,2087.0,1430.0,0.0,0.0,14.0,0.0,140980,65775,50282,11785,78731,1108.0
2,131.0,93.0,81.0,90.0,126.0,0.0,0.0,0.0,0.0,0.0,95.0,5.0,95.0,95.0,0.0,0.0,1.0,4.0,5.0,1303,0.0,2.0,0.0,0.0,0.0,4.0,0.0,162.0,439.0,10.0,120.0,122.0,108.0,99.0,98.0,212.0,0.0,0.0,0.0,0.0,14478,7697,4839,1501,8042,76.0
3,589.0,196.0,207.0,199.0,231.0,0.0,0.0,19.0,17.0,2.0,347.0,111.0,347.0,366.0,0.0,0.0,6.0,32.0,122.0,1033,0.0,47.0,0.0,0.0,0.0,19.0,0.0,848.0,1092.0,34.0,553.0,812.0,505.0,317.0,594.0,249.0,0.0,0.0,72.0,0.0,71501,30791,25995,3779,41563,374.0
4,1389.0,481.0,425.0,688.0,479.0,36.0,15.0,89.0,77.0,12.0,988.0,250.0,988.0,1077.0,43.0,0.0,21.0,165.0,39.0,983,0.0,77.0,0.0,86.0,86.0,69.0,0.0,620.0,1319.0,170.0,1595.0,1616.0,1416.0,1261.0,1145.0,1267.0,0.0,0.0,6.0,0.0,95510,56107,32194,5858,57398,1025.0
5,2820.0,194.0,974.0,1969.0,1739.0,106.0,3.0,66.0,54.0,12.0,1057.0,256.0,1057.0,1123.0,9.0,0.0,57.0,130.0,164.0,1004,0.0,40.0,0.0,404.0,404.0,66.0,0.0,2519.0,2940.0,440.0,2649.0,2474.0,2405.0,2226.0,2141.0,4273.0,17.0,18.0,138.0,0.0,145062,76973,50842,9915,84296,1060.0
6,726.0,94.0,447.0,462.0,170.0,0.0,0.0,11.0,9.0,2.0,449.0,99.0,449.0,460.0,0.0,0.0,9.0,261.0,108.0,1051,3.0,210.0,0.0,0.0,0.0,87.0,0.0,502.0,1256.0,8.0,967.0,1066.0,1435.0,1159.0,1350.0,2027.0,0.0,0.0,0.0,6.0,87328,47823,26358,7650,52831,439.0
7,2187.0,1137.0,371.0,764.0,2199.0,22.0,0.0,56.0,35.0,21.0,1958.0,401.0,1958.0,2014.0,238.0,0.0,30.0,340.0,37.0,902,1.0,185.0,0.0,173.0,173.0,248.0,0.0,1026.0,2861.0,105.0,2749.0,2657.0,2038.0,1824.0,1753.0,1928.0,0.0,0.0,44.0,0.0,158036,102699,46939,11036,99676,1967.0
8,386.0,110.0,76.0,166.0,80.0,0.0,0.0,14.0,5.0,9.0,232.0,18.0,232.0,246.0,8.0,0.0,16.0,0.0,42.0,935,0.0,1.0,0.0,0.0,0.0,59.0,0.0,1063.0,508.0,125.0,529.0,747.0,622.0,605.0,607.0,2345.0,0.0,0.0,3.0,0.0,46366,22235,22340,3961,20051,238.0
9,2485.0,997.0,92.0,871.0,1573.0,0.0,0.0,146.0,143.0,3.0,475.0,252.0,475.0,621.0,0.0,0.0,17.0,4.0,95.0,977,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1580.0,4040.0,0.0,1499.0,1561.0,1621.0,1490.0,2010.0,268.0,0.0,0.0,0.0,0.0,108344,43037,44125,5707,58429,344.0
10,1068.0,284.0,368.0,340.0,1269.0,0.0,1.0,30.0,9.0,21.0,467.0,1.0,467.0,497.0,1.0,0.0,12.0,33.0,12.0,790,1.0,44.0,11.0,61.0,72.0,9.0,0.0,442.0,610.0,57.0,769.0,817.0,751.0,540.0,536.0,144.0,0.0,4.0,160.0,0.0,34721,16608,14779,2604,17238,460.0
