Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,43322,13770,26502,31688,38979,0.0,0.0,15004,3301.0,11703.0,15360,0.0,15779,30783,511.0,207.0,654,2458,0.0,889,396,149,87.0,3517.0,3604.0,218,0.0,37712,35836,12083.0,31601,33643,32436,31809,29463,28020,242.0,0.0,0.0,0.0,1679559,851055,429940,118049,1131292,30148
2,14021,3901,6427,12265,9649,0.0,0.0,5611,88.0,5523.0,5564,0.0,5564,11175,500.0,66.0,315,988,0.0,902,1967,1789,0.0,405.0,405.0,392,0.0,7694,25472,2038.0,13747,14849,13657,13135,11871,10352,25.0,1274.0,0.0,250.0,785129,435804,203256,62914,518442,10876
3,43447,11441,24309,32833,20627,0.0,0.0,14676,3531.0,11145.0,19394,0.0,22166,36842,1732.0,1151.0,1233,3580,0.0,956,355,2661,0.0,2821.0,2821.0,1476,0.0,36040,190430,888.0,42209,40118,36635,34710,33075,29964,3440.0,0.0,0.0,0.0,1643410,1055961,436418,124870,1081497,35659
4,27994,11176,11493,18735,13732,0.0,0.0,5021,1183.0,3838.0,8675,0.0,9026,14047,281.0,219.0,381,1507,0.0,947,5316,5188,277.0,3569.0,3846.0,187,0.0,16590,27277,3368.0,26363,24065,22731,20990,20391,19228,3.0,0.0,0.0,0.0,1073122,539512,281863,93829,697319,13700
5,16895,6384,8100,13265,5548,249.0,5.0,1998,832.0,1166.0,10950,1382.0,10950,12948,708.0,0.0,286,1364,1857.0,921,9465,9425,0.0,995.0,995.0,571,0.0,7514,4087,944.0,16493,16113,15144,13954,14786,14745,89.0,365.0,3.0,92.0,649668,383336,186315,108783,354378,12694
6,43893,8275,14816,41529,33435,0.0,0.0,13565,2466.0,11099.0,14143,0.0,14143,27708,638.0,0.0,610,2033,0.0,988,997,2227,0.0,1525.0,1525.0,680,0.0,33125,167672,0.0,47107,48922,44846,39576,36511,29328,0.0,0.0,0.0,0.0,1849909,820852,470609,128108,1244609,27098
7,32856,7374,10040,27269,61868,0.0,0.0,2846,1650.0,1196.0,17670,0.0,17670,20516,0.0,0.0,296,1054,0.0,794,151,2467,85.0,1600.0,1685.0,1446,0.0,16243,26250,0.0,32515,29694,28785,28717,27212,26825,0.0,0.0,0.0,0.0,1282273,823916,376239,156078,749437,16561
8,26759,9401,14562,21493,22123,0.0,0.0,6889,1033.0,5856.0,9738,0.0,9738,16627,252.0,0.0,313,752,0.0,834,3162,2906,0.0,179.0,179.0,1365,0.0,24057,99152,3512.0,22014,23054,21954,20391,19322,18018,0.0,0.0,0.0,57.0,948297,502566,248009,85125,614666,16305
9,18866,7078,12227,17424,17301,0.0,0.0,3042,411.0,2631.0,11818,0.0,13928,16970,699.0,571.0,428,441,0.0,923,437,1469,3.0,2206.0,2209.0,1233,0.0,34073,59812,0.0,22202,21555,19506,18839,18047,17525,15.0,0.0,0.0,28.0,1029174,667909,311480,139007,578005,16546
10,17231,3190,8139,13748,13456,0.0,0.0,7236,1202.0,6034.0,5003,0.0,5003,12239,70.0,0.0,446,988,0.0,921,201,950,0.0,681.0,681.0,1066,0.0,9397,23595,604.0,16353,16170,14888,14127,12694,11349,6.0,0.0,0.0,0.0,621964,357475,156589,46704,418657,11886
11,31202,18731,24960,27907,27224,0.0,0.0,1898,1548.0,350.0,14474,0.0,14474,16372,1057.0,37.0,296,1149,0.0,900,115,6694,4.0,1722.0,1726.0,2715,6.0,31159,185667,5922.0,26805,25757,25034,24787,24069,23250,83.0,0.0,0.0,50.0,1063470,751985,321593,150067,590994,14368
13,43998,28850,24231,21348,16281,0.0,0.0,210,210.0,0.0,24894,3728.0,24894,25104,5655.0,3325.0,987,2112,20406.0,853,6253,5359,47.0,4732.0,4779.0,1188,140.0,11670,71441,11994.0,28478,27909,24562,24008,20892,20787,0.0,0.0,0.0,483.0,1767415,1149409,490111,186264,1075693,24117
13,44607,12950,24117,22936,10560,0.0,0.0,3333,1643.0,1690.0,16608,0.0,16608,19941,2935.0,1600.0,1120,3318,0.0,1177,332,5447,54.0,4658.0,4712.0,1525,64.0,32378,139975,2882.0,29587,30377,29697,29082,25411,19731,0.0,0.0,0.0,0.0,1767415,1149409,490111,186264,1075693,20972
14,20284,5828,12524,18733,16865,0.0,0.0,4036,2345.0,1691.0,11851,0.0,11851,15887,439.0,0.0,318,2666,0.0,918,154,1520,0.0,123.0,123.0,1826,0.0,20842,141592,5321.0,23591,22909,20610,18860,17286,16735,0.0,0.0,0.0,27.0,910955,497771,251470,115163,544225,15581
15,28541,4892,13201,22755,8806,0.0,0.0,11306,1814.0,9492.0,7901,0.0,7901,19207,156.0,659.0,617,1865,0.0,892,221,1281,0.0,1116.0,1116.0,1161,29.0,15334,118969,6055.0,27839,26862,23577,22199,21790,19403,0.0,0.0,0.0,0.0,1157827,712045,274500,92760,789905,18665
16,23739,6683,10738,18820,12769,0.0,0.0,7142,1618.0,5524.0,9656,0.0,9656,16798,581.0,93.0,331,3029,0.0,957,153,1275,0.0,873.0,873.0,1775,23.0,15881,91683,1145.0,28766,28302,25671,24039,22221,20887,0.0,0.0,0.0,0.0,892688,454830,247462,91477,553365,16638
17,23481,11234,13565,18808,23127,0.0,0.0,2391,898.0,1493.0,15233,15227.0,15239,17630,958.0,0.0,134,2099,17332.0,869,6274,6274,0.0,2850.0,2850.0,1287,0.0,35297,59470,16203.0,25266,24294,24030,22646,20835,20835,0.0,623.0,258.0,13.0,993617,624694,284881,163110,535226,17490
18,19321,8152,10526,17697,11181,0.0,0.0,6655,1392.0,5263.0,10359,4099.0,10359,17014,291.0,0.0,443,1471,0.0,1057,301,399,17.0,1242.0,1259.0,542,0.0,19317,93037,625.0,23979,23850,23061,22333,21352,20623,0.0,0.0,0.0,0.0,0,0,0,0,0,16234
19,59620,15958,29724,55150,45785,0.0,0.0,13586,4113.0,9473.0,34435,0.0,34471,48057,703.0,0.0,992,4005,0.0,946,1886,4943,194.0,6911.0,7105.0,1745,0.0,4300,17138,397.0,67344,64302,60514,56861,49803,44877,0.0,0.0,0.0,0.0,2660263,1524724,679654,216187,1762652,42412
