Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,28365.0,28617.0,25395.0,28427,24079.0,1310.0,52.0,886.0,886.0,0.0,20118.0,20739.0,20118.0,21004.0,344.0,3.0,0.0,40.0,16812.0,795,0.0,1081.0,0.0,14835.0,14835.0,2011.0,0.0,1357.0,36565.0,28104.0,29984,30892,31235.0,30042,31406,31254.0,0.0,245.0,1373.0,0.0,2597264,967247,684484,307797,1597263,26136.0
2,8195.0,2626.0,4708.0,23898,13953.0,1958.0,98.0,550.0,460.0,90.0,27539.0,7206.0,27539.0,28089.0,2096.0,0.0,140.0,2714.0,3131.0,952,0.0,0.0,14.0,9741.0,9755.0,1377.0,0.0,7121.0,119829.0,25146.0,49718,63813,43469.0,42809,47656,33182.0,0.0,315.0,847.0,0.0,2368912,1275084,479113,297876,1585096,15722.0
3,36832.0,11539.0,17625.0,29703,20192.0,770.0,140.0,0.0,0.0,0.0,25147.0,9575.0,25147.0,25147.0,0.0,0.0,560.0,2034.0,23028.0,887,6.0,16.0,15.0,7062.0,7077.0,1653.0,0.0,8691.0,53213.0,26018.0,44323,40328,39337.0,37834,37584,29629.0,0.0,6984.0,57.0,0.0,1896304,814224,383284,337486,1168048,24587.0
4,38626.0,5296.0,18278.0,10398,14241.0,847.0,3061.0,26890.0,23385.0,3505.0,3061.0,4487.0,3061.0,29951.0,4518.0,0.0,61.0,8991.0,822.0,432,0.0,0.0,1066.0,457.0,1523.0,0.0,0.0,100.0,21256.0,29139.0,47340,38773,35402.0,32016,38511,44885.0,0.0,0.0,40.0,0.0,2768662,1314403,585662,281984,1892796,17431.0
5,11585.0,42325.0,16844.0,48150,14683.0,9.0,0.0,10871.0,7522.0,3349.0,34146.0,10663.0,34146.0,45017.0,9.0,0.0,647.0,2340.0,4137.0,1212,59.0,0.0,103.0,10659.0,10762.0,1168.0,0.0,7418.0,87776.0,51119.0,74144,63707,61322.0,57571,65240,78708.0,0.0,342.0,1358.0,89.0,2838594,1358855,547702,387667,1894283,40814.0
6,41571.0,4345.0,21247.0,28041,20697.0,0.0,305.0,7072.0,5119.0,1953.0,30658.0,8936.0,30658.0,37730.0,1706.0,0.0,528.0,3213.0,6321.0,661,14.0,1097.0,3068.0,5932.0,9000.0,440.0,0.0,1212.0,58284.0,33773.0,111009,95671,86552.0,79786,50959,25700.0,0.0,0.0,0.0,0.0,2572726,1418743,505896,255386,1804831,8912.0
7,2110.0,1108.0,2972.0,20673,1181.0,54.0,0.0,2886.0,1438.0,1448.0,0.0,0.0,0.0,2886.0,0.0,0.0,965.0,2145.0,0.0,867,0.0,0.0,3419.0,590.0,4009.0,0.0,0.0,500.0,56000.0,16024.0,35921,29371,26499.0,24279,31888,52165.0,1735.0,0.0,0.0,0.0,1608826,869320,321423,169359,1112913,9891.0
8,39337.0,0.0,20250.0,40909,7555.0,0.0,0.0,0.0,0.0,0.0,11016.0,7798.0,11016.0,11016.0,187.0,0.0,0.0,12915.0,2353.0,1085,0.0,0.0,0.0,12020.0,12020.0,692.0,0.0,5704.0,153621.0,47385.0,94558,82171,77053.0,67254,49849,51710.0,0.0,0.0,0.0,0.0,3732788,1591007,740254,409784,2571266,27395.0
9,48837.0,8055.0,22199.0,37794,4698.0,0.0,0.0,16873.0,10109.0,6764.0,22317.0,1831.0,22317.0,39190.0,290.0,1.0,573.0,17460.0,131.0,978,0.0,648.0,107.0,8984.0,9091.0,4114.0,260.0,15628.0,325396.0,27769.0,117827,112974,105537.0,96415,104309,76255.0,0.0,0.0,0.0,0.0,4093085,1982616,1003260,510407,2555621,33998.0
10,34933.0,0.0,16379.0,35813,0.0,0.0,0.0,3380.0,858.0,2522.0,10651.0,26390.0,10651.0,14031.0,107.0,0.0,326.0,5041.0,0.0,1112,0.0,0.0,32.0,8870.0,8902.0,459.0,0.0,5361.0,211947.0,14971.0,48656,49052,46502.0,42824,50459,50459.0,0.0,54.0,1334.0,0.0,2431633,1180618,391534,292743,1730312,35813.0
11,35681.0,4548.0,17294.0,25336,5154.0,0.0,0.0,962.0,0.0,962.0,12187.0,0.0,12187.0,13149.0,498.0,0.0,391.0,6693.0,4939.0,1019,0.0,0.0,2.0,3953.0,3955.0,2048.0,0.0,3317.0,27394.0,13242.0,49353,40373,29999.0,38118,33458,60961.0,0.0,0.0,0.0,0.0,1643066,719453,428801,256065,957420,17201.0
12,0.0,0.0,0.0,17652,0.0,0.0,0.0,0.0,0.0,0.0,6841.0,19397.0,6841.0,6841.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4993.0,0.0,4993.0,590.0,0.0,150.0,19033.0,22711.0,29729,22880,21442.0,20190,26685,0.0,0.0,0.0,2262.0,0.0,1230144,634958,294064,125514,808286,0.0
