Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,33109.0,0.0,26533.0,17170.0,8055.0,0.0,0.0,3672.0,3672.0,0.0,18563.0,0.0,18563.0,22235.0,0.0,0.0,395.0,0.0,0.0,806.0,1245.0,1028.0,39.0,2047.0,2086.0,4042.0,0.0,9428.0,866126.0,21067.0,22672.0,16587.0,14998.0,14838.0,14771.0,14771.0,0.0,450.0,851.0,0.0,1006400,752896,367882,15834,622528,1255.0
1,42165.0,10886.0,33122.0,18042.0,9976.0,15249.0,277.0,2957.0,356.0,2601.0,19295.0,8023.0,19295.0,22252.0,4636.0,0.0,685.0,4766.0,10350.0,898.0,1635.0,1148.0,45.0,2028.0,2073.0,3502.0,0.0,10008.0,995673.0,22110.0,24401.0,18833.0,17028.0,16290.0,17589.0,15399.0,7.0,10054.0,15171.0,194.0,1022491,770018,373802,16589,631979,21905.0
1,34998.0,11050.0,27272.0,18203.0,13956.0,14726.0,231.0,2477.0,70.0,2407.0,20032.0,11286.0,20032.0,22509.0,5021.0,0.0,639.0,4499.0,16249.0,881.0,1765.0,980.0,65.0,1951.0,2016.0,3202.0,0.0,9759.0,961749.0,21859.0,23852.0,17928.0,16207.0,15541.0,16109.0,15475.0,14.0,27905.0,57189.0,1294.0,1038840,787528,379817,17379,641573,22262.0
1,33601.0,11531.0,31060.0,18458.0,11652.0,18747.0,183.0,1830.0,41.0,1789.0,21745.0,11675.0,21745.0,23575.0,5162.0,0.0,742.0,5289.0,15955.0,867.0,1731.0,1026.0,97.0,1722.0,1819.0,3189.0,0.0,10858.0,990494.0,22882.0,24459.0,18597.0,16721.0,16197.0,15613.0,15171.0,5.0,54493.0,143321.0,1708.0,1055449,805437,385928,18207,651314,23219.0
1,34304.0,12367.0,34833.0,17633.0,8954.0,17318.0,330.0,1375.0,36.0,1339.0,23124.0,12791.0,23124.0,24499.0,6369.0,0.0,772.0,5547.0,17074.0,889.0,1549.0,1056.0,80.0,1854.0,1934.0,3400.0,0.0,10643.0,1041999.0,23569.0,24479.0,18270.0,16602.0,16290.0,16275.0,16050.0,0.0,55270.0,170173.0,1480.0,1072325,823754,392138,19074,661201,24208.0
1,37727.0,17706.0,46445.0,17802.0,8505.0,20010.0,793.0,871.0,30.0,841.0,25282.0,12417.0,25282.0,26153.0,7059.0,0.0,831.0,5599.0,19352.0,899.0,2137.0,1182.0,74.0,2107.0,2181.0,3908.0,0.0,12858.0,1162323.0,25054.0,26118.0,17995.0,16584.0,16584.0,17158.0,16946.0,1.0,60693.0,212637.0,1178.0,1089470,842487,398448,19982,671240,25869.0
1,37395.0,18558.0,53519.0,17300.0,28795.0,27549.0,1022.0,385.0,35.0,350.0,26209.0,10371.0,26209.0,26594.0,7792.0,0.0,773.0,5904.0,19991.0,874.0,2195.0,1233.0,73.0,2209.0,2282.0,4587.0,0.0,14203.0,855742.0,26089.0,26633.0,15417.0,14230.0,14460.0,16208.0,16060.0,1.0,64263.0,220710.0,1419.0,1106889,861645,404860,20934,681430,26254.0
1,58564.0,21543.0,52042.0,18130.0,19331.0,27557.0,530.0,224.0,4.0,220.0,28233.0,10665.0,28233.0,28457.0,8933.0,0.0,906.0,5823.0,20905.0,906.0,2594.0,1329.0,40.0,2186.0,2226.0,5226.0,0.0,16335.0,1038069.0,26898.0,27681.0,4908.0,6421.0,7793.0,16367.0,16190.0,27.0,68109.0,216773.0,1012.0,1124587,881240,411374,21931,691775,28032.0
1,60667.0,24811.0,39300.0,17472.0,32263.0,25622.0,510.0,109.0,0.0,109.0,29107.0,10765.0,29107.0,29216.0,9556.0,0.0,886.0,5433.0,21026.0,921.0,2842.0,1294.0,61.0,2148.0,2209.0,5940.0,0.0,21312.0,1456315.0,27024.0,28115.0,119.0,161.0,225.0,15946.0,15806.0,23.0,71763.0,223160.0,782.0,1142568,901280,417994,22976,702277,28854.0
1,41894.0,27794.0,30047.0,4353.0,30292.0,21273.0,637.0,101.0,1.0,100.0,29208.0,11468.0,29208.0,29309.0,9413.0,0.0,702.0,6061.0,23557.0,897.0,2222.0,1656.0,37.0,2270.0,2307.0,5522.0,0.0,21549.0,1374910.0,27572.0,27852.0,32.0,57.0,63.0,4912.0,16012.0,77.0,76133.0,249627.0,1355.0,1160836,921776,424720,24070,712939,28950.0
