Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,42082.0,21376.0,39840.0,39840.0,24738.0,8896.0,622.0,22659.0,10598.0,12061.0,14000.0,6126.0,14697.0,37356.0,212.0,0.0,943.0,10683.0,31336.0,997,580.0,182.0,3747.0,7806.0,11553.0,10022.0,5.0,11847.0,14716.0,0.0,36383.0,37525.0,37890.0,37667.0,36368.0,36368.0,0.0,0.0,62.0,536.0,1380360,590968,398512,315319,665708,36413.0
2,74778.0,21747.0,52151.0,77492.0,52071.0,3738.0,221.0,48499.0,16194.0,32305.0,17218.0,1727.0,18762.0,67261.0,1193.0,1477.0,454.0,13795.0,15550.0,986,460.0,175.0,831.0,13260.0,14091.0,11987.0,291.0,27676.0,223295.0,10687.0,72336.0,66466.0,65202.0,71598.0,71680.0,71680.0,0.0,409.0,247.0,1045.0,2443618,1407209,762081,323585,1356117,66904.0
3,27616.0,15794.0,16387.0,20291.0,27495.0,925.0,457.0,13328.0,5625.0,7703.0,4821.0,4761.0,4821.0,18149.0,0.0,0.0,81.0,6082.0,9261.0,1002,62.0,22.0,1645.0,349.0,1994.0,6126.0,0.0,12264.0,13693.0,6487.0,17858.0,16231.0,16366.0,15445.0,17278.0,17278.0,938.0,0.0,1955.0,62.0,0,0,0,0,0,18068.0
4,17644.0,9221.0,14758.0,15971.0,15253.0,2839.0,393.0,8275.0,3840.0,4435.0,6306.0,5862.0,6879.0,15154.0,0.0,138.0,260.0,6093.0,14385.0,998,310.0,19.0,392.0,5453.0,5845.0,3315.0,147.0,113486.0,1066090.0,12612.0,16042.0,15594.0,15637.0,15578.0,15205.0,15205.0,0.0,599.0,864.0,416.0,770602,512981,313631,72606,382967,14895.0
5,72173.0,28079.0,56169.0,67961.0,58596.0,4983.0,656.0,35713.0,23391.0,12322.0,30278.0,5512.0,30278.0,65991.0,1012.0,0.0,1069.0,20041.0,0.0,962,1096.0,519.0,313.0,16529.0,16842.0,8458.0,101.0,261196.0,2591000.0,33500.0,68024.0,63885.0,62531.0,62478.0,61849.0,61849.0,0.0,0.0,0.0,0.0,3173999,2136950,1128717,258326,1784816,64922.0
6,43120.0,4277.0,34440.0,43467.0,40561.0,0.0,0.0,30078.0,11043.0,19035.0,6616.0,6616.0,6616.0,36694.0,0.0,0.0,300.0,11006.0,36391.0,916,126.0,126.0,110.0,9044.0,9154.0,7020.0,0.0,20623.0,34669.0,9320.0,38466.0,37216.0,36182.0,35319.0,38565.0,38565.0,0.0,0.0,0.0,0.0,1522382,918760,446158,298037,763581,36401.0
7,22978.0,12573.0,20787.0,22197.0,13822.0,2937.0,837.0,14141.0,5267.0,8874.0,6133.0,5466.0,6133.0,20274.0,0.0,0.0,319.0,2732.0,19928.0,994,969.0,205.0,199.0,4229.0,4428.0,3849.0,0.0,8440.0,10506.0,9688.0,20583.0,20676.0,19311.0,20392.0,20665.0,20534.0,0.0,7.0,0.0,521.0,817549,463060,282199,175633,358487,20107.0
8,16870.0,3574.0,13147.0,16448.0,16061.0,651.0,88.0,9813.0,4478.0,5335.0,4974.0,3086.0,4974.0,14787.0,2.0,0.0,265.0,5284.0,13941.0,1005,167.0,59.0,1114.0,3324.0,4438.0,4492.0,0.0,41856.0,629295.0,1684.0,15877.0,15126.0,14882.0,15033.0,15019.0,15019.0,0.0,25.0,947.0,456.0,0,0,0,0,0,14535.0
9,22471.0,5365.0,17483.0,21459.0,16010.0,0.0,0.0,17397.0,4210.0,13187.0,3254.0,422.0,3254.0,20651.0,0.0,0.0,311.0,1845.0,0.0,955,15.0,0.0,48.0,6255.0,6303.0,3141.0,0.0,39054.0,500184.0,13101.0,19881.0,20966.0,21182.0,20628.0,20477.0,20477.0,0.0,0.0,46.0,567.0,0,0,0,0,0,20358.0
10,31279.0,30178.0,26397.0,29803.0,31231.0,2199.0,306.0,19540.0,10213.0,9327.0,7146.0,7113.0,7571.0,27111.0,170.0,0.0,225.0,4479.0,26715.0,986,145.0,46.0,126.0,6620.0,6746.0,5397.0,0.0,10210.0,16576.0,3134.0,26651.0,26838.0,25790.0,25318.0,26470.0,26470.0,0.0,442.0,2725.0,277.0,1144552,670551,335142,156963,652225,26886.0
