Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,11470.0,3593.0,1020.0,9374.0,7398.0,378.0,14.0,858.0,304.0,554.0,4059.0,596.0,4059.0,4917.0,35.0,0.0,81.0,312.0,1445.0,945.0,25.0,184.0,0.0,1114.0,1114.0,131.0,0.0,5331.0,433400.0,296.0,7918.0,2016.0,7189.0,7425.0,7543.0,2448.0,0.0,328.0,471.0,62.0,300850,177466,118956,23797,157614,2390.0
1,10483.0,3377.0,4413.0,9300.0,9843.0,1647.0,1.0,2519.0,852.0,1667.0,2880.0,2427.0,2880.0,5399.0,156.0,0.0,54.0,1084.0,6495.0,919.0,124.0,162.0,0.0,1160.0,1160.0,83.0,0.0,3363.0,84342.0,1722.0,8057.0,7747.0,7899.0,8031.0,7725.0,7476.0,0.0,1811.0,2739.0,302.0,314507,191570,122623,24777,166722,8274.0
1,11532.0,2047.0,4805.0,8486.0,6697.0,998.0,0.0,2835.0,878.0,1957.0,3381.0,2730.0,3381.0,6216.0,140.0,0.0,106.0,1563.0,7320.0,901.0,211.0,140.0,1.0,1044.0,1045.0,108.0,0.0,3083.0,95117.0,3708.0,7670.0,6833.0,6899.0,7095.0,6700.0,6545.0,7.0,1820.0,4779.0,113.0,328784,206795,126402,25798,176356,8877.0
1,12187.0,2698.0,6102.0,7586.0,7472.0,998.0,0.0,2228.0,306.0,1922.0,3552.0,3275.0,4699.0,6927.0,123.0,283.0,56.0,1545.0,5089.0,928.0,347.0,126.0,2.0,1239.0,1241.0,162.0,39.0,4205.0,80377.0,3192.0,7171.0,6603.0,6855.0,7108.0,6925.0,6828.0,0.0,1957.0,5946.0,136.0,343709,223229,130298,26862,186548,6942.0
1,13788.0,3335.0,9967.0,8023.0,7586.0,2280.0,0.0,1142.0,203.0,939.0,4944.0,4551.0,6368.0,7510.0,567.0,393.0,111.0,1404.0,3572.0,947.0,830.0,80.0,2.0,1151.0,1153.0,557.0,100.0,5853.0,94396.0,4489.0,7195.0,6730.0,6986.0,7237.0,7123.0,7080.0,1.0,2336.0,6063.0,169.0,359311,240970,134315,27968,197327,7502.0
1,14336.0,4858.0,7278.0,6837.0,4381.0,6626.0,469.0,266.0,43.0,223.0,6103.0,4575.0,7481.0,7747.0,990.0,426.0,95.0,2018.0,5870.0,936.0,778.0,96.0,2.0,1200.0,1202.0,431.0,73.0,6910.0,135815.0,6079.0,7964.0,7254.0,7378.0,7536.0,7641.0,7571.0,0.0,3358.0,6028.0,136.0,375622,260121,138455,29121,208730,7724.0
1,16015.0,7625.0,7691.0,7678.0,4246.0,12359.0,1199.0,95.0,9.0,86.0,6359.0,4262.0,7493.0,7588.0,1225.0,410.0,66.0,2331.0,5612.0,939.0,901.0,207.0,3.0,1028.0,1031.0,596.0,58.0,6020.0,146080.0,6379.0,7918.0,6962.0,7053.0,7388.0,7677.0,7473.0,0.0,5030.0,13488.0,209.0,392673,280794,142722,30321,220792,7575.0
1,9547.0,8093.0,7575.0,8573.0,6253.0,5857.0,287.0,96.0,18.0,78.0,7979.0,6199.0,9057.0,9153.0,1427.0,428.0,174.0,2388.0,6140.0,951.0,913.0,234.0,0.0,997.0,997.0,557.0,67.0,7691.0,169006.0,9082.0,10262.0,2498.0,3207.0,3963.0,7992.0,7860.0,10.0,4688.0,15544.0,176.0,410498,303110,147121,31570,233551,9092.0
1,8502.0,7669.0,7420.0,8651.0,8098.0,4487.0,126.0,47.0,2.0,45.0,7815.0,5063.0,8704.0,8751.0,1835.0,429.0,250.0,2996.0,6120.0,934.0,927.0,258.0,7.0,1018.0,1025.0,562.0,62.0,9543.0,192955.0,8363.0,8884.0,3.0,3.0,4.0,8389.0,8211.0,1088.0,5554.0,10557.0,160.0,429132,327199,151656,32871,247047,8641.0
1,8362.0,8019.0,6499.0,2617.0,6210.0,5312.0,283.0,36.0,5.0,31.0,8253.0,2991.0,9244.0,9280.0,2141.0,446.0,164.0,3286.0,8443.0,919.0,600.0,233.0,7.0,1256.0,1263.0,735.0,71.0,10168.0,227752.0,9546.0,9837.0,9.0,5.0,4.0,4173.0,8228.0,2906.0,7579.0,8490.0,258.0,448613,353203,156330,34226,261323,9255.0
