Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,3147.0,1232.0,1311.0,1235.0,1283.0,999.0,22.0,8.0,3.0,5.0,1074.0,61.0,2171.0,2179.0,190.0,244.0,9.0,143.0,908.0,1085.0,53.0,44.0,6.0,233.0,239.0,93.0,76.0,4793.0,148869.0,1870.0,1888.0,1828.0,1844.0,1940.0,2214.0,2212.0,0.0,1024.0,731.0,15.0,181539,141406,95843,3690,81949,1076.0
2,1390.0,491.0,817.0,629.0,141.0,6.0,0.0,356.0,333.0,23.0,94.0,94.0,446.0,802.0,0.0,106.0,3.0,20.0,298.0,1009.0,2.0,2.0,2.0,147.0,149.0,51.0,6.0,1467.0,19897.0,572.0,827.0,864.0,849.0,859.0,854.0,844.0,3.0,48.0,151.0,0.0,51228,36658,14347,1125,35677,448.0
1,3740.0,1676.0,1910.0,1793.0,1990.0,1462.0,16.0,31.0,7.0,24.0,1572.0,734.0,2577.0,2608.0,349.0,226.0,12.0,323.0,1245.0,926.0,89.0,68.0,1.0,255.0,256.0,110.0,59.0,4880.0,166810.0,2267.0,2157.0,2218.0,2212.0,2093.0,2285.0,2272.0,0.0,1251.0,846.0,21.0,191173,150348,101716,3803,85651,1595.0
2,842.0,550.0,800.0,729.0,543.0,518.0,1.0,225.0,159.0,66.0,167.0,110.0,642.0,867.0,0.0,115.0,5.0,35.0,280.0,975.0,18.0,3.0,3.0,150.0,153.0,60.0,4.0,991.0,32182.0,797.0,810.0,812.0,795.0,794.0,728.0,738.0,2.0,28.0,227.0,2.0,52073,38057,14717,1032,36324,389.0
1,4940.0,2137.0,2425.0,2335.0,2492.0,2137.0,14.0,20.0,9.0,11.0,1818.0,963.0,2937.0,2957.0,459.0,269.0,4.0,273.0,1387.0,946.0,248.0,88.0,1.0,227.0,228.0,121.0,92.0,5852.0,182724.0,2815.0,2388.0,2461.0,2413.0,2421.0,2687.0,2683.0,0.0,1525.0,691.0,34.0,201318,159855,107950,3920,89521,2535.0
2,844.0,554.0,693.0,724.0,806.0,404.0,0.0,215.0,35.0,180.0,128.0,90.0,629.0,844.0,0.0,126.0,6.0,44.0,301.0,791.0,25.0,0.0,1.0,145.0,146.0,31.0,3.0,1370.0,25511.0,803.0,810.0,800.0,826.0,774.0,742.0,734.0,0.0,129.0,500.0,11.0,52932,39510,15098,946,36982,582.0
1,7250.0,3217.0,3782.0,3011.0,3358.0,3132.0,11.0,3.0,1.0,2.0,1870.0,714.0,2977.0,2980.0,433.0,305.0,17.0,309.0,1464.0,961.0,244.0,57.0,0.0,229.0,229.0,137.0,87.0,4479.0,138512.0,2108.0,2490.0,2607.0,2673.0,2558.0,2977.0,2952.0,3.0,1321.0,797.0,66.0,212001,169964,114564,4041,93565,2985.0
2,946.0,666.0,801.0,849.0,706.0,413.0,0.0,74.0,0.0,74.0,226.0,131.0,805.0,879.0,0.0,174.0,11.0,23.0,289.0,958.0,51.0,0.0,3.0,153.0,156.0,26.0,2.0,1284.0,21066.0,846.0,843.0,824.0,764.0,769.0,748.0,748.0,0.0,103.0,524.0,4.0,53806,41018,15488,867,37652,877.0
1,7368.0,3296.0,4664.0,3264.0,4019.0,3077.0,33.0,1.0,0.0,1.0,1821.0,110.0,2896.0,2897.0,448.0,258.0,29.0,340.0,1351.0,918.0,194.0,41.0,0.0,161.0,161.0,103.0,51.0,4276.0,105247.0,2481.0,2664.0,2693.0,2686.0,2703.0,3326.0,3310.0,0.0,1127.0,564.0,42.0,223252,180711,121585,4165,97793,2884.0
2,980.0,654.0,740.0,744.0,928.0,403.0,0.0,58.0,0.0,58.0,189.0,53.0,793.0,851.0,29.0,177.0,8.0,7.0,221.0,820.0,24.0,0.0,0.0,114.0,114.0,10.0,4.0,1080.0,17846.0,831.0,849.0,793.0,792.0,766.0,772.0,772.0,0.0,120.0,535.0,2.0,54693,42584,15888,795,38334,848.0
1,7449.0,3403.0,4109.0,3588.0,4391.0,2505.0,15.0,2.0,1.0,1.0,2038.0,0.0,2930.0,2932.0,530.0,246.0,34.0,559.0,1477.0,919.0,154.0,44.0,5.0,221.0,226.0,77.0,51.0,5652.0,177848.0,2660.0,2722.0,865.0,1156.0,1417.0,3111.0,3090.0,2.0,1267.0,764.0,52.0,235099,192139,129035,4293,102211,2917.0
2,897.0,708.0,757.0,793.0,909.0,340.0,0.0,24.0,0.0,24.0,314.0,102.0,670.0,694.0,53.0,142.0,5.0,17.0,295.0,854.0,27.0,1.0,3.0,68.0,71.0,17.0,1.0,1246.0,22690.0,836.0,786.0,267.0,326.0,403.0,814.0,814.0,58.0,190.0,606.0,1.0,55595,44210,16299,729,39029,697.0
1,5356.0,3071.0,4479.0,2849.0,4821.0,2197.0,6.0,5.0,3.0,2.0,2311.0,139.0,3057.0,3062.0,595.0,198.0,36.0,741.0,1641.0,946.0,201.0,52.0,2.0,279.0,281.0,94.0,62.0,7485.0,235838.0,2937.0,2990.0,47.0,24.0,31.0,3175.0,3170.0,0.0,1944.0,790.0,26.0,247575,204289,136942,4425,106828,3048.0
2,801.0,689.0,695.0,750.0,675.0,304.0,0.0,17.0,0.0,17.0,440.0,126.0,440.0,457.0,123.0,0.0,0.0,28.0,332.0,1160.0,14.0,2.0,0.0,25.0,25.0,13.0,0.0,1359.0,24418.0,706.0,709.0,0.0,0.0,0.0,760.0,760.0,88.0,220.0,776.0,10.0,56512,45897,16720,668,39736,458.0
1,7135.0,5696.0,5322.0,1091.0,6214.0,2662.0,62.0,2.0,0.0,2.0,2464.0,1630.0,3117.0,3119.0,620.0,182.0,22.0,552.0,1800.0,914.0,102.0,97.0,0.0,263.0,263.0,136.0,64.0,7380.0,174556.0,3048.0,3034.0,27.0,22.0,7.0,1155.0,3236.0,17.0,1954.0,866.0,33.0,260714,217208,145334,4561,111655,3098.0
