Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,574706.0,122539.0,241525.0,198523.0,438750.0,50063.0,3841.0,17000.0,7063.0,9937.0,115513.0,13491.0,130856.0,147856.0,14249.0,6073.0,2473.0,24349.0,24110.0,900,9504.0,40238.0,3717.0,21372.0,25089.0,32937.0,6662.0,181412.0,9446956.0,123317.0,261356.0,267023.0,238959.0,224931.0,207277.0,250320.0,195.0,13210.0,22739.0,569.0,600842,444931,201028,11128,388630,156162.0
1,98217.0,7605.0,7553.0,12158.0,21033.0,9636.0,273.0,0.0,0.0,0.0,22458.0,16826.0,22458.0,22458.0,3937.0,1606.0,439.0,4828.0,2059.0,888,4958.0,1584.0,2092.0,2817.0,4909.0,1670.0,403.0,8819.0,735235.0,18203.0,18414.0,14402.0,11650.0,10200.0,10268.0,10268.0,0.0,7290.0,7935.0,383.0,594603,444072,199330,11216,384014,22139.0
2,65551.0,18942.0,37164.0,17676.0,31866.0,14989.0,717.0,255.0,133.0,122.0,8560.0,6955.0,10371.0,10626.0,2617.0,2231.0,194.0,3704.0,9690.0,873,2848.0,1063.0,94.0,1486.0,1580.0,2545.0,1625.0,18269.0,504796.0,13529.0,22391.0,24232.0,21803.0,20768.0,20830.0,20346.0,1.0,14631.0,18309.0,719.0,1657095,1290515,533684,23434,1099845,15504.0
3,23014.0,2051.0,4881.0,5662.0,950.0,3109.0,98.0,0.0,0.0,0.0,14953.0,12073.0,14953.0,14953.0,2862.0,0.0,399.0,359.0,1171.0,888,953.0,793.0,212.0,1594.0,1806.0,741.0,3.0,2059.0,134450.0,4686.0,3606.0,3392.0,2908.0,2773.0,2836.0,2836.0,0.0,2527.0,2342.0,329.0,148752,117395,57979,3089,87594,14783.0
4,52504.0,16264.0,29144.0,11927.0,22495.0,21769.0,708.0,623.0,33.0,590.0,7192.0,4802.0,12384.0,13007.0,1245.0,1789.0,215.0,2664.0,9780.0,903,1182.0,561.0,763.0,718.0,1481.0,2078.0,192.0,9777.0,627315.0,11477.0,17218.0,14268.0,13379.0,12763.0,12625.0,14347.0,2.0,8752.0,16990.0,5.0,865586,650565,275383,12622,577567,12905.0
5,93632.0,17940.0,18211.0,23074.0,41640.0,4365.0,2530.0,452.0,297.0,155.0,12033.0,9538.0,12033.0,12485.0,5119.0,894.0,416.0,1130.0,11749.0,683,731.0,3485.0,288.0,1244.0,1532.0,1982.0,501.0,9740.0,465043.0,25326.0,32260.0,30293.0,27400.0,24948.0,23490.0,25542.0,0.0,2945.0,868.0,0.0,2137714,1504052,588684,36822,1512087,14399.0
6,130531.0,36254.0,49638.0,48694.0,64599.0,38885.0,1358.0,3433.0,728.0,2705.0,12296.0,8067.0,12857.0,16290.0,2650.0,432.0,539.0,4261.0,10346.0,890,1881.0,2257.0,147.0,2065.0,2212.0,6032.0,104.0,57611.0,1960013.0,24383.0,55077.0,62384.0,57433.0,54481.0,53757.0,64896.0,19.0,8977.0,17941.0,259.0,3481414,2537806,1076843,52134,2352337,26398.0
7,84848.0,25702.0,52757.0,27798.0,37642.0,36480.0,1456.0,1450.0,335.0,1115.0,4996.0,949.0,10267.0,11717.0,792.0,2698.0,91.0,1590.0,6343.0,877,4032.0,1231.0,133.0,2098.0,2231.0,4775.0,702.0,39567.0,1440696.0,12029.0,34419.0,39642.0,36679.0,35812.0,34226.0,38820.0,7.0,12715.0,9317.0,31.0,2631883,1968382,841394,51676,1738670,11938.0
8,109122.0,34989.0,66991.0,30686.0,70019.0,37687.0,4404.0,1752.0,1059.0,693.0,29257.0,6180.0,29258.0,31010.0,3902.0,441.0,712.0,5097.0,20654.0,896,2537.0,1497.0,218.0,2583.0,2801.0,3785.0,743.0,25859.0,1143997.0,31632.0,44435.0,32668.0,29735.0,28133.0,27167.0,26104.0,23.0,5007.0,4328.0,157.0,2173573,1666372,709899,42486,1421169,30313.0
9,121969.0,28519.0,59457.0,27004.0,84792.0,49825.0,6799.0,3591.0,339.0,3252.0,16752.0,11760.0,21107.0,24698.0,3110.0,2143.0,405.0,6240.0,19065.0,894,1574.0,1379.0,253.0,2885.0,3138.0,4489.0,391.0,26554.0,1252918.0,21886.0,40084.0,39836.0,37559.0,36488.0,34171.0,33907.0,4.0,19262.0,33331.0,700.0,2454379,1867084,806486,34638,1613129,24227.0
