Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,32624.0,7765.0,27667.0,13568.0,7831.0,1920.0,94.0,49.0,20.0,29.0,11102.0,41.0,14682.0,14731.0,2376.0,280.0,320.0,3275.0,4656.0,867.0,384.0,702.0,11.0,3321.0,3332.0,819.0,750.0,24562.0,70810.0,15508.0,17144.0,13418.0,13522.0,13667.0,12723.0,0.0,0.0,1535.0,287.0,0.0,799704,632536,260955,60298,478179,14575.0
2,14177.0,3419.0,12849.0,9111.0,7607.0,623.0,4.0,89.0,26.0,63.0,5212.0,0.0,8870.0,8959.0,919.0,698.0,58.0,902.0,2932.0,861.0,258.0,286.0,18.0,2004.0,2022.0,512.0,628.0,17662.0,34270.0,9501.0,10669.0,10722.0,11076.0,10885.0,9700.0,0.0,0.0,0.0,11.0,0.0,624649,475753,199265,39377,385742,9132.0
1,16585.0,10950.0,14904.0,12303.0,10106.0,2178.0,180.0,33.0,11.0,22.0,8134.0,1.0,12586.0,12619.0,2029.0,505.0,268.0,2804.0,10068.0,914.0,385.0,471.0,8.0,2404.0,2412.0,566.0,686.0,25038.0,68560.0,13868.0,15103.0,9943.0,9890.0,10202.0,12501.0,2175.0,0.0,2426.0,2115.0,0.0,805759,642551,263752,59597,482202,12451.0
2,13545.0,6776.0,10198.0,7897.0,8722.0,2225.0,111.0,57.0,8.0,49.0,3052.0,111.0,6864.0,6921.0,402.0,765.0,86.0,862.0,6303.0,929.0,206.0,94.0,18.0,1745.0,1763.0,284.0,619.0,18032.0,35230.0,7539.0,9229.0,8631.0,8885.0,8844.0,9802.0,1776.0,0.0,1905.0,563.0,0.0,629901,484483,201686,40541,387469,6877.0
1,17358.0,10038.0,15230.0,11420.0,13581.0,3254.0,146.0,21.0,5.0,16.0,7585.0,0.0,12580.0,12601.0,2011.0,917.0,193.0,2783.0,9933.0,895.0,838.0,489.0,5.0,2050.0,2055.0,503.0,726.0,27989.0,70590.0,12433.0,14340.0,12444.0,12469.0,12715.0,12392.0,12392.0,0.0,2505.0,2347.0,0.0,811860,652725,266579,58905,486259,12499.0
2,13627.0,6557.0,9754.0,9882.0,11076.0,1520.0,130.0,80.0,14.0,66.0,2665.0,0.0,7527.0,7607.0,541.0,1310.0,27.0,646.0,6790.0,973.0,403.0,166.0,19.0,1702.0,1721.0,284.0,658.0,19093.0,40000.0,8168.0,9625.0,10076.0,10420.0,10293.0,9777.0,9777.0,0.0,3075.0,1744.0,0.0,635196,493373,204136,41739,389204,7586.0
1,17383.0,9052.0,13150.0,10056.0,19141.0,3410.0,191.0,27.0,0.0,27.0,8161.0,11.0,13688.0,13715.0,4087.0,1572.0,279.0,2996.0,10741.0,966.0,858.0,387.0,37.0,3276.0,3313.0,646.0,824.0,30413.0,168810.0,11803.0,13700.0,13661.0,13070.0,13053.0,11779.0,10872.0,22.0,4354.0,2016.0,1.0,818008,663060,269437,58220,490349,13641.0
2,12470.0,4943.0,7512.0,9669.0,10498.0,1505.0,112.0,44.0,8.0,36.0,3293.0,0.0,7789.0,7833.0,838.0,1713.0,52.0,799.0,6445.0,958.0,381.0,125.0,34.0,2112.0,2146.0,412.0,734.0,20268.0,58532.0,8591.0,9635.0,10979.0,10739.0,10537.0,9766.0,9242.0,3.0,3255.0,2023.0,0.0,640536,502426,206616,42974,390946,7930.0
1,17583.0,9429.0,11932.0,8860.0,15146.0,3075.0,133.0,14.0,2.0,12.0,7830.0,29.0,12501.0,12515.0,2460.0,1413.0,225.0,2641.0,9709.0,926.0,886.0,239.0,17.0,2008.0,2025.0,444.0,527.0,54860.0,147345.0,11686.0,13069.0,12987.0,13202.0,12726.0,13728.0,11584.0,10.0,3818.0,4408.0,3.0,824201,673558,272324,57544,494475,12415.0
2,10499.0,4212.0,6268.0,7642.0,10100.0,2507.0,120.0,10.0,0.0,10.0,3397.0,0.0,5372.0,5382.0,886.0,755.0,22.0,634.0,4437.0,952.0,335.0,102.0,14.0,1238.0,1252.0,262.0,261.0,18679.0,43800.0,8240.0,8929.0,8914.0,9436.0,9483.0,9983.0,9537.0,0.0,3243.0,1697.0,2.0,645922,511646,209125,44244,392697,5383.0
1,15646.0,8837.0,11310.0,7658.0,12996.0,3247.0,162.0,10.0,2.0,8.0,7961.0,19.0,10828.0,10838.0,2263.0,1162.0,279.0,1972.0,8222.0,891.0,606.0,221.0,9.0,1837.0,1846.0,457.0,365.0,43617.0,123722.0,10147.0,11347.0,364.0,421.0,402.0,12366.0,10096.0,10.0,4435.0,5542.0,44.0,830442,684222,275243,56876,498634,10670.0
2,9936.0,4607.0,6176.0,6099.0,8919.0,2452.0,188.0,5.0,0.0,5.0,3399.0,0.0,5221.0,5226.0,954.0,870.0,18.0,661.0,4290.0,932.0,297.0,64.0,12.0,975.0,987.0,219.0,353.0,21003.0,65990.0,6812.0,7176.0,375.0,393.0,418.0,9471.0,8551.0,0.0,3218.0,1632.0,2.0,651352,521034,211666,45552,394455,5246.0
1,16552.0,9769.0,10941.0,8182.0,12853.0,3547.0,153.0,13.0,1.0,12.0,8340.0,2.0,11878.0,11891.0,2408.0,1427.0,324.0,2229.0,8532.0,916.0,474.0,243.0,3.0,1803.0,1806.0,526.0,366.0,22259.0,211994.0,11155.0,11757.0,357.0,352.0,361.0,11614.0,9329.0,11.0,5182.0,4427.0,53.0,836730,695056,278193,56215,502829,11707.0
2,9443.0,4944.0,6030.0,5308.0,7210.0,2375.0,117.0,8.0,2.0,6.0,3214.0,0.0,6251.0,6259.0,980.0,1551.0,12.0,727.0,5066.0,982.0,317.0,60.0,12.0,975.0,987.0,234.0,228.0,10178.0,141281.0,7157.0,7415.0,72.0,96.0,85.0,9964.0,9198.0,4.0,2585.0,1271.0,6.0,656828,530595,214237,46899,396221,6267.0
1,15126.0,9527.0,10732.0,7796.0,10639.0,2651.0,305.0,7.0,0.0,7.0,7660.0,2.0,11550.0,11557.0,2439.0,1694.0,338.0,2141.0,7807.0,910.0,667.0,93.0,4.0,1555.0,1559.0,391.0,292.0,8434.0,187578.0,10046.0,10584.0,297.0,271.0,334.0,10663.0,9546.0,18.0,4522.0,4936.0,34.0,843066,706061,281175,55562,507059,11356.0
2,10562.0,5562.0,6245.0,5916.0,7729.0,2821.0,36.0,0.0,0.0,0.0,3789.0,0.0,7590.0,7590.0,1100.0,2055.0,10.0,809.0,6494.0,931.0,296.0,169.0,17.0,1076.0,1093.0,421.0,188.0,10949.0,205562.0,7535.0,8255.0,44.0,34.0,42.0,11155.0,9978.0,8.0,2438.0,3093.0,3.0,662350,540331,216840,48285,397995,7607.0
1,13338.0,7466.0,10138.0,6263.0,9029.0,1709.0,220.0,8.0,1.0,7.0,7198.0,1.0,9742.0,9750.0,2226.0,1221.0,200.0,2004.0,7136.0,951.0,470.0,114.0,3.0,1399.0,1402.0,443.0,255.0,8075.0,204042.0,9446.0,10202.0,313.0,231.0,260.0,8440.0,7624.0,14.0,4036.0,7902.0,63.0,849449,717240,284189,54916,511325,9662.0
2,10753.0,6677.0,8358.0,5824.0,5575.0,3206.0,62.0,3.0,0.0,3.0,3905.0,2.0,7767.0,7770.0,1153.0,1729.0,10.0,782.0,5928.0,920.0,355.0,198.0,7.0,1254.0,1261.0,403.0,222.0,13292.0,161445.0,8112.0,8475.0,49.0,50.0,52.0,9828.0,9254.0,17.0,4547.0,7630.0,6.0,667918,550246,219474,49713,399776,7815.0
1,13052.0,6308.0,9222.0,635.0,8067.0,2273.0,176.0,7.0,1.0,6.0,6875.0,7.0,9614.0,9621.0,2279.0,1297.0,133.0,2007.0,7535.0,939.0,375.0,106.0,2.0,1309.0,1311.0,386.0,148.0,9511.0,183263.0,9035.0,10016.0,241.0,139.0,122.0,3631.0,9546.0,13.0,3587.0,8280.0,91.0,855881,728596,287235,54278,515627,9588.0
2,11451.0,7250.0,7940.0,1365.0,7269.0,3839.0,79.0,5.0,0.0,5.0,4289.0,9.0,9264.0,9269.0,1310.0,2836.0,20.0,930.0,6660.0,945.0,229.0,166.0,10.0,1126.0,1136.0,383.0,145.0,8381.0,178725.0,7736.0,7910.0,11.0,16.0,15.0,4730.0,11416.0,25.0,3876.0,7757.0,17.0,673534,560343,222140,51183,401566,9295.0
