Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,133020.0,73581.0,104320.0,111175.0,65534.0,74690.0,10987.0,11437.0,3827.0,7610.0,45397.0,0.0,104170.0,115607.0,6983.0,2699.0,6063.0,16718.0,95530.0,886.0,2834.0,3520.0,849.0,38008.0,38857.0,73906.0,0.0,765011.0,14025434.0,77012.0,117022.0,119927.0,109996.0,106044.0,102640.0,100855.0,610.0,0.0,0.0,2901.0,6762880,4962437,2157653,245614,4358947,118234.0
2,40563.0,21238.0,28472.0,37183.0,7750.0,9696.0,2252.0,7906.0,4800.0,3106.0,11446.0,0.0,24875.0,32781.0,427.0,128.0,1370.0,5118.0,35699.0,875.0,219.0,53.0,25.0,7633.0,7658.0,20143.0,0.0,89023.0,2179788.0,21970.0,35679.0,32401.0,31359.0,32348.0,31367.0,29797.0,1188.0,0.0,0.0,260.0,1477057,928754,510679,128816,837342,34785.0
3,54394.0,33839.0,47761.0,51789.0,35605.0,36071.0,2653.0,3307.0,1545.0,1762.0,14093.0,13056.0,44849.0,48156.0,226.0,1996.0,844.0,5362.0,42265.0,906.0,342.0,1969.0,168.0,14258.0,14426.0,23457.0,0.0,103401.0,3482367.0,28503.0,48790.0,47548.0,45680.0,47020.0,46310.0,45923.0,0.0,0.0,0.0,599.0,2018998,1433884,667474,158348,1192384,46106.0
4,75645.0,44404.0,54792.0,74310.0,5785.0,8131.0,989.0,12563.0,5943.0,6620.0,5631.0,773.0,54610.0,67173.0,27.0,54.0,4945.0,11361.0,61572.0,886.0,925.0,1.0,237.0,23326.0,23563.0,42382.0,0.0,139055.0,3463834.0,12717.0,67139.0,61627.0,59525.0,63631.0,61417.0,58787.0,381.0,0.0,0.0,1749.0,2921194,1468942,953816,243786,1720098,65697.0
5,40850.0,26418.0,30114.0,39384.0,10023.0,9114.0,1798.0,8227.0,3590.0,4637.0,8474.0,0.0,22495.0,30722.0,4146.0,284.0,1793.0,7448.0,37801.0,864.0,409.0,213.0,14.0,7677.0,7691.0,12223.0,0.0,48956.0,2081639.0,28601.0,43842.0,44218.0,40172.0,40364.0,38327.0,36799.0,185.0,0.0,0.0,864.0,1494550,1039115,508753,100750,884823,36640.0
6,64929.0,38352.0,46673.0,50583.0,25693.0,10337.0,1252.0,12683.0,7624.0,5059.0,21537.0,0.0,46542.0,59225.0,142.0,285.0,1925.0,7236.0,50100.0,879.0,332.0,193.0,1367.0,12950.0,14317.0,24776.0,0.0,119271.0,3606190.0,33046.0,58238.0,57138.0,53581.0,52372.0,48068.0,45818.0,520.0,0.0,0.0,399.0,2750444,1713936,923472,159946,1665606,59565.0
7,43650.0,25956.0,31820.0,43417.0,2394.0,4916.0,881.0,5921.0,1853.0,4068.0,2989.0,0.0,25050.0,30971.0,362.0,14.0,1980.0,4945.0,34917.0,904.0,777.0,159.0,67.0,9617.0,9684.0,21475.0,0.0,224020.0,2917806.0,20006.0,35779.0,38789.0,37324.0,37277.0,35233.0,32310.0,564.0,0.0,0.0,947.0,1966160,857041,535644,402857,1025752,34542.0
8,38354.0,21728.0,26650.0,34279.0,11142.0,18602.0,2789.0,639.0,300.0,339.0,7874.0,2246.0,32970.0,33609.0,585.0,671.0,651.0,3729.0,29664.0,891.0,631.0,169.0,297.0,10706.0,11003.0,22130.0,321.0,84865.0,2819350.0,21581.0,34215.0,34357.0,33719.0,32897.0,31841.0,30934.0,20.0,0.0,0.0,617.0,1374309,982770,456535,84175,833020,33044.0
9,50109.0,31831.0,38488.0,42225.0,20246.0,11308.0,743.0,7385.0,2615.0,4770.0,21468.0,0.0,34655.0,42040.0,272.0,47.0,1268.0,2931.0,36016.0,909.0,1281.0,108.0,16.0,8282.0,8298.0,24820.0,0.0,127537.0,3019900.0,36915.0,47503.0,43060.0,41378.0,41171.0,40987.0,38653.0,87.0,0.0,0.0,519.0,2079952,1294220,690603,121202,1268104,42964.0
10,51210.0,37751.0,45306.0,50533.0,12448.0,18780.0,1971.0,7725.0,4658.0,3067.0,10363.0,0.0,36118.0,43843.0,924.0,226.0,1490.0,4632.0,44675.0,909.0,1212.0,77.0,974.0,9778.0,10752.0,26586.0,0.0,150191.0,3369217.0,33539.0,45081.0,45069.0,42860.0,43074.0,41349.0,40717.0,713.0,0.0,0.0,732.0,2651061,1700198,892510,190675,1565716,45471.0
11,30938.0,17347.0,21647.0,29064.0,1370.0,534.0,81.0,8471.0,2402.0,6069.0,4471.0,0.0,16335.0,24806.0,3.0,1.0,1139.0,1636.0,29157.0,938.0,273.0,0.0,44.0,6677.0,6721.0,8169.0,0.0,96140.0,2196855.0,13359.0,27807.0,26930.0,26142.0,25815.0,23927.0,22912.0,577.0,0.0,0.0,488.0,1924464,1092511,623819,94380,1203826,25117.0
12,65836.0,44112.0,53318.0,63520.0,51309.0,8139.0,928.0,4215.0,4215.0,0.0,16442.0,404.0,56756.0,60971.0,473.0,1954.0,806.0,6245.0,55268.0,946.0,1059.0,883.0,2724.0,18505.0,21229.0,36951.0,0.0,107307.0,2789827.0,38276.0,55681.0,57292.0,53485.0,55861.0,55403.0,53814.0,383.0,0.0,0.0,495.0,2213458,1522297,713699,212426,1285574,60168.0
13,42855.0,34346.0,35589.0,43731.0,6608.0,5437.0,464.0,522.0,285.0,237.0,2583.0,0.0,34357.0,34879.0,49.0,190.0,1562.0,6081.0,43445.0,860.0,1683.0,308.0,176.0,11316.0,11492.0,35640.0,0.0,186007.0,5518533.0,26412.0,37198.0,37727.0,36502.0,36820.0,35197.0,34863.0,51.0,0.0,0.0,756.0,1973788,1400454,688486,126461,1154553,42754.0
14,12841.0,7925.0,8955.0,11476.0,12911.0,9615.0,1099.0,2354.0,566.0,1788.0,5820.0,0.0,9255.0,11609.0,106.0,54.0,704.0,1303.0,11473.0,891.0,365.0,69.0,16.0,3576.0,3592.0,4239.0,0.0,24411.0,1021932.0,5716.0,11647.0,11048.0,11033.0,11242.0,9968.0,9907.0,15.0,0.0,0.0,371.0,566422,332846,188477,95056,282814,11046.0
