Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,31183.0,10645.0,21558.0,27330.0,20711.0,4130.0,1055.0,4439.0,1003.0,3436.0,16092.0,11376.0,16092.0,20531.0,404.0,1541.0,219.0,4104.0,16172.0,923,621.0,818.0,153.0,2593.0,2746.0,8891.0,0.0,50651.0,1339902.0,22217.0,25053.0,26389.0,26081.0,26870.0,26622.0,25622.0,19.0,560.0,1752.0,0.0,1092886,767978,305641,51496,735671,20374.0
2,37422.0,20136.0,34122.0,33967.0,15172.0,3882.0,406.0,19154.0,14176.0,4978.0,6742.0,6620.0,13796.0,32950.0,60.0,0.0,269.0,1624.0,32022.0,865,485.0,316.0,161.0,6342.0,6503.0,13469.0,0.0,79578.0,1492787.0,5816.0,37115.0,33554.0,32797.0,32796.0,35650.0,35110.0,0.0,34.0,886.0,0.0,1568576,984148,439434,179338,948237,32950.0
3,68642.0,20916.0,38851.0,49185.0,44555.0,8334.0,1154.0,24294.0,17807.0,6487.0,10761.0,4367.0,31454.0,55748.0,1176.0,44.0,350.0,15120.0,15448.0,936,7218.0,3626.0,1237.0,7099.0,8336.0,13607.0,4022.0,315312.0,2450950.0,11164.0,60805.0,42570.0,38527.0,35376.0,50608.0,46717.0,1909.0,1886.0,7740.0,173.0,1917502,1271856,527162,104811,1281489,56940.0
4,20807.0,5965.0,15087.0,20889.0,8604.0,9433.0,2601.0,7381.0,5169.0,2212.0,7047.0,6779.0,14264.0,21645.0,904.0,540.0,334.0,1912.0,14913.0,897,207.0,557.0,41.0,4873.0,4914.0,6718.0,330.0,42264.0,1038551.0,15765.0,21071.0,21163.0,20201.0,19518.0,19888.0,19233.0,0.0,2146.0,2306.0,394.0,899011,501717,278633,87995,530450,21425.0
5,36079.0,11550.0,29082.0,31894.0,18985.0,16098.0,1996.0,4364.0,2399.0,1965.0,21393.0,21331.0,21393.0,25757.0,234.0,1008.0,162.0,8339.0,25408.0,867,3924.0,2553.0,685.0,4141.0,4826.0,6066.0,304.0,66855.0,1159775.0,25189.0,31897.0,32050.0,30455.0,30428.0,28876.0,28876.0,0.0,2322.0,2289.0,181.0,1556789,1019740,480486,78674,987602,25670.0
6,49641.0,20333.0,34791.0,42220.0,30670.0,9905.0,3218.0,13100.0,4626.0,8474.0,14202.0,5255.0,18877.0,31977.0,301.0,244.0,407.0,12989.0,26470.0,904,521.0,1496.0,288.0,11111.0,11399.0,11320.0,1741.0,68241.0,1965977.0,31111.0,40532.0,37197.0,36340.0,36420.0,37454.0,37454.0,0.0,143.0,58.0,170.0,1679123,1024577,526862,156809,994460,31800.0
7,18802.0,8685.0,12808.0,17793.0,8892.0,4775.0,609.0,9769.0,4386.0,5383.0,5091.0,5091.0,7138.0,16907.0,0.0,0.0,127.0,2167.0,12559.0,807,173.0,212.0,77.0,3782.0,3859.0,7440.0,0.0,28436.0,986586.0,10175.0,21408.0,20521.0,20363.0,20730.0,18888.0,18888.0,0.0,43.0,225.0,8.0,934199,632580,255029,88676,585947,16162.0
8,32123.0,23351.0,22426.0,30042.0,17995.0,15646.0,576.0,11657.0,3650.0,8007.0,10360.0,4671.0,10360.0,22017.0,175.0,0.0,394.0,10183.0,21174.0,887,296.0,835.0,397.0,4818.0,5215.0,11842.0,0.0,48368.0,1651000.0,3383.0,28536.0,28091.0,27150.0,27016.0,29071.0,25023.0,0.0,779.0,486.0,255.0,1289106,763197,381657,141158,764932,28008.0
9,22241.0,6060.0,19686.0,23947.0,9412.0,5172.0,238.0,5673.0,1118.0,4555.0,7227.0,7183.0,17443.0,23116.0,98.0,75.0,219.0,5300.0,23006.0,870,571.0,186.0,439.0,2470.0,2909.0,6107.0,0.0,46141.0,1088678.0,19196.0,24907.0,24814.0,24910.0,25903.0,24670.0,24670.0,0.0,62.0,754.0,109.0,1034128,588504,283710,88957,659850,24611.0
10,34872.0,17998.0,18778.0,35177.0,31752.0,8239.0,1400.0,9664.0,5159.0,4505.0,8176.0,7391.0,24114.0,33778.0,175.0,0.0,360.0,6806.0,21554.0,819,1406.0,152.0,1692.0,2401.0,4093.0,8541.0,5.0,81326.0,1414848.0,23866.0,33056.0,27610.0,28237.0,32585.0,32990.0,43886.0,0.0,1024.0,502.0,141.0,1431892,896815,393842,103145,934673,34017.0
