Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,7579,466.0,6274,7275,5337,44.0,0.0,3130,275,2855,2713,0.0,3367,6497,27.0,0.0,40.0,423,420.0,249,0.0,115.0,198,1977,2175,3184,0.0,35241,641829,1162,7766,6896,6963,7113,6635,6017,0.0,134.0,615.0,5.0,369140,269568,105528,85504,175510,6490
2,11934,383.0,6800,10135,9946,245.0,89.0,5150,798,4352,2457,20.0,2457,7607,15.0,0.0,164.0,329,629.0,945,47.0,91.0,1365,1098,2463,1757,0.0,26935,595960,1742,10104,10286,10294,10107,9105,9105,0.0,115.0,66.0,0.0,500889,298265,122212,148479,226648,7452
3,10805,4814.0,8477,9750,4562,225.0,0.0,2818,201,2617,5707,761.0,5707,8525,68.0,0.0,99.0,420,881.0,929,9.0,75.0,120,2076,2196,2153,0.0,27730,547525,2863,9343,8459,8773,9205,8635,8635,0.0,0.0,0.0,1.0,441716,339060,124234,105725,211159,8421
4,32403,3585.0,25030,28585,23106,3550.0,427.0,11181,399,10782,9262,536.0,9262,20443,14.0,22.0,183.0,469,2980.0,961,129.0,349.0,159,5827,5986,3757,0.0,78339,1293490,4256,28343,26370,26640,28219,25922,25630,0.0,0.0,944.0,18.0,1456585,1084410,320569,324390,808482,20272
5,1868,36.0,1058,1611,1690,0.0,0.0,491,90,401,658,0.0,658,1149,0.0,0.0,11.0,54,0.0,942,0.0,1.0,125,121,246,149,0.0,9224,97247,115,1410,1496,1602,1608,1483,1475,0.0,0.0,0.0,0.0,82341,57917,44739,8843,28624,1144
6,9606,2083.0,6851,9191,6467,498.0,43.0,4629,31,4598,4155,451.0,4155,8784,0.0,7.0,58.0,351,746.0,944,9.0,116.0,949,1302,2251,2893,0.0,28908,590959,934,8354,8226,8262,8461,8191,8191,0.0,76.0,944.0,5.0,420181,285452,185293,66458,167681,8748
7,479,34.0,264,479,492,0.0,0.0,127,48,79,137,0.0,137,264,0.0,0.0,3.0,9,0.0,963,0.0,6.0,33,90,123,122,0.0,3810,84700,71,445,489,454,430,454,442,0.0,0.0,0.0,0.0,32053,21773,16298,3247,12228,263
8,20102,1978.0,18337,19064,14689,1345.0,13.0,8332,591,7741,9190,415.0,9190,17522,67.0,11.0,179.0,665,2465.0,968,25.0,218.0,191,4534,4725,4588,0.0,65983,1253709,2750,19530,18359,18449,19465,18139,17850,0.0,173.0,27.0,57.0,969168,679983,279543,252594,432994,17517
9,22564,0.0,14377,15787,17522,188.0,0.0,2695,174,2521,11629,49.0,11629,14324,118.0,0.0,184.0,1514,0.0,945,0.0,465.0,428,3544,3972,3028,0.0,46049,732505,3385,17389,14954,15150,15083,14755,14610,0.0,0.0,0.0,0.0,785402,577908,309939,99123,373569,14140
10,11189,107.0,7448,10755,11813,0.0,0.0,4436,121,4315,4163,514.0,4163,8599,0.0,0.0,113.0,335,0.0,949,27.0,353.0,61,2226,2287,998,0.0,18685,380386,790,10715,10641,10214,10494,9716,9626,0.0,0.0,0.0,26.0,507385,333632,188322,73174,244529,8285
11,12359,495.0,7526,11374,12365,534.0,132.0,5056,226,4830,4723,28.0,4723,9779,18.0,0.0,97.0,504,40.0,949,7.0,99.0,208,2642,2850,1762,0.0,21541,578671,820,10900,10590,10415,10872,10243,10151,0.0,830.0,1912.0,13.0,555141,397121,203940,82836,267430,9484
12,12824,94.0,9679,10197,9552,0.0,0.0,4109,616,3493,3832,185.0,3832,7941,0.0,0.0,115.0,245,206.0,911,0.0,86.0,103,1436,1539,1272,0.0,24990,383694,1692,10015,9399,9316,9785,8923,8923,0.0,0.0,0.0,8.0,498138,371182,129653,81383,286707,7743
