Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,28421,3734.0,7126,31314,15940.0,1180.0,751.0,7199,2384.0,4815.0,18412.0,1141.0,18412,25611,4.0,0.0,519.0,304.0,17851.0,843,367.0,115.0,10.0,739.0,749.0,1546,0.0,9539,37004,6984.0,32333,14102.0,14744.0,28976.0,30691,30027,0.0,93.0,1531,0.0,1105999,519402,198869,184994,714427,20062.0
2,28066,0.0,14290,17785,130780.0,0.0,0.0,4893,4893.0,0.0,10983.0,0.0,10983,15876,0.0,0.0,0.0,0.0,1134.0,946,161.0,184.0,77.0,308.0,385.0,1417,0.0,11291,67212,8966.0,15896,18396.0,18783.0,18670.0,18138,15999,1056.0,33.0,133,0.0,714029,298159,137974,79775,494012,12963.0
3,40198,10828.0,9963,13151,82499.0,810.0,734.0,3182,1324.0,1858.0,9401.0,1322.0,9485,12667,186.0,0.0,186.0,110.0,598.0,1001,457.0,420.0,12.0,350.0,362.0,3451,1.0,20749,108576,8169.0,28437,19046.0,19382.0,19207.0,25857,8321,0.0,1813.0,7629,0.0,1054060,513658,209764,111285,730927,12676.0
4,7679,1739.0,1607,10221,1917.0,0.0,0.0,5303,1823.0,3480.0,2226.0,24.0,2226,7529,202.0,0.0,228.0,106.0,0.0,1037,0.0,221.0,36.0,1415.0,1451.0,516,0.0,3861,50998,70.0,9356,8992.0,8841.0,10385.0,8943,8829,0.0,309.0,404,4.0,479644,234397,103832,85188,288337,7556.0
5,101028,32990.0,24574,25418,913384.0,8417.0,589.0,4251,1817.0,2434.0,28943.0,20670.0,28943,33194,632.0,149.0,48.0,3026.0,25028.0,896,145.0,526.0,184.0,4010.0,4194.0,2565,3.0,20209,334926,26209.0,37987,25765.0,22957.0,26058.0,30267,39254,26.0,353.0,2065,19.0,1547369,1116743,417426,96943,1032913,30762.0
6,3461,1353.0,987,2271,3402.0,34.0,4.0,1567,717.0,850.0,1541.0,768.0,1541,3108,342.0,0.0,0.0,0.0,131.0,0,0.0,0.0,13.0,112.0,125.0,2585,0.0,3086,3817,2663.0,3099,2891.0,2391.0,2659.0,3274,850,0.0,48.0,138,641.0,133975,77653,31486,21078,80444,0.0
7,16057,8580.0,10217,12884,9917.0,2607.0,431.0,5571,5102.0,469.0,4148.0,1275.0,4148,9719,943.0,0.0,106.0,432.0,2509.0,917,191.0,674.0,208.0,1756.0,1964.0,1301,0.0,14961,253793,1281.0,15316,15637.0,15519.0,15270.0,14727,19300,0.0,134.0,399,0.0,595730,362595,148293,52972,393175,9719.0
8,15679,5555.0,4579,8657,64123.0,2672.0,780.0,2475,1156.0,1319.0,4281.0,2317.0,4313,6788,132.0,2.0,368.0,421.0,522.0,992,497.0,295.0,0.0,52.0,52.0,1829,51.0,8616,24735,4143.0,12936,13363.0,14213.0,13878.0,12996,16424,220.0,67.0,2727,5.0,797516,363192,123799,99998,571937,6427.0
9,3092,831.0,1189,1507,2891.0,83.0,36.0,199,57.0,142.0,1800.0,487.0,1800,1999,136.0,0.0,41.0,316.0,182.0,934,134.0,75.0,7.0,22.0,29.0,1050,0.0,734,5930,42.0,2171,1926.0,1827.0,1764.0,1818,1818,0.0,448.0,856,16.0,128387,85256,50856,18361,58616,1928.0
10,13507,2755.0,6991,10073,2587.0,0.0,0.0,5353,2331.0,3022.0,3941.0,174.0,3941,9294,934.0,0.0,268.0,290.0,1382.0,913,79.0,459.0,0.0,1059.0,1059.0,1758,0.0,8791,106753,0.0,12757,13139.0,12413.0,12588.0,11647,10836,0.0,1293.0,2096,0.0,442828,224264,76996,95365,262743,9027.0
11,16212,12847.0,9332,13503,4926.0,1971.0,365.0,1796,956.0,840.0,15130.0,3567.0,15130,16926,1182.0,0.0,120.0,3279.0,3787.0,952,592.0,222.0,88.0,438.0,526.0,855,0.0,6155,33295,0.0,15143,15275.0,15662.0,15613.0,12576,9866,0.0,282.0,535,19.0,586632,290169,111844,80341,391232,15269.0
12,19512,10391.0,9558,16270,1011400.0,3783.0,115.0,1156,0.0,1156.0,5849.0,1005.0,5849,7005,485.0,0.0,54.0,3062.0,5795.0,988,398.0,1658.0,11.0,1624.0,1635.0,2434,0.0,25811,313120,4512.0,16883,17723.0,16740.0,15712.0,15687,8482,0.0,2408.0,5431,0.0,0,0,0,0,0,5795.0
