Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,26083,0.0,16624,21790,22686,0.0,0.0,16047,5684.0,10363,8421,0.0,8421,24468,0.0,0.0,235,2881,0.0,931,938.0,938.0,4650.0,7762,12412,4110,0.0,72603,712482,15046,36229,39352,36199,35889,34422,28175,0.0,0.0,0.0,106.0,1972447,1156340,366474,257408,1343437,24233
2,22769,0.0,11681,16675,22569,0.0,0.0,11102,4400.0,6702,5799,0.0,5799,16901,0.0,0.0,119,1776,0.0,836,0.0,0.0,2.0,317,319,3416,0.0,8839,473647,8709,26384,24803,22864,21306,20525,16535,0.0,0.0,0.0,0.0,960041,421568,193480,168562,594921,16782
3,27925,0.0,14876,19220,27925,0.0,0.0,10506,3700.0,6806,11363,0.0,11363,21869,0.0,0.0,371,283,0.0,955,166.0,166.0,59.0,5765,5824,6629,0.0,24922,269150,14284,30528,29716,27478,25822,25375,25075,0.0,0.0,0.0,193.0,1385461,678000,293050,216633,872688,21498
4,42658,0.0,23243,30205,42494,0.0,0.0,16367,6927.0,9440,10069,0.0,10069,26436,0.0,0.0,115,7539,0.0,957,199.0,199.0,585.0,9008,9593,11250,0.0,208377,1715108,21871,56788,57180,54144,53205,54249,38551,0.0,0.0,0.0,0.0,2594829,1600378,529851,252382,1807226,26321
5,26142,0.0,16672,21454,26142,0.0,0.0,12458,6951.0,5507,8509,0.0,8509,20967,0.0,0.0,148,1675,1268.0,773,80.0,77.0,102.0,349,451,1914,0.0,38846,92189,15238,26123,25004,22356,20901,23969,23969,0.0,0.0,0.0,0.0,1439985,677884,291517,361583,772051,20819
6,32592,0.0,18439,22320,32573,0.0,0.0,15060,8062.0,6998,10798,0.0,10798,25858,0.0,0.0,392,1852,3279.0,931,8.0,8.0,106.0,3013,3119,3955,0.0,44982,491691,10708,34859,34497,33227,32738,30561,26794,0.0,0.0,0.0,162.0,1229087,526030,190309,308443,713539,25466
7,26948,0.0,15333,20997,26657,0.0,0.0,12687,6853.0,5834,11637,0.0,11637,24324,0.0,0.0,290,1754,0.0,939,234.0,234.0,249.0,1370,1619,4163,0.0,62031,533498,11893,53622,51480,48671,44866,36854,34432,0.0,0.0,0.0,72.0,2268734,1037513,389850,502413,1362602,24034
8,26628,0.0,14191,21260,26628,0.0,0.0,11100,4605.0,6495,6017,0.0,6017,17117,0.0,0.0,206,2164,854.0,890,171.0,171.0,158.0,3048,3206,1878,766.0,31802,286400,7107,28469,25914,20784,19412,24844,24744,0.0,0.0,0.0,84.0,1227477,519104,236618,268615,717934,16947
9,25781,0.0,13498,20602,25781,0.0,0.0,15799,6937.0,8862,6142,0.0,6142,21941,0.0,0.0,344,1105,0.0,863,89.0,89.0,495.0,1511,2006,4114,0.0,40032,387825,9476,24721,23798,23428,22569,21921,21921,0.0,0.0,0.0,202.0,1112647,562260,321311,209588,578932,21597
10,32057,0.0,16706,22055,32057,0.0,0.0,19313,5867.0,13446,8821,0.0,8821,28134,0.0,0.0,218,3018,0.0,896,453.0,453.0,342.0,18605,18947,4714,0.0,73228,663076,19427,36612,34533,32041,30499,31225,27412,0.0,0.0,0.0,80.0,1882162,1029918,378851,304465,1188741,27933
