Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,47583.0,20534.0,32669.0,41312.0,28090.0,504.0,36.0,9820.0,7473.0,2347.0,29019.0,6685.0,29019.0,38839.0,2123.0,196.0,499.0,855.0,611.0,953,30.0,63.0,112.0,20510.0,20622.0,9560.0,0.0,94261.0,1050563.0,24403.0,42046.0,45078.0,37467.0,38062.0,37035.0,32325.0,0.0,0.0,0.0,397.0,1815005,1006315,639682,146414,1027780,37095.0
2,130623.0,65474.0,97106.0,152147.0,80758.0,3147.0,308.0,25145.0,24950.0,195.0,46130.0,3152.0,46130.0,71275.0,3156.0,1634.0,103.0,719.0,26664.0,929,227.0,4062.0,244.0,43386.0,43630.0,36736.0,1419.0,211346.0,2250360.0,85237.0,130987.0,134825.0,133264.0,140469.0,134385.0,126244.0,0.0,197.0,53.0,291.0,8568160,6560521,3336982,312892,4907809,58466.0
3,18418.0,10190.0,14584.0,17510.0,16872.0,0.0,0.0,1233.0,872.0,361.0,11406.0,0.0,11406.0,12639.0,923.0,0.0,94.0,264.0,0.0,900,126.0,203.0,15.0,7003.0,7018.0,5176.0,15.0,34660.0,373095.0,8419.0,16130.0,15840.0,15562.0,16697.0,15989.0,15979.0,0.0,0.0,0.0,140.0,1201102,786356,470039,90589,639942,13014.0
4,95916.0,63058.0,90806.0,86185.0,61288.0,10894.0,2176.0,14660.0,13158.0,1502.0,86263.0,6450.0,86263.0,100923.0,1652.0,341.0,15604.0,11349.0,14442.0,935,2379.0,1895.0,1204.0,35036.0,36240.0,22700.0,771.0,498451.0,1612842.0,16202.0,90804.0,81113.0,75290.0,75807.0,84560.0,86337.0,11.0,1454.0,997.0,515.0,4602586,2805623,1672934,361569,2567998,82616.0
5,61816.0,25380.0,48331.0,49880.0,38387.0,2314.0,644.0,25263.0,20392.0,4871.0,15282.0,2293.0,15282.0,40545.0,706.0,2562.0,1205.0,2995.0,8268.0,900,643.0,808.0,670.0,13281.0,13951.0,6075.0,431.0,45460.0,216130.0,25692.0,50245.0,48046.0,45768.0,46502.0,46427.0,48671.0,192.0,3.0,162.0,1515.0,2316344,1271688,915583,138450,1262303,50692.0
6,51246.0,25572.0,39193.0,50537.0,46614.0,3522.0,649.0,8312.0,6058.0,2254.0,30437.0,5389.0,30437.0,38749.0,472.0,81.0,1397.0,2278.0,16045.0,1027,205.0,736.0,424.0,16249.0,16673.0,10958.0,1318.0,86851.0,527334.0,35983.0,41231.0,38279.0,37601.0,41953.0,39655.0,39336.0,272.0,44.0,310.0,354.0,1640352,951421,510198,145128,983576,36407.0
7,55543.0,20672.0,40055.0,43785.0,40772.0,1367.0,330.0,20194.0,10852.0,9342.0,21397.0,1552.0,21397.0,41591.0,267.0,201.0,432.0,3341.0,4489.0,976,64.0,149.0,3.0,12672.0,12675.0,10014.0,45.0,98626.0,885527.0,15510.0,43164.0,39094.0,36071.0,35492.0,41113.0,41626.0,6.0,30.0,128.0,1188.0,2058868,1118807,690522,167218,1198988,44708.0
8,17430.0,10297.0,13388.0,16110.0,12310.0,726.0,51.0,1797.0,1248.0,549.0,7992.0,5307.0,7992.0,9789.0,166.0,243.0,140.0,601.0,9115.0,936,147.0,265.0,27.0,5826.0,5853.0,3757.0,441.0,35727.0,164205.0,11550.0,13251.0,13715.0,13931.0,14395.0,13705.0,14007.0,1296.0,0.0,2.0,227.0,1003867,521723,367491,103499,532399,12680.0
9,18171.0,13781.0,15569.0,17693.0,20280.0,0.0,0.0,732.0,349.0,383.0,11248.0,623.0,11248.0,11980.0,2437.0,983.0,126.0,491.0,0.0,837,200.0,536.0,13.0,8668.0,8681.0,5436.0,956.0,75955.0,436992.0,4289.0,17288.0,16785.0,17099.0,18219.0,16428.0,50864.0,0.0,0.0,0.0,158.0,1138843,788690,464193,86229,587326,15299.0
10,36107.0,18902.0,31622.0,32872.0,31680.0,8511.0,1536.0,3638.0,2090.0,1548.0,19716.0,10246.0,19716.0,23354.0,1562.0,510.0,2472.0,1916.0,25479.0,853,209.0,703.0,364.0,5616.0,5980.0,6585.0,449.0,71689.0,493568.0,16189.0,27394.0,25243.0,26215.0,28103.0,28125.0,33992.0,136.0,18.0,137.0,253.0,1615654,1009830,638617,174913,800820,25758.0
11,24710.0,17680.0,19910.0,23523.0,20341.0,1766.0,125.0,100.0,83.0,17.0,8069.0,435.0,8069.0,8169.0,1383.0,986.0,157.0,1229.0,4432.0,923,515.0,542.0,39.0,6822.0,6861.0,5517.0,2888.0,63556.0,676494.0,21389.0,22266.0,21923.0,21842.0,22345.0,22087.0,21931.0,6.0,11.0,221.0,238.0,2030119,1578696,891945,89219,1047698,22226.0
12,41998.0,22238.0,44871.0,38850.0,49489.0,1379.0,704.0,4610.0,1608.0,3002.0,25819.0,3253.0,25819.0,30429.0,2444.0,1903.0,389.0,1774.0,4195.0,901,207.0,752.0,176.0,21147.0,21323.0,11065.0,391.0,127234.0,824400.0,29690.0,35450.0,34758.0,35694.0,35414.0,33957.0,35431.0,0.0,5.0,139.0,489.0,1897783,1223384,682234,164477,1050949,36562.0
13,42572.0,22143.0,46699.0,33825.0,18116.0,1385.0,399.0,8771.0,7379.0,1392.0,18242.0,607.0,18242.0,27013.0,149.0,21.0,629.0,853.0,12224.0,899,493.0,692.0,218.0,15601.0,15819.0,9573.0,18.0,61887.0,399278.0,30814.0,42632.0,30695.0,30362.0,32204.0,34314.0,36368.0,4.0,3.0,121.0,494.0,1770567,1199982,657971,94947,1017288,29371.0
14,24735.0,14995.0,22053.0,26463.0,18875.0,2157.0,593.0,7343.0,4584.0,2759.0,11636.0,1996.0,11636.0,18979.0,962.0,754.0,748.0,2155.0,8071.0,925,253.0,422.0,74.0,8653.0,8727.0,4398.0,67.0,1424553.0,1617740.0,25146.0,25906.0,22485.0,21924.0,22893.0,23837.0,23174.0,50.0,1316.0,180.0,618.0,1035856,651743,412731,71290,551811,21387.0
15,85067.0,35277.0,60955.0,85006.0,53319.0,1320.0,367.0,40727.0,14080.0,26647.0,31669.0,19273.0,31669.0,72396.0,1870.0,1125.0,920.0,4032.0,36730.0,967,510.0,457.0,158.0,32531.0,32689.0,11243.0,405.0,90811.0,1052721.0,55250.0,89016.0,82741.0,80073.0,83929.0,77710.0,83013.0,14.0,56.0,297.0,177.0,2724080,1387081,890998,268515,1563965,78087.0
16,28247.0,22792.0,23032.0,25769.0,21740.0,6318.0,626.0,1251.0,940.0,311.0,16653.0,10555.0,16653.0,17904.0,2130.0,606.0,111.0,821.0,14381.0,936,459.0,377.0,180.0,7531.0,7711.0,4794.0,477.0,39485.0,1269944.0,14033.0,21948.0,19087.0,19801.0,20717.0,21045.0,21473.0,2027.0,31.0,218.0,239.0,1759815,1167997,737162,154323,868045,17027.0
17,33526.0,20835.0,32408.0,27792.0,30374.0,3273.0,399.0,8252.0,6944.0,1308.0,12514.0,1808.0,12514.0,20766.0,493.0,1055.0,570.0,1571.0,4436.0,930,498.0,293.0,207.0,13120.0,13327.0,10727.0,323.0,171697.0,869390.0,21484.0,27859.0,27505.0,26808.0,27359.0,26910.0,56939.0,0.0,170.0,93.0,310.0,1548350,1004203,579796,130285,837871,22068.0
18,10783.0,6873.0,6725.0,8951.0,10165.0,1681.0,114.0,362.0,243.0,119.0,5333.0,1839.0,5333.0,5695.0,634.0,33.0,71.0,455.0,2424.0,994,142.0,136.0,31.0,2141.0,2172.0,1985.0,37.0,16396.0,213404.0,1657.0,8112.0,7836.0,7688.0,8168.0,9877.0,19078.0,0.0,49.0,37.0,76.0,552724,400659,255347,19760,277545,7645.0
19,33489.0,17968.0,40258.0,34517.0,32941.0,1898.0,1177.0,1293.0,418.0,875.0,23425.0,4622.0,23425.0,24718.0,1082.0,559.0,269.0,2903.0,7682.0,986,327.0,590.0,122.0,11743.0,11865.0,8697.0,147.0,50990.0,502965.0,26304.0,26582.0,30271.0,30051.0,31885.0,30787.0,27628.0,46.0,39.0,108.0,263.0,1785671,1114470,689752,154981,940613,24386.0
20,29703.0,12022.0,21290.0,26293.0,31081.0,3384.0,633.0,13586.0,7330.0,6256.0,121494.0,4143.0,121494.0,135080.0,617.0,144.0,904.0,3054.0,6075.0,895,337.0,103.0,210.0,9323.0,9533.0,3197.0,59.0,42764.0,233414.0,10989.0,28496.0,26597.0,26060.0,25932.0,25685.0,23991.0,26.0,0.0,246.0,237.0,1328684,714482,480635,142206,705733,24460.0
21,27702.0,19949.0,20760.0,26982.0,24276.0,3375.0,97.0,642.0,339.0,303.0,13885.0,2027.0,13885.0,14527.0,1174.0,2366.0,347.0,1545.0,3561.0,964,481.0,564.0,43.0,13476.0,13519.0,5607.0,549.0,60571.0,269180.0,22649.0,24201.0,21614.0,22836.0,24012.0,23210.0,23683.0,3.0,392.0,76.0,370.0,1793045,1086207,705003,156947,931024,21541.0
22,47100.0,20343.0,45323.0,45332.0,33184.0,2935.0,3127.0,907.0,645.0,262.0,40836.0,13798.0,40836.0,41743.0,1146.0,575.0,343.0,2863.0,22963.0,937,675.0,948.0,308.0,21323.0,21631.0,13266.0,967.0,105955.0,987479.0,38884.0,43994.0,40919.0,41448.0,42579.0,41965.0,43048.0,0.0,993.0,164.0,649.0,2888224,1799760,1032739,216566,1638428,44418.0
23,16642.0,27289.0,24516.0,39707.0,41175.0,2147.0,351.0,33687.0,29230.0,4457.0,16802.0,1982.0,16802.0,50489.0,846.0,406.0,1008.0,3305.0,4421.0,909,206.0,693.0,189.0,24449.0,24638.0,10353.0,636.0,25897.0,526478.0,10684.0,41404.0,40894.0,39047.0,39220.0,33108.0,45710.0,0.0,4.0,144.0,411.0,1847137,876848,665904,180655,998037,38375.0
24,36896.0,24243.0,30679.0,29729.0,32891.0,5160.0,718.0,1531.0,890.0,641.0,22430.0,2664.0,22430.0,23961.0,2076.0,1163.0,280.0,1850.0,7840.0,945,509.0,1546.0,52.0,10828.0,10880.0,7631.0,803.0,87722.0,463398.0,23321.0,32249.0,29358.0,30336.0,32343.0,32054.0,31738.0,0.0,1308.0,499.0,80.0,1718935,1201355,632259,127817,958653,29275.0
25,52491.0,30799.0,57190.0,50764.0,34960.0,1451.0,1408.0,4572.0,2686.0,1886.0,28945.0,2944.0,28945.0,33517.0,4784.0,3831.0,651.0,3049.0,8796.0,1038,677.0,674.0,1187.0,13657.0,14844.0,9451.0,2406.0,29316.0,688786.0,23599.0,44426.0,45003.0,45552.0,45356.0,42549.0,51659.0,0.0,15.0,508.0,609.0,2650343,1721735,1069910,273309,1307105,35302.0
26,15878.0,9192.0,14382.0,15247.0,14623.0,1512.0,237.0,281.0,168.0,113.0,4022.0,317.0,4022.0,4303.0,799.0,2387.0,118.0,764.0,2622.0,942,297.0,302.0,22.0,5274.0,5296.0,1491.0,2921.0,31168.0,345229.0,14243.0,14534.0,14325.0,14212.0,14710.0,13005.0,13261.0,0.0,650.0,87.0,122.0,1157435,890036,446369,58436,651842,14026.0
27,21583.0,16934.0,20698.0,21044.0,8643.0,1532.0,249.0,1252.0,882.0,370.0,8681.0,1425.0,8681.0,9933.0,1191.0,1232.0,296.0,2573.0,3993.0,941,1242.0,1090.0,145.0,4454.0,4599.0,1272.0,1783.0,37715.0,237911.0,11670.0,21020.0,19109.0,18524.0,19117.0,18880.0,20174.0,22.0,570.0,475.0,153.0,1411584,1025148,484993,114729,811342,20233.0
1,25798.0,12600.0,16089.0,22360.0,10977.0,6834.0,1179.0,2802.0,1987.0,815.0,12346.0,5751.0,16362.0,19164.0,602.0,584.0,557.0,2824.0,14433.0,856,128.0,878.0,399.0,7439.0,7838.0,4681.0,216.0,48772.0,495715.0,13464.0,20480.0,19059.0,18945.0,19678.0,17750.0,18138.0,5.0,1802.0,311.0,261.0,1839586,1040817,651696,144816,1042207,17004.0
2,100472.0,43649.0,77944.0,81140.0,44192.0,7935.0,2331.0,110.0,95.0,15.0,34516.0,4690.0,37820.0,37930.0,4391.0,781.0,274.0,1969.0,32951.0,955,306.0,2835.0,641.0,27643.0,28284.0,17033.0,2003.0,100294.0,939934.0,61955.0,69589.0,60450.0,68576.0,63683.0,61333.0,86255.0,4.0,1947.0,72.0,124.0,8905809,6863559,3502430,336324,5058726,42624.0
