Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,35405,19642,24796,22729,20707,0.0,0.0,12,5.0,7.0,15621,0.0,15621,15633,6294,2823.0,76,1749,0.0,496,1533,0.0,394,5561,5955,2323,209.0,16915,621629,24883,24557,28071,27408,27106,26417,26417,0.0,0.0,0.0,114.0,2122183,1824137,581135,197991,1341762,34519
2,54788,35560,46076,42446,33601,0.0,0.0,20,1.0,19.0,8690,0.0,8690,8710,5730,15215.0,69,3225,0.0,961,2007,0.0,410,15064,15474,4297,791.0,38140,766400,39558,39558,44928,44489,45935,44487,44487,0.0,0.0,0.0,182.0,3228381,2769632,1015420,191872,2019640,38772
3,17898,15234,15707,17337,15091,0.0,0.0,143,9.0,134.0,7042,0.0,7042,7185,1724,909.0,78,1005,0.0,944,1086,0.0,868,5629,6497,4434,98.0,19207,276361,15801,15717,16176,16102,16238,16314,15865,0.0,0.0,0.0,134.0,1115009,910652,411312,96072,606977,15809
4,46959,23837,32056,39616,20270,0.0,0.0,29,1.0,28.0,11937,0.0,11937,11966,6979,7904.0,211,4655,0.0,955,1715,0.0,238,9970,10208,4787,173.0,22609,494135,45067,45071,37942,36489,37678,39181,38345,0.0,0.0,0.0,192.0,2488233,2086890,673283,132947,1681542,42655
5,22533,10615,16863,14659,10271,0.0,0.0,122,16.0,106.0,2537,0.0,2537,2659,579,2952.0,103,1216,0.0,927,888,0.0,142,3163,3305,2589,0.0,10981,249560,14956,19632,21267,20259,20073,23963,15957,0.0,0.0,0.0,220.0,1275488,988790,358607,90233,826496,19518
6,51216,28790,40221,39744,27208,0.0,0.0,52,52.0,0.0,13388,0.0,13388,13440,6560,9524.0,103,1887,0.0,939,1719,0.0,430,7171,7601,4620,34.0,34574,642179,38594,38594,40084,38895,41340,40382,40382,0.0,0.0,0.0,239.0,2620223,2194230,682900,202819,1733270,37359
7,30574,19264,25501,23141,23415,0.0,0.0,12,5.0,7.0,11788,0.0,11788,11800,4257,0.0,85,2355,0.0,927,1481,0.0,542,6972,7514,6120,82.0,28976,309735,24875,25030,25954,25512,26278,25665,25547,0.0,0.0,0.0,191.0,1968256,1724928,584289,121840,1260184,24506
8,49878,36446,40379,49443,28773,0.0,0.0,47,18.0,29.0,24527,0.0,24527,24574,7639,6935.0,522,7560,0.0,980,1987,0.0,371,10293,10664,5146,88.0,17363,611072,52600,53428,45908,45380,43894,45939,45490,0.0,0.0,0.0,759.0,3022626,2528089,714842,187676,2118801,53565
9,81890,43039,54873,62207,56688,0.0,0.0,289,79.0,210.0,17111,0.0,17111,17400,3408,14069.0,371,12946,0.0,953,3155,0.0,169,10889,11058,5302,1887.0,43626,558281,71287,81562,79023,74000,65890,65227,59602,0.0,0.0,0.0,610.0,3960176,3133383,800437,201636,2957374,82965
10,48073,24153,35908,37752,28380,0.0,0.0,281,34.0,247.0,8527,0.0,8527,8808,1868,6146.0,95,3812,0.0,972,1860,0.0,341,11591,11932,5054,697.0,28781,231416,37603,37378,44576,43261,41915,43085,43007,1.0,0.0,0.0,292.0,2750758,2144696,841989,169633,1738489,37478
11,21046,11322,15791,13871,13150,0.0,0.0,18,15.0,3.0,9696,0.0,9696,9714,2134,5180.0,54,1659,0.0,946,995,0.0,127,3945,4072,2673,71.0,11436,427695,16122,16136,15562,15159,14956,15240,15209,0.0,0.0,0.0,79.0,1208277,1058733,291013,93293,823121,16776
12,62006,29326,51879,51979,18453,0.0,0.0,35,23.0,12.0,25059,0.0,25059,25094,8292,0.0,287,9857,4229.0,1010,2774,0.0,63,13489,13552,3828,186.0,22671,1112278,39671,39977,49543,47619,48719,46729,43936,0.0,0.0,0.0,589.0,3281160,2715297,889160,283486,2104087,15216
13,51230,32065,38233,50746,20989,0.0,0.0,16,8.0,8.0,18775,0.0,18775,18791,4784,12081.0,233,4686,0.0,955,2598,0.0,361,16297,16658,5031,1866.0,34830,506618,57862,57862,46077,45404,48845,47082,47082,0.0,0.0,0.0,203.0,3076362,2603861,891570,159986,2023508,54997
