Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,259,30,91,119,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,155,155,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,5,0.0,6.0,8620,0.0,133,0.0,43,136,129,0.0,0.0,0.0,0.0,0.0,63301,50056,11068,6290,45592,0.0
1,479,350,536,394,482.0,222.0,19.0,33.0,15.0,18.0,342.0,41.0,342,375,40.0,0.0,10.0,19.0,286.0,995,8.0,8.0,1.0,6,7,24,0.0,0.0,3550,349.0,349,469.0,467,490,505,502.0,47.0,56.0,1452.0,3.0,63689,50875,10979,6800,45634,365.0
1,1091,599,1101,1121,1315.0,792.0,36.0,63.0,28.0,35.0,174.0,248.0,174,237,106.0,0.0,34.0,35.0,432.0,951,61.0,6.0,0.0,32,32,22,0.0,22.0,4822,582.0,583,766.0,785,678,751,789.0,16.0,129.0,2728.0,5.0,64080,51707,10891,7352,45677,480.0
1,1136,755,1074,993,1083.0,755.0,66.0,35.0,5.0,30.0,553.0,344.0,553,588,148.0,0.0,12.0,22.0,775.0,891,23.0,8.0,0.0,47,47,53,0.0,1.0,15355,773.0,764,1064.0,1012,981,1282,1136.0,20.0,227.0,4620.0,4.0,64473,52552,10803,7949,45719,815.0
1,1182,886,1149,939,1020.0,527.0,82.0,0.0,0.0,0.0,626.0,350.0,626,626,194.0,0.0,8.0,20.0,618.0,866,37.0,34.0,0.0,26,26,44,0.0,245.0,11515,678.0,696,1011.0,1004,943,1152,1073.0,0.0,427.0,4516.0,5.0,64868,53412,10717,8593,45762,642.0
1,1162,860,1106,929,1025.0,666.0,86.0,0.0,0.0,0.0,667.0,317.0,667,667,201.0,0.0,7.0,20.0,662.0,1021,42.0,32.0,0.0,40,40,51,0.0,502.0,4899,677.0,704,1073.0,1062,1009,1246,1002.0,16.0,307.0,6545.0,1.0,65266,54286,10631,9290,45805,669.0
1,1206,903,965,906,737.0,1047.0,94.0,0.0,0.0,0.0,688.0,315.0,688,688,236.0,0.0,13.0,33.0,640.0,1000,26.0,5.0,1.0,21,22,32,0.0,544.0,5417,715.0,730,1060.0,1062,1052,1194,1041.0,16.0,348.0,7339.0,3.0,65666,55173,10546,10044,45847,688.0
1,1192,873,1069,948,709.0,1155.0,92.0,1.0,1.0,0.0,854.0,248.0,854,855,324.0,0.0,12.0,47.0,836.0,832,12.0,0.0,0.0,11,11,23,0.0,1038.0,7486,841.0,847,768.0,786,874,1050,1042.0,28.0,392.0,7474.0,6.0,66068,56076,10461,10859,45890,852.0
1,1178,969,1184,933,960.0,939.0,95.0,0.0,0.0,0.0,804.0,296.0,804,804,296.0,0.0,15.0,60.0,800.0,955,30.0,2.0,0.0,37,37,5,0.0,1514.0,18847,761.0,820,89.0,103,85,1069,1051.0,17.0,357.0,8354.0,7.0,66473,56993,10377,11740,45933,819.0
1,1292,1030,1268,150,1218.0,1025.0,55.0,0.0,0.0,0.0,845.0,270.0,845,845,323.0,0.0,10.0,62.0,645.0,885,107.0,2.0,0.0,57,57,9,0.0,1731.0,22859,840.0,850,0.0,4,32,181,1002.0,21.0,537.0,5779.0,15.0,66881,57925,10294,12692,45976,837.0
1,1266,1102,1166,178,1256.0,834.0,39.0,0.0,0.0,0.0,0.0,0.0,845,845,353.0,0.0,10.0,61.0,734.0,891,107.0,4.0,1.0,50,51,3,0.0,1731.0,27463,822.0,848,10.0,4,9,15,1024.0,4.0,428.0,7959.0,11.0,67291,58872,10211,13722,46019,849.0
