Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,33609.0,19219.0,28906.0,32269.0,29211.0,0.0,0.0,5544.0,0.0,5544.0,23581.0,19811.0,25439.0,30983.0,1591.0,1016.0,874.0,6265.0,22508.0,880,386.0,76.0,1746.0,8508.0,10254.0,1802.0,0.0,68809.0,362653.0,0.0,30736.0,29583.0,29261.0,29663.0,28140.0,28140.0,0.0,0.0,0.0,1137.0,1637828,1056375,519036,328239,788832,29809.0
2,37316.0,17427.0,26502.0,33857.0,36971.0,0.0,0.0,11119.0,1024.0,10095.0,24540.0,24386.0,24725.0,35844.0,141.0,112.0,445.0,8311.0,23081.0,945,545.0,213.0,61.0,9463.0,9524.0,5198.0,0.0,113619.0,2273087.0,32302.0,32128.0,48230.0,35279.0,36840.0,32789.0,32789.0,0.0,0.0,0.0,992.0,1286497,480358,480797,129709,674635,35472.0
3,39711.0,18804.0,33377.0,31117.0,31498.0,3158.0,784.0,8082.0,870.0,7212.0,21366.0,11789.0,24236.0,32318.0,240.0,179.0,400.0,6298.0,20023.0,934,685.0,86.0,349.0,9740.0,10089.0,5715.0,0.0,182160.0,3233665.0,14162.0,31965.0,31415.0,31735.0,30561.0,31820.0,31919.0,41.0,506.0,570.0,100.0,1518989,885328,481511,249392,785615,32072.0
4,47455.0,22954.0,39140.0,46278.0,46389.0,558.0,43.0,6103.0,757.0,5346.0,27847.0,26141.0,28399.0,34502.0,27.0,0.0,300.0,2114.0,15390.0,949,744.0,312.0,366.0,6795.0,7161.0,16171.0,0.0,262792.0,4108953.0,40634.0,40634.0,43411.0,42234.0,41815.0,46618.0,46618.0,0.0,987.0,134.0,116.0,1615550,1006752,414342,106822,1090502,33871.0
5,77433.0,15090.0,62343.0,50460.0,54342.0,18121.0,1903.0,5334.0,4113.0,1221.0,40121.0,22260.0,46845.0,52179.0,2423.0,144.0,191.0,147.0,53304.0,927,0.0,1808.0,1135.0,8466.0,9601.0,6890.0,6.0,137239.0,2056243.0,53625.0,59996.0,64871.0,62519.0,59629.0,58960.0,58960.0,0.0,195.0,346.0,0.0,2198637,1491143,636804,135888,1423247,53334.0
6,48634.0,23218.0,33973.0,44693.0,28490.0,0.0,0.0,4762.0,709.0,4053.0,34711.0,0.0,37034.0,41796.0,703.0,505.0,537.0,2891.0,0.0,896,549.0,885.0,286.0,8604.0,8890.0,14325.0,0.0,182044.0,2899880.0,25675.0,43365.0,47987.0,43685.0,40773.0,42580.0,42580.0,19.0,0.0,0.0,0.0,1670636,836091,517420,182508,970234,41287.0
7,46522.0,7785.0,4344.0,27531.0,25474.0,210.0,117.0,4650.0,3049.0,1601.0,19996.0,5022.0,20017.0,24667.0,1400.0,5.0,238.0,1260.0,4541.0,1046,81.0,162.0,2515.0,1448.0,3963.0,7238.0,24.0,110966.0,1008995.0,16896.0,47570.0,42481.0,38627.0,37961.0,42429.0,152390.0,0.0,432.0,948.0,0.0,2015289,1205194,637220,263224,1113599,18370.0
8,36812.0,14856.0,28869.0,33366.0,16934.0,0.0,0.0,12970.0,0.0,12970.0,18785.0,2103.0,19133.0,32103.0,196.0,0.0,381.0,4281.0,0.0,938,346.0,115.0,171.0,8657.0,8828.0,12307.0,0.0,9841.0,30658.0,0.0,38320.0,38204.0,32264.0,32169.0,35581.0,35581.0,0.0,0.0,0.0,0.0,1207197,681283,377177,169023,660574,31906.0
9,15763.0,8494.0,14390.0,28349.0,25360.0,10354.0,130.0,5716.0,492.0,5224.0,18767.0,3851.0,18767.0,24483.0,13.0,0.0,211.0,3547.0,17756.0,882,103.0,89.0,404.0,4859.0,5263.0,5004.0,0.0,100584.0,1828273.0,11590.0,15958.0,16235.0,15948.0,15063.0,14991.0,14991.0,0.0,23.0,65.0,271.0,735402,452553,240764,78343,412993,24179.0
10,43663.0,25919.0,41164.0,41873.0,44601.0,0.0,0.0,1650.0,12.0,1638.0,26582.0,26582.0,30847.0,32497.0,31.0,1068.0,282.0,1309.0,0.0,954,31.0,96.0,262.0,9882.0,10144.0,8048.0,0.0,131399.0,1947611.0,27076.0,32911.0,41652.0,41558.0,41421.0,37904.0,41414.0,0.0,0.0,0.0,327.0,1482227,834766,496514,192940,791878,32212.0
