Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,89826.0,57926.0,74719.0,77370.0,70593.0,0.0,0.0,5015.0,3222.0,1793.0,17214.0,0.0,22338.0,27353.0,1068.0,3881.0,978.0,14659.0,0.0,825,4819.0,3774.0,137.0,23221.0,23358.0,19962.0,2552.0,187447.0,1175779.0,28076.0,85804.0,79609.0,74762.0,75288.0,63684.0,71438.0,12.0,0.0,0.0,752.0,4386172,2974550,1900174,186105,2290956,76327.0
2,35184.0,26115.0,24795.0,22829.0,11686.0,0.0,0.0,4443.0,2873.0,1570.0,8676.0,0.0,23733.0,28176.0,154.0,695.0,261.0,7565.0,0.0,847,1229.0,2283.0,1748.0,5992.0,7740.0,4496.0,1334.0,72486.0,574559.0,11248.0,31670.0,27753.0,26150.0,30660.0,30313.0,28564.0,2.0,0.0,0.0,255.0,1756732,1322075,656419,73599,1026202,26533.0
3,52399.0,39818.0,69654.0,49404.0,44484.0,0.0,0.0,9648.0,4640.0,5008.0,9980.0,922.0,33752.0,43400.0,96.0,2202.0,1594.0,35568.0,0.0,885,1601.0,4075.0,2705.0,16939.0,19644.0,10304.0,1553.0,111224.0,1130212.0,24364.0,50833.0,66695.0,65235.0,44639.0,45280.0,64521.0,68.0,0.0,0.0,946.0,2801013,2125166,1013058,178432,1608627,67932.0
4,22878.0,15177.0,16228.0,22551.0,8617.0,0.0,0.0,4336.0,2014.0,2322.0,6063.0,443.0,16616.0,20952.0,383.0,1067.0,220.0,1815.0,0.0,814,692.0,492.0,283.0,6372.0,6655.0,3361.0,316.0,48156.0,364785.0,4242.0,20624.0,19866.0,19068.0,20267.0,20480.0,21294.0,0.0,0.0,0.0,651.0,3438995,2257034,1304776,134918,1995233,17082.0
5,22442.0,16130.0,19543.0,20452.0,6206.0,0.0,0.0,5520.0,3290.0,2230.0,10326.0,0.0,11306.0,16826.0,1591.0,255.0,386.0,3697.0,0.0,922,602.0,818.0,1928.0,5001.0,6929.0,3414.0,188.0,49263.0,427735.0,8357.0,21668.0,19683.0,19793.0,19877.0,19555.0,15707.0,1.0,0.0,0.0,264.0,1180705,858977,398689,179766,601896,16602.0
6,48975.0,30804.0,36773.0,45231.0,28044.0,0.0,0.0,11215.0,5160.0,6055.0,17220.0,0.0,31437.0,42652.0,667.0,215.0,556.0,5726.0,0.0,761,1786.0,1152.0,120.0,13085.0,13205.0,10051.0,1342.0,127112.0,919930.0,16907.0,47802.0,48952.0,47378.0,46452.0,39392.0,44761.0,97.0,1286.0,0.0,726.0,2449850,1558773,1046061,108045,1290428,42505.0
7,48553.0,33646.0,39107.0,46880.0,18537.0,0.0,0.0,9337.0,6232.0,3105.0,11156.0,1635.0,31674.0,41011.0,508.0,1119.0,637.0,6540.0,0.0,814,1795.0,1549.0,427.0,10779.0,11206.0,6059.0,1797.0,8183.0,997939.0,19462.0,42096.0,43881.0,42228.0,41896.0,40925.0,50642.0,0.0,0.0,0.0,1000.0,2474608,1733184,1043739,110611,1319722,39141.0
8,45811.0,31457.0,37198.0,42860.0,29008.0,0.0,0.0,9292.0,4299.0,4993.0,15387.0,0.0,29318.0,38610.0,1739.0,3098.0,885.0,7091.0,0.0,909,1998.0,1902.0,2980.0,9917.0,12897.0,7305.0,610.0,89962.0,859061.0,16677.0,42663.0,41348.0,39050.0,40264.0,37758.0,67658.0,10.0,0.0,0.0,612.0,2163469,1493052,765904,251930,1144384,38636.0
9,45610.0,22350.0,36469.0,42190.0,75756.0,0.0,0.0,12258.0,7108.0,5150.0,12591.0,0.0,19983.0,32241.0,374.0,354.0,477.0,6485.0,0.0,841,702.0,1069.0,1064.0,11463.0,12527.0,6037.0,417.0,95320.0,965989.0,10221.0,41617.0,34772.0,34348.0,35978.0,35793.0,37145.0,0.0,0.0,0.0,498.0,1941323,1212129,740285,124493,1069020,33905.0
10,22749.0,14902.0,20323.0,8530.0,16526.0,0.0,0.0,8442.0,4295.0,4147.0,8335.0,0.0,9733.0,18175.0,1007.0,238.0,510.0,2499.0,0.0,929,538.0,362.0,2636.0,5498.0,8134.0,2986.0,88.0,51696.0,436769.0,12943.0,21519.0,20406.0,20315.0,21453.0,18396.0,24627.0,6.0,0.0,0.0,430.0,1041056,634265,375197,181399,483997,17017.0
11,24326.0,15651.0,21977.0,6096.0,17429.0,0.0,0.0,8338.0,3924.0,4414.0,8790.0,0.0,10307.0,18645.0,1085.0,269.0,531.0,2608.0,0.0,920,524.0,320.0,2791.0,5978.0,8769.0,3492.0,84.0,62644.0,550059.0,14163.0,22435.0,20979.0,21112.0,22918.0,20155.0,28897.0,1.0,0.0,0.0,361.0,1284723,940973,420886,217356,646081,17610.0
12,25365.0,15449.0,19910.0,25422.0,16898.0,0.0,0.0,5512.0,2254.0,3258.0,7211.0,1867.0,16072.0,21584.0,108.0,383.0,425.0,2537.0,0.0,848,529.0,191.0,114.0,7046.0,7160.0,2883.0,732.0,49929.0,823939.0,6751.0,24766.0,20284.0,19880.0,21841.0,18524.0,17201.0,120.0,0.0,0.0,397.0,1116731,706543,481534,52387,582642,19949.0
13,93557.0,44463.0,63129.0,123341.0,51037.0,0.0,0.0,15903.0,10215.0,5688.0,21478.0,1836.0,58528.0,74431.0,2217.0,1542.0,1284.0,11479.0,0.0,914,2502.0,3230.0,1329.0,23488.0,24817.0,12436.0,1676.0,150620.0,1552322.0,26907.0,87800.0,69196.0,65392.0,65999.0,63921.0,70247.0,0.0,0.0,0.0,1165.0,4057717,2728191,1532196,232057,2289159,64771.0
14,45704.0,29913.0,32157.0,43906.0,25186.0,0.0,0.0,11874.0,5047.0,6827.0,13464.0,358.0,30928.0,42802.0,273.0,760.0,492.0,4757.0,0.0,847,2448.0,1075.0,217.0,11347.0,11564.0,4887.0,1423.0,89583.0,816951.0,8024.0,44726.0,30701.0,28951.0,35596.0,33547.0,23869.0,165.0,17.0,205.0,547.0,1848076,1086941,766728,91574,986612,35686.0
15,73618.0,47305.0,64408.0,107994.0,40787.0,0.0,0.0,3366.0,1913.0,1453.0,15440.0,0.0,60035.0,63401.0,2911.0,5144.0,1023.0,17476.0,0.0,830,3108.0,1986.0,403.0,21523.0,21926.0,19881.0,4680.0,348420.0,961444.0,34533.0,64131.0,61860.0,59931.0,60217.0,57495.0,53039.0,0.0,0.0,0.0,833.0,3766591,2678643,1473518,212480,2076635,63369.0
16,54394.0,36187.0,38034.0,49339.0,17508.0,0.0,0.0,8890.0,2494.0,6396.0,13910.0,0.0,40131.0,49021.0,636.0,263.0,350.0,5165.0,0.0,837,1141.0,489.0,438.0,11895.0,12333.0,8864.0,893.0,21627.0,52881.0,30404.0,54500.0,41930.0,39648.0,49501.0,43401.0,37946.0,0.0,0.0,0.0,530.0,2335464,1520222,880661,94190,1354818,38369.0
17,198982.0,19733.0,56607.0,178734.0,9025.0,0.0,0.0,4680.0,4680.0,0.0,0.0,0.0,175460.0,180140.0,0.0,16357.0,2085.0,70074.0,0.0,891,0.0,4764.0,3760.0,51675.0,55435.0,1322.0,39096.0,209331.0,4750218.0,134304.0,186631.0,171561.0,159131.0,186258.0,169024.0,143303.0,44.0,0.0,0.0,0.0,3159120,2533225,1221600,70543,1865832,143560.0
18,109714.0,43292.0,34499.0,60576.0,54288.0,0.0,0.0,4373.0,2326.0,2047.0,32152.0,0.0,34815.0,39188.0,67.0,1010.0,880.0,34649.0,0.0,954,1030.0,2116.0,1818.0,19109.0,20927.0,16410.0,2019.0,121168.0,732768.0,52081.0,78340.0,82773.0,80515.0,80547.0,65527.0,72410.0,0.0,0.0,0.0,286.0,4469439,3448898,1533182,225465,2705691,42450.0
19,76217.0,54108.0,55327.0,66947.0,53062.0,0.0,0.0,14874.0,8844.0,6030.0,17654.0,1526.0,56172.0,71046.0,1405.0,2549.0,1325.0,19563.0,0.0,893,1330.0,1456.0,377.0,11833.0,12210.0,5571.0,2846.0,120749.0,1020748.0,49101.0,65263.0,61674.0,58523.0,59763.0,53485.0,41849.0,0.0,0.0,0.0,964.0,3207766,2002359,1200224,192546,1807174,66626.0
20,35836.0,20241.0,31084.0,32798.0,25499.0,0.0,0.0,19548.0,8925.0,10623.0,10441.0,1221.0,13928.0,33476.0,133.0,64.0,712.0,4918.0,0.0,910,563.0,331.0,3279.0,6687.0,9966.0,2402.0,269.0,55072.0,539710.0,8255.0,34610.0,31489.0,30632.0,29919.0,26779.0,31187.0,138.0,642.0,0.0,736.0,1539131,802238,594233,134601,806592,31812.0
21,132105.0,71619.0,95099.0,119485.0,70243.0,0.0,0.0,25060.0,13899.0,11161.0,31302.0,0.0,78201.0,103261.0,3384.0,1337.0,1778.0,40059.0,0.0,874,3897.0,4026.0,2150.0,25587.0,27737.0,11805.0,5011.0,153297.0,1211334.0,42161.0,122820.0,106824.0,100692.0,105911.0,102798.0,102114.0,0.0,0.0,0.0,1023.0,5749341,3936615,2321379,250017,3173240,99887.0
