Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,5903.0,1716.0,1571.0,3416.0,288.0,189.0,5.0,514.0,299.0,215.0,968.0,426.0,968.0,1482.0,0.0,0.0,4.0,110.0,623.0,955,127.0,825.0,93.0,0.0,93.0,568.0,0.0,2291.0,27188.0,16.0,4210.0,4246.0,3918.0,3821.0,3353.0,3344.0,0.0,0.0,0.0,0.0,228288,144343,69450,33702,124756,1478.0
2,3344.0,888.0,887.0,2700.0,651.0,0.0,0.0,724.0,431.0,293.0,362.0,7.0,362.0,1086.0,8.0,0.0,1.0,6.0,68.0,918,0.0,0.0,0.0,0.0,0.0,281.0,0.0,676.0,1941.0,4.0,3619.0,3601.0,3601.0,3575.0,3473.0,2987.0,0.0,0.0,100.0,3.0,135882,78849,49168,19756,66667,1095.0
3,10411.0,7092.0,936.0,2199.0,0.0,176.0,38.0,1013.0,705.0,308.0,1485.0,742.0,1485.0,2498.0,123.0,31.0,18.0,135.0,1216.0,963,29.0,270.0,36.0,387.0,423.0,101.0,0.0,51.0,6540.0,0.0,3847.0,4175.0,3759.0,3395.0,2568.0,2568.0,0.0,87.0,129.0,20.0,259364,176790,84004,31137,144204,2503.0
4,9054.0,3590.0,3528.0,5795.0,2787.0,103.0,16.0,401.0,206.0,195.0,1868.0,849.0,1874.0,2275.0,37.0,105.0,0.0,214.0,222.0,1260,4.0,1367.0,159.0,237.0,396.0,498.0,9.0,2218.0,23440.0,2619.0,7083.0,6947.0,6513.0,6738.0,5846.0,5634.0,0.0,33.0,242.0,0.0,436806,302310,132420,49748,254054,2703.0
5,48887.0,7456.0,16240.0,8662.0,4961.0,183.0,8.0,489.0,315.0,174.0,9723.0,2382.0,9723.0,10212.0,140.0,934.0,125.0,708.0,2742.0,949,504.0,2106.0,92.0,550.0,642.0,584.0,73.0,2243.0,25574.0,132.0,9124.0,8826.0,8333.0,7927.0,6993.0,6822.0,0.0,1168.0,273.0,0.0,494712,366195,153946,47861,292558,11776.0
6,8510.0,1513.0,1849.0,5050.0,1301.0,172.0,3.0,1786.0,1147.0,639.0,621.0,341.0,621.0,2407.0,0.0,0.0,22.0,35.0,641.0,970,18.0,189.0,101.0,0.0,101.0,468.0,10.0,1657.0,8395.0,218.0,6154.0,6620.0,6318.0,6035.0,5508.0,5508.0,6.0,33.0,95.0,3.0,0,0,0,0,0,2845.0
7,2688.0,1210.0,949.0,1415.0,0.0,43.0,3.0,1430.0,546.0,884.0,827.0,245.0,827.0,2257.0,0.0,0.0,14.0,19.0,647.0,974,84.0,153.0,100.0,63.0,163.0,772.0,0.0,35.0,79551.0,133.0,1874.0,1801.0,1647.0,1578.0,1366.0,1345.0,0.0,0.0,78.0,2.0,131184,75329,51846,12015,67032,2242.0
8,8944.0,1954.0,3238.0,4856.0,1426.0,23.0,0.0,524.0,287.0,237.0,1233.0,207.0,1233.0,1757.0,0.0,0.0,5.0,21.0,501.0,939,49.0,1303.0,201.0,0.0,201.0,506.0,0.0,962.0,13686.0,160.0,8049.0,8511.0,7717.0,7057.0,5984.0,5979.0,0.0,0.0,691.0,1.0,403850,247082,126426,63055,214006,1815.0
9,2784.0,672.0,529.0,1671.0,13.0,16.0,2.0,570.0,321.0,249.0,215.0,80.0,232.0,802.0,0.0,51.0,5.0,18.0,183.0,927,10.0,0.0,118.0,11.0,129.0,33.0,1.0,107.0,611.0,3.0,2793.0,2787.0,2628.0,2553.0,1899.0,1838.0,0.0,0.0,309.0,0.0,169796,115354,62405,18459,88928,1166.0
1,7128.0,2952.0,3462.0,3000.0,1773.0,631.0,0.0,409.0,374.0,35.0,1021.0,969.0,1021.0,1430.0,0.0,0.0,5.0,24.0,1383.0,975,107.0,894.0,39.0,0.0,39.0,643.0,0.0,4307.0,37980.0,92.0,4298.0,4268.0,3959.0,3715.0,3267.0,3267.0,0.0,0.0,8.0,1.0,231285,148234,71701,33639,125651,1426.0
2,4824.0,1696.0,1398.0,1803.0,3442.0,109.0,9.0,1216.0,835.0,381.0,619.0,551.0,619.0,1835.0,5.0,0.0,1.0,0.0,1577.0,933,10.0,60.0,0.0,0.0,0.0,495.0,0.0,3062.0,5832.0,445.0,2620.0,2547.0,2433.0,2620.0,2387.0,2329.0,0.0,0.0,162.0,2.0,138594,82495,50651,20627,67090,1836.0
3,10726.0,4531.0,2905.0,2790.0,3773.0,282.0,17.0,603.0,404.0,199.0,1821.0,1382.0,2704.0,3307.0,124.0,156.0,6.0,73.0,2820.0,981,225.0,299.0,17.0,514.0,531.0,203.0,94.0,2485.0,14511.0,102.0,4749.0,5512.0,4739.0,4339.0,3957.0,3811.0,0.0,412.0,784.0,9.0,264199,182954,85886,31706,146592,3369.0
4,12092.0,6427.0,4314.0,6626.0,9544.0,328.0,120.0,417.0,277.0,140.0,2148.0,1788.0,2324.0,2741.0,139.0,16.0,0.0,206.0,2296.0,916,85.0,1154.0,0.0,0.0,0.0,851.0,12.0,7049.0,31126.0,1939.0,8453.0,8479.0,8382.0,8201.0,7534.0,7391.0,0.0,220.0,999.0,2.0,443149,309585,136595,49666,256435,2750.0
5,50599.0,15122.0,23092.0,8294.0,2532.0,821.0,59.0,459.0,293.0,166.0,10138.0,8576.0,14259.0,14718.0,2808.0,2213.0,159.0,1204.0,11656.0,951,697.0,1529.0,67.0,250.0,317.0,1008.0,10.0,5574.0,53561.0,662.0,11147.0,10361.0,9946.0,9621.0,8623.0,8338.0,0.0,5349.0,2253.0,0.0,502353,374801,157866,47699,296520,14999.0
