Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,7139.0,2248.0,2712.0,5261.0,8112.0,0.0,13.0,2898.0,567.0,2331.0,779.0,84.0,779.0,3677.0,0.0,0.0,56.0,315.0,229.0,991,70.0,10.0,0.0,42.0,42.0,46.0,0.0,5608.0,5036.0,424.0,5521.0,5812.0,5275.0,4381.0,3651.0,4261.0,0.0,1.0,21.0,34.0,296008,167202,82362,39225,174012,3639.0
2,28447.0,4496.0,10238.0,12171.0,11774.0,245.0,70.0,6631.0,568.0,6063.0,10351.0,1162.0,11283.0,17914.0,938.0,625.0,688.0,2283.0,4436.0,1024,1103.0,60.0,7.0,1448.0,1455.0,454.0,12.0,11380.0,72969.0,4520.0,19063.0,17394.0,14972.0,14427.0,12335.0,11630.0,0.0,753.0,496.0,624.0,772507,523395,266366,37258,468580,19585.0
3,11579.0,1676.0,3277.0,5496.0,3854.0,67.0,32.0,5623.0,1091.0,4532.0,1557.0,209.0,1727.0,7350.0,79.0,134.0,272.0,363.0,96.0,994,274.0,102.0,0.0,124.0,124.0,27.0,0.0,3624.0,10329.0,721.0,9816.0,10125.0,8580.0,7589.0,5736.0,10475.0,0.0,0.0,0.0,30.0,363464,164095,105891,39427,217858,9080.0
4,6421.0,2036.0,2682.0,3540.0,2171.0,94.0,29.0,3355.0,403.0,2952.0,608.0,113.0,608.0,3963.0,0.0,0.0,57.0,119.0,1167.0,1047,25.0,7.0,0.0,0.0,0.0,22.0,0.0,4844.0,19943.0,373.0,5174.0,5174.0,4850.0,4313.0,4020.0,8681.0,0.0,0.0,0.0,16.0,236944,135918,84473,16328,135630,4933.0
5,2214.0,500.0,449.0,1760.0,2213.0,0.0,0.0,997.0,111.0,886.0,216.0,0.0,216.0,1213.0,0.0,0.0,23.0,27.0,572.0,1051,7.0,6.0,2.0,0.0,2.0,12.0,0.0,2851.0,8784.0,0.0,2735.0,2630.0,2451.0,1990.0,1481.0,1071.0,0.0,0.0,0.0,0.0,128406,67981,36131,15197,76398,1239.0
6,14004.0,4381.0,6346.0,11194.0,12375.0,363.0,132.0,8247.0,463.0,7784.0,2741.0,360.0,2828.0,11075.0,98.0,221.0,242.0,583.0,1999.0,1053,124.0,31.0,0.0,247.0,247.0,532.0,11.0,14891.0,63457.0,1383.0,12533.0,12297.0,12486.0,11752.0,11201.0,10862.0,0.0,102.0,89.0,30.0,602951,306130,180373,59798,362483,11412.0
7,8685.0,1574.0,3816.0,4915.0,6141.0,1.0,0.0,4856.0,608.0,4248.0,631.0,542.0,754.0,5610.0,4.0,1.0,154.0,157.0,389.0,923,132.0,0.0,0.0,63.0,63.0,14.0,0.0,1213.0,12853.0,785.0,9420.0,9936.0,8502.0,7922.0,6758.0,8213.0,1.0,0.0,0.0,6.0,354824,201753,112721,39440,202598,7258.0
1,7002.0,2090.0,2391.0,4366.0,2694.0,640.0,68.0,1852.0,532.0,1320.0,1076.0,576.0,1076.0,2928.0,1.0,0.0,45.0,178.0,1591.0,977,31.0,15.0,3.0,37.0,40.0,122.0,0.0,3837.0,7295.0,1721.0,5230.0,5175.0,4394.0,4041.0,3482.0,3958.0,0.0,11236.0,264.0,58.0,303138,175135,82883,40172,179763,3161.0
2,40720.0,9622.0,16872.0,13463.0,16276.0,2489.0,685.0,6719.0,459.0,6260.0,11517.0,4306.0,16159.0,22878.0,1785.0,1688.0,634.0,3026.0,16905.0,930,1347.0,208.0,0.0,1138.0,1138.0,644.0,10.0,11832.0,87141.0,13686.0,21687.0,17920.0,16352.0,14663.0,12586.0,11528.0,0.0,8614.0,2211.0,751.0,789916,541007,273888,37242,478551,23116.0
3,15276.0,3102.0,4779.0,8160.0,3805.0,2780.0,245.0,6806.0,879.0,5927.0,2362.0,1957.0,3916.0,10722.0,72.0,289.0,276.0,809.0,6672.0,1039,462.0,81.0,0.0,236.0,236.0,191.0,41.0,7006.0,19581.0,2851.0,12444.0,12617.0,11433.0,10435.0,8811.0,8426.0,1.0,118.0,656.0,254.0,373725,171561,107443,40760,225296,10529.0
