Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,8746.0,3563.0,5427.0,6080.0,5794.0,81.0,53.0,626.0,386.0,240.0,5193.0,106.0,5203.0,5829.0,678.0,153.0,35.0,414.0,601.0,955,215.0,86.0,103.0,1732.0,1835.0,745.0,36.0,24326.0,75261.0,235.0,3214.0,3366.0,3355.0,3178.0,3346.0,4230.0,20.0,20.0,20.0,17.0,376281,317563,143061,26844,204580,6265.0
2,3268.0,1439.0,2406.0,2770.0,2600.0,19.0,0.0,811.0,427.0,384.0,1547.0,0.0,1547.0,2358.0,38.0,0.0,232.0,180.0,0.0,799,39.0,174.0,0.0,201.0,201.0,305.0,0.0,6984.0,22234.0,0.0,1563.0,1778.0,1842.0,1693.0,1520.0,2034.0,0.0,0.0,0.0,25.0,120265,94761,52050,9581,56542,2277.0
3,2151.0,1007.0,1622.0,1831.0,1759.0,0.0,0.0,328.0,179.0,149.0,1121.0,0.0,1121.0,1449.0,27.0,13.0,146.0,580.0,127.0,909,36.0,149.0,0.0,149.0,149.0,120.0,7.0,3134.0,16535.0,149.0,999.0,1010.0,906.0,885.0,1029.0,1230.0,0.0,0.0,0.0,0.0,78093,60873,29001,7286,41435,1611.0
4,1812.0,682.0,1443.0,1525.0,1667.0,137.0,0.0,982.0,452.0,530.0,696.0,0.0,696.0,1678.0,3.0,5.0,161.0,74.0,0.0,932,0.0,43.0,0.0,109.0,109.0,34.0,0.0,2128.0,5258.0,13.0,1132.0,1300.0,1194.0,1208.0,1020.0,1302.0,0.0,0.0,0.0,14.0,102362,54306,34035,7607,60336,1737.0
5,4286.0,1512.0,2263.0,2524.0,2461.0,0.0,0.0,396.0,231.0,165.0,3009.0,0.0,3009.0,3405.0,305.0,8.0,554.0,408.0,280.0,862,122.0,201.0,3.0,671.0,674.0,230.0,93.0,6839.0,31933.0,0.0,1664.0,1889.0,1782.0,1717.0,2018.0,2408.0,0.0,0.0,0.0,0.0,153749,112997,61667,14442,77372,3497.0
6,1641.0,948.0,1208.0,1165.0,1289.0,13.0,0.0,477.0,208.0,269.0,524.0,0.0,524.0,1001.0,0.0,0.0,100.0,69.0,0.0,924,3.0,45.0,0.0,16.0,16.0,92.0,0.0,2487.0,11878.0,0.0,640.0,786.0,793.0,759.0,759.0,917.0,0.0,0.0,0.0,11.0,78485,53582,33298,4128,40086,958.0
7,1557.0,412.0,1167.0,1240.0,1149.0,0.0,8.0,609.0,290.0,319.0,812.0,0.0,812.0,1421.0,27.0,0.0,140.0,98.0,65.0,910,18.0,140.0,0.0,274.0,274.0,89.0,0.0,1275.0,3759.0,0.0,828.0,1145.0,873.0,672.0,700.0,847.0,0.0,0.0,0.0,0.0,57882,41854,16297,5164,36174,1333.0
8,1366.0,554.0,1107.0,1237.0,1193.0,0.0,0.0,145.0,110.0,35.0,930.0,0.0,930.0,1075.0,2.0,0.0,103.0,85.0,363.0,909,25.0,72.0,0.0,111.0,111.0,176.0,0.0,6146.0,17912.0,0.0,334.0,370.0,316.0,376.0,383.0,599.0,0.0,0.0,0.0,0.0,61394,50595,28221,3566,28670,1025.0
1,14366.0,5342.0,9972.0,8477.0,7403.0,848.0,77.0,689.0,482.0,207.0,6942.0,5721.0,9632.0,10321.0,928.0,491.0,72.0,414.0,10119.0,910,368.0,66.0,3.0,1717.0,1720.0,1213.0,164.0,36224.0,131970.0,2011.0,9913.0,9435.0,9283.0,9175.0,9039.0,9226.0,2.0,7380.0,13952.0,136.0,384125,325062,145791,25579,211382,10164.0
2,3601.0,2216.0,3281.0,3238.0,3283.0,87.0,0.0,720.0,402.0,318.0,2057.0,1903.0,2057.0,2777.0,89.0,0.0,21.0,34.0,2718.0,1044,116.0,178.0,0.0,184.0,184.0,321.0,0.0,11470.0,31882.0,31.0,2918.0,2978.0,3057.0,3054.0,2825.0,2753.0,268.0,411.0,2264.0,75.0,122065,96733,52401,8723,59353,2849.0
