Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,4752,1143,1411,1515,236,0.0,0.0,543,450,93,2432,0.0,2432,2975,113.0,7.0,95.0,260.0,0.0,1013,36.0,83,52.0,196.0,248.0,90,0.0,1445,2928,175.0,3083,2652,2541,2339,1952,9419,0.0,0.0,0.0,0.0,356363,252381,110679,24130,220707,2315
2,4024,569,951,1049,496,0.0,0.0,258,164,94,498,87.0,498,756,101.0,0.0,45.0,49.0,38.0,939,55.0,6,0.0,48.0,48.0,55,0.0,567,1249,221.0,1644,1696,1486,1503,991,1151,0.0,158.0,124.0,0.0,279978,197095,103701,16809,159427,1485
3,1867,194,288,531,166,0.0,0.0,161,106,55,264,0.0,264,425,15.0,0.0,50.0,21.0,0.0,930,14.0,105,0.0,122.0,122.0,75,0.0,114,814,14.0,980,1055,1024,912,767,1007,0.0,0.0,0.0,2.0,205176,163990,81378,21152,102273,633
4,989,189,254,605,293,0.0,0.0,176,130,46,174,0.0,174,350,1.0,0.0,11.0,29.0,0.0,1108,6.0,7,0.0,0.0,0.0,35,0.0,301,216,46.0,970,1055,779,812,482,492,0.0,0.0,0.0,0.0,253333,110825,105938,35284,110105,449
5,1088,332,406,944,289,0.0,0.0,407,280,127,340,0.0,340,747,0.0,0.0,19.0,69.0,0.0,1068,29.0,43,0.0,0.0,0.0,112,0.0,327,264,619.0,1954,2763,2165,2026,2477,3714,0.0,0.0,0.0,0.0,158693,99332,61720,15775,81184,1057
6,1482,248,403,526,155,0.0,0.0,311,216,95,185,0.0,185,496,1.0,0.0,17.0,61.0,0.0,1014,5.0,17,0.0,12.0,12.0,58,0.0,520,1894,78.0,1385,1907,1904,1679,1268,3614,0.0,0.0,0.0,0.0,245957,133589,92300,25593,126965,594
7,1819,517,384,637,256,0.0,0.0,418,317,101,357,0.0,357,775,25.0,0.0,13.0,67.0,0.0,908,1.0,34,1.0,58.0,59.0,42,0.0,342,843,0.0,946,1129,1031,1057,730,961,0.0,0.0,0.0,1.0,164790,123178,58999,11657,92729,706
8,961,302,243,1501,61,0.0,0.0,256,173,83,450,0.0,450,706,3.0,0.0,2.0,0.0,0.0,901,0.0,26,0.0,1.0,1.0,78,0.0,395,911,66.0,1747,1470,1567,1522,1642,1340,0.0,0.0,0.0,0.0,144592,98549,48806,21147,70378,540
1,6801,1621,2202,1567,958,175.0,143.0,399,330,69,3548,1259.0,3548,3947,398.0,0.0,21.0,280.0,1469.0,927,59.0,91,53.0,173.0,226.0,149,0.0,664,3392,3874.0,4473,4502,4347,4035,3349,3027,0.0,213.0,499.0,7.0,363694,260658,114442,25653,222935,3926
2,6979,1287,1478,1524,1235,193.0,130.0,507,479,28,1916,916.0,1916,2423,309.0,0.0,47.0,155.0,1353.0,970,39.0,29,0.0,228.0,228.0,345,0.0,1150,3954,2367.0,3082,3251,3233,2887,2303,4232,0.0,38.0,39.0,11.0,275923,197226,102250,16331,157311,2376
