Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,22320,4409,20806,20525,17207,967.0,32.0,4355,1386,2969,13902,1595.0,14221,18576,34,0.0,450,1353,1818.0,927,426,586,24.0,2050,2074,2982,0.0,90161,540269,10375,20632,20112,19947,20225,17836,16104,17.0,0.0,0.0,25.0,1232104,804589,311881,190878,728494,15532
2,31516,4494,28314,28457,20170,672.0,339.0,7890,1462,6428,21469,9165.0,21484,29374,816,46.0,954,2550,4982.0,1006,1098,570,117.0,4537,4654,5009,3.0,47736,833611,11467,31537,30076,24953,24227,22285,18768,47.0,2320.0,1669.0,273.0,1548503,828890,386346,280229,880266,23607
3,36194,13798,31062,31340,1027561,589.0,113.0,5452,1452,4000,19464,7344.0,19464,24916,729,0.0,482,200715,3842.0,971,1029,802,243.0,4199,4442,2785,0.0,99574,564024,16997,30460,26191,25037,24021,17882,16718,733.0,44.0,152.0,129.0,2227443,1488488,574117,257724,1385282,18991
4,24260,5466,22903,25371,23942,138.0,2.0,2533,539,1994,14703,1420.0,14840,17373,377,245.0,149,1254,6.0,1005,123,462,56.0,4103,4159,3569,0.0,59442,849689,2810,21425,20747,19738,18737,19536,18803,4992.0,117.0,349.0,34.0,1439417,906810,445486,261331,729094,17882
5,9887,2355,8547,8870,7377,0.0,0.0,3264,995,2269,6044,1618.0,6044,9308,11,0.0,271,1568,361.0,1018,205,320,2.0,726,728,2080,0.0,16483,270934,2027,7436,8104,7728,7870,7156,7198,0.0,0.0,0.0,0.0,419624,240202,118047,85221,215795,9709
6,34661,12680,29402,47424,28936,1516.0,2433.0,7627,2013,5614,18338,1696.0,18338,25965,155,0.0,296,2176,16923.0,986,657,1977,35.0,5363,5398,10323,0.0,186961,1610646,19702,39936,29792,28216,30625,34495,32596,2.0,241.0,727.0,379.0,1452338,1011758,319902,120215,1010160,24252
7,47708,15612,35930,34916,27097,553.0,379.0,3462,697,2765,27686,5333.0,27686,31148,1757,34.0,511,3905,5714.0,989,1137,1442,316.0,7432,7748,8174,52.0,109131,1122031,12864,42573,33735,35204,36404,32400,30311,0.0,143.0,955.0,47.0,2536032,1869055,670458,220269,1644492,27587
8,4924,1400,5550,4533,3986,602.0,39.0,952,187,765,1991,800.0,1991,2943,24,0.0,150,238,1603.0,828,305,33,0.0,412,412,484,0.0,14265,197061,797,3941,3804,3814,4132,4552,4513,5.0,201.0,84.0,116.0,300462,178283,79084,73313,147313,2764
9,25570,8447,23368,32070,25709,1695.0,415.0,2874,1710,1164,12812,9749.0,14802,17676,302,45.0,473,1507,6856.0,915,1089,1575,52.0,4538,4590,5672,45.0,119961,672046,6006,19058,20000,20258,19804,15289,12739,9.0,3276.0,450.0,91.0,1153545,767442,272605,135598,742887,15259
10,9111,2323,7507,8523,6892,0.0,0.0,3659,871,2788,3152,0.0,3152,6811,97,22.0,126,71,0.0,991,6,72,100.0,1190,1290,1230,0.0,15807,176466,3318,7781,7451,7278,7012,6901,6910,13.0,0.0,0.0,134.0,559451,232796,173202,114387,271045,6497
11,47348,12020,40493,43801,41467,1672.0,192.0,4010,1255,2755,22857,4345.0,22857,26867,151,50.0,601,3023,0.0,1051,641,349,378.0,4101,4479,4815,3.0,52389,420910,15025,34853,36042,37467,37021,27678,28610,0.0,162.0,249.0,0.0,3414217,2017787,875631,563991,1973871,26488
12,17111,6814,16187,16503,12822,648.0,77.0,1458,742,716,10345,4199.0,10345,11803,384,32.0,235,917,3260.0,1017,896,874,362.0,1947,2309,3825,637.0,89415,868623,10317,16682,15118,15473,15945,15481,15458,43.0,131.0,1303.0,102.0,1112562,840679,276724,103033,731617,10732
13,34332,10055,29849,32204,29100,444.0,22.0,2958,1187,1771,20431,2552.0,20431,23389,328,0.0,396,699,521.0,1014,1167,1577,89.0,2421,2510,5773,0.0,106532,926164,13834,33389,26225,26097,25485,28038,22686,0.0,0.0,26.0,87.0,1763811,1197016,388471,129185,1245002,25148
14,10048,3756,9191,9326,8146,62.0,4.0,2086,1115,971,3266,1959.0,3267,5353,141,2.0,56,428,365.0,985,265,344,18.0,1066,1084,924,0.0,32132,291637,5229,8895,9441,10279,10230,9941,11223,0.0,1910.0,0.0,0.0,557620,375397,159328,69279,328251,8383
15,31395,7705,28753,25746,26711,539.0,14.0,15889,11738,4151,20381,2852.0,20381,36270,118,0.0,622,2813,5863.0,933,376,93,15.0,2927,2942,2047,0.0,48393,256907,5797,24706,25352,25272,23346,21486,39970,562.0,3.0,164.0,282.0,1500201,701565,378337,327662,790139,23138
16,12827,3265,8016,11698,13491,1112.0,188.0,5694,1609,4085,4628,1473.0,4628,10322,249,0.0,466,1637,2535.0,958,250,373,113.0,812,925,2274,0.0,50683,430086,5128,11180,11902,10916,9958,8411,6955,0.0,192.0,128.0,107.0,706531,359161,169767,168483,366654,9887
17,29180,4831,19225,21488,59123,615.0,55.0,3471,1014,2457,11672,4650.0,11672,15143,402,32.0,425,754,4533.0,1012,1034,1739,65.0,2242,2307,3086,0.0,133969,874225,10278,23609,20320,20148,19805,18979,19623,100.0,66.0,110.0,61.0,1397377,1016705,313372,127384,955143,14645
18,38873,13082,40306,34926,35167,0.0,0.0,11282,1039,10243,20191,277.0,20191,31473,360,0.0,723,1053,0.0,934,1740,1871,0.0,4447,4447,4498,0.0,98717,977785,12129,36370,32281,30025,29711,27373,26426,0.0,0.0,0.0,91.0,1726182,962370,427729,290849,1005927,26677
19,29878,10735,24731,28473,20614,275.0,270.0,1846,470,1376,25219,1503.0,25219,27065,282,0.0,279,690,1460.0,1036,391,2221,210.0,3123,3333,4863,0.0,99569,825789,11286,35304,28513,27449,27906,26005,26372,0.0,44.0,379.0,29.0,2132163,1604660,582427,136498,1410441,21295
20,32486,9202,26686,29067,30578,606.0,97.0,15747,3184,12563,8136,3294.0,8136,23883,345,0.0,821,2169,1528.0,971,690,338,1711.0,4233,5944,4566,0.0,76704,474961,8938,31358,25622,24877,23722,21331,19460,17.0,260.0,2375.0,284.0,1316656,491279,383007,270304,662484,24032
21,16029,4582,8672,13308,13745,3.0,0.0,8016,814,7202,4822,870.0,4822,12838,42,0.0,504,982,1565.0,1010,114,245,824.0,741,1565,6443,1.0,41904,179620,1474,10462,9778,10383,9557,9074,8484,12.0,51.0,193.0,1.0,578226,200759,171181,118776,287937,12972
22,46058,18904,41541,41160,31239,277.0,109.0,13072,1667,11405,28002,3154.0,28002,41074,750,0.0,1058,5021,6991.0,1018,4077,2269,100.0,6200,6300,7258,0.0,116399,1016616,12176,41885,36555,32773,31101,30507,29412,0.0,2007.0,186.0,99.0,2426930,1232848,568532,581035,1265183,34501
