Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,1038.0,629.0,1008.0,1019.0,860.0,212.0,0.0,0.0,0.0,0.0,1518.0,39.0,1518.0,1518.0,140.0,0.0,24.0,86.0,527.0,886.0,44.0,13.0,1.0,430.0,431.0,148.0,47.0,937.0,141410.0,1041.0,1667.0,925.0,931.0,925.0,991.0,3013.0,148.0,0.0,295.0,0.0,190896,144363,56264,8495,126010,1505.0
2,236.0,86.0,78.0,112.0,255.0,1404.0,0.0,0.0,0.0,0.0,308.0,69.0,308.0,308.0,135.0,0.0,0.0,27.0,270.0,731.0,74.0,22.0,1.0,160.0,161.0,39.0,0.0,171.0,4950.0,295.0,286.0,160.0,202.0,220.0,240.0,737.0,0.0,177.0,249.0,0.0,40252,34813,9764,1220,29242,341.0
3,54711.0,6583.0,10826.0,18322.0,25797.0,1605.0,0.0,0.0,0.0,0.0,27754.0,118.0,27754.0,27754.0,1423.0,0.0,381.0,2459.0,1354.0,918.0,460.0,911.0,17.0,8524.0,8541.0,2193.0,0.0,19272.0,750601.0,8683.0,38029.0,4338.0,10868.0,13053.0,12742.0,17102.0,277.0,143.0,870.0,0.0,0,0,0,0,0,13957.0
4,218.0,67.0,133.0,196.0,180.0,629.0,0.0,0.0,0.0,0.0,207.0,1.0,207.0,207.0,37.0,0.0,1.0,20.0,187.0,1000.0,40.0,62.0,0.0,63.0,63.0,25.0,0.0,250.0,6790.0,259.0,256.0,174.0,170.0,193.0,176.0,552.0,0.0,102.0,138.0,0.0,46854,32027,13220,1084,32534,216.0
1,2875.0,1661.0,3060.0,2357.0,2045.0,685.0,52.0,5.0,4.0,1.0,4720.0,409.0,4758.0,4763.0,913.0,180.0,80.0,229.0,3784.0,964.0,67.0,71.0,3.0,819.0,822.0,472.0,26.0,3582.0,71259.0,4768.0,4789.0,2418.0,2308.0,2371.0,2318.0,2363.0,733.0,0.0,1278.0,13.0,193955,147798,56948,8957,127950,4689.0
2,704.0,297.0,454.0,245.0,451.0,511.0,3.0,0.0,0.0,0.0,823.0,172.0,823.0,823.0,462.0,0.0,1.0,61.0,512.0,943.0,120.0,84.0,2.0,468.0,470.0,127.0,0.0,3628.0,18100.0,817.0,762.0,550.0,571.0,551.0,674.0,674.0,0.0,1334.0,506.0,1.0,40767,35356,9972,1276,29497,822.0
3,49490.0,6929.0,25233.0,16773.0,20542.0,12769.0,981.0,24.0,19.0,5.0,33322.0,7245.0,41785.0,41809.0,7704.0,2541.0,949.0,6243.0,29234.0,908.0,968.0,1430.0,9.0,7550.0,7559.0,1727.0,1062.0,21716.0,570272.0,30233.0,30037.0,12799.0,11974.0,11824.0,11759.0,11759.0,2543.0,6542.0,21478.0,442.0,0,0,0,0,0,35326.0
4,750.0,722.0,657.0,742.0,741.0,431.0,14.0,8.0,3.0,5.0,523.0,417.0,523.0,531.0,89.0,19.0,3.0,39.0,555.0,836.0,9.0,0.0,8.0,245.0,253.0,60.0,6.0,732.0,13750.0,591.0,591.0,621.0,622.0,621.0,617.0,617.0,0.0,219.0,158.0,11.0,49612,34280,13902,1177,34520,560.0
1,2777.0,1777.0,2641.0,1810.0,1744.0,636.0,38.0,2.0,0.0,2.0,4081.0,63.0,4172.0,4174.0,873.0,5.0,35.0,352.0,3266.0,989.0,33.0,2.0,0.0,416.0,416.0,399.0,26.0,2297.0,95043.0,3944.0,3922.0,2818.0,2695.0,2591.0,2573.0,2545.0,809.0,0.0,936.0,0.0,197063,151315,57641,9444,129920,4088.0
2,449.0,204.0,290.0,161.0,277.0,267.0,19.0,0.0,0.0,0.0,510.0,92.0,754.0,754.0,311.0,159.0,0.0,36.0,341.0,959.0,65.0,84.0,2.0,373.0,375.0,58.0,6.0,5033.0,17381.0,565.0,571.0,514.0,548.0,544.0,586.0,586.0,0.0,1435.0,468.0,0.0,41288,35909,10186,1335,29754,758.0
