Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,43862.0,28739.0,47213.0,42772.0,23982.0,5152.0,1351.0,17756.0,8453.0,9303.0,8853.0,2321.0,20322.0,38078.0,1132.0,1062.0,394.0,3181.0,17805.0,865,715.0,516.0,3574.0,4787.0,8361.0,11363.0,31.0,59926.0,2105348.0,21942.0,44545.0,39162.0,37421.0,37631.0,38073.0,38073.0,0.0,3263.0,6485.0,233.0,2658662,1716821,829765,142365,1686265,37684.0
2,27796.0,11554.0,19917.0,22930.0,14886.0,4200.0,531.0,6434.0,3925.0,2509.0,5339.0,1702.0,10140.0,16574.0,439.0,42.0,233.0,4930.0,5269.0,864,417.0,1264.0,1268.0,3991.0,5259.0,15646.0,0.0,74868.0,1518256.0,6552.0,19863.0,20415.0,18995.0,18911.0,19148.0,17290.0,0.0,1417.0,2756.0,19.0,1323474,774612,439081,95603,788354,16606.0
3,11282.0,5768.0,8551.0,10053.0,5458.0,2136.0,217.0,3749.0,998.0,2751.0,3079.0,1128.0,5283.0,9032.0,714.0,182.0,142.0,826.0,1354.0,814,369.0,396.0,211.0,1905.0,2116.0,6195.0,148.0,27289.0,876944.0,4144.0,11513.0,11283.0,10621.0,10421.0,10089.0,10089.0,53.0,646.0,1080.0,38.0,596718,353259,187811,30124,378642,8951.0
4,12352.0,4089.0,9088.0,9584.0,4751.0,1214.0,52.0,1645.0,302.0,1343.0,1329.0,242.0,6111.0,7756.0,258.0,551.0,63.0,658.0,416.0,862,105.0,109.0,160.0,1127.0,1287.0,4735.0,30.0,32499.0,597574.0,3817.0,9615.0,10166.0,9363.0,9280.0,9747.0,9697.0,0.0,240.0,516.0,8.0,580808,400724,189531,22570,368489,7693.0
5,31518.0,12658.0,23089.0,28481.0,8780.0,4250.0,1324.0,8699.0,3272.0,5427.0,7086.0,1813.0,15719.0,24418.0,292.0,55.0,49.0,5694.0,5689.0,895,125.0,269.0,199.0,5912.0,6111.0,20774.0,552.0,6164.0,1775756.0,13807.0,32666.0,33899.0,31176.0,29747.0,28548.0,28548.0,0.0,524.0,3606.0,2.0,1939678,1119601,592369,130114,1217151,24370.0
6,38804.0,35626.0,35626.0,34323.0,15783.0,7324.0,1670.0,20277.0,13094.0,7183.0,4865.0,2134.0,12972.0,33249.0,1518.0,173.0,307.0,9003.0,11394.0,884,321.0,424.0,415.0,4560.0,4975.0,15368.0,84.0,105691.0,2459216.0,6402.0,33773.0,34682.0,32551.0,33519.0,35057.0,34941.0,0.0,1617.0,4395.0,59.0,2238216,1541949,607956,131621,1498503,34406.0
7,27071.0,9667.0,26753.0,26064.0,9266.0,2559.0,176.0,9511.0,5424.0,4087.0,6117.0,972.0,13122.0,22633.0,765.0,478.0,616.0,2373.0,3512.0,965,619.0,538.0,394.0,3985.0,4379.0,14496.0,0.0,78685.0,1586667.0,12768.0,24953.0,20700.0,19148.0,19172.0,25022.0,25022.0,0.0,2553.0,6633.0,231.0,1554086,1152800,412240,91537,1049507,22248.0
8,35293.0,17489.0,29196.0,34185.0,16904.0,2576.0,325.0,11508.0,6023.0,5485.0,8057.0,1155.0,20352.0,31860.0,1125.0,612.0,264.0,9521.0,2340.0,900,318.0,423.0,1121.0,6888.0,8009.0,21995.0,180.0,133970.0,2776886.0,5885.0,34021.0,27698.0,28566.0,29129.0,31841.0,29169.0,0.0,772.0,1084.0,103.0,2121607,1536149,661169,82598,1377753,32003.0
9,13138.0,7128.0,11873.0,12526.0,2692.0,2099.0,137.0,4207.0,2455.0,1752.0,3711.0,1404.0,8100.0,12307.0,364.0,110.0,117.0,774.0,5516.0,874,177.0,695.0,439.0,2582.0,3021.0,7322.0,0.0,47822.0,1026457.0,2594.0,14000.0,14981.0,14473.0,14143.0,12967.0,12947.0,20.0,2041.0,6412.0,54.0,796479,548279,242985,34563,518918,12212.0
10,45100.0,12861.0,41472.0,42006.0,30152.0,3348.0,164.0,12119.0,7412.0,4707.0,6422.0,1775.0,29913.0,42032.0,492.0,240.0,369.0,7720.0,6604.0,929,437.0,709.0,1105.0,10021.0,11126.0,50894.0,276.0,146595.0,4625923.0,29838.0,59295.0,45755.0,42291.0,51282.0,57616.0,57616.0,607.0,1204.0,2899.0,81.0,3351911,2390263,1108598,133527,2109023,41967.0
