Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,82723,40608,55460,69607.0,50197.0,0.0,0.0,9759,2698,7061.0,30232,0.0,43903,53662,2926.0,0.0,732,9093,0.0,923.0,0.0,3576.0,883,10997.0,11880.0,8130.0,384.0,345942,3717120,23200.0,72302,61134,57716.0,60811.0,60661,60661,0.0,0.0,0.0,55,2455443,1409128,783663,206361,1464879,51518
2,104248,47604,69239,94751.0,96299.0,0.0,0.0,18856,4662,14194.0,44420,0.0,59703,78559,1428.0,41.0,1352,3007,0.0,882.0,1001.0,2428.0,681,18256.0,18937.0,12063.0,635.0,319601,4780634,11166.0,95191,86549,80627.0,81475.0,76695,69021,5.0,0.0,0.0,151,3454828,1945674,1104496,523620,1824701,77624
3,55772,24765,34325,53970.0,37966.0,0.0,0.0,6506,1615,4891.0,37522,12958.0,37835,44341,1000.0,0.0,1016,2497,0.0,1102.0,89.0,311.0,76,8352.0,8428.0,10043.0,0.0,395288,2489640,12018.0,49857,46100,40128.0,44737.0,44900,44900,0.0,0.0,0.0,112,1703064,724884,538869,300104,853294,38942
4,26995,17688,19644,35555.0,23488.0,0.0,0.0,2024,784,1240.0,22526,0.0,23784,25808,151.0,0.0,235,1557,18375.0,814.0,200.0,180.0,305,7080.0,7385.0,5693.0,0.0,182690,2461290,12494.0,23769,27669,26802.0,25603.0,27870,27520,71.0,0.0,0.0,135,1158586,626702,340904,173541,643485,26290
5,63301,28927,44274,60297.0,34663.0,0.0,1370.0,27916,9238,18678.0,24789,2685.0,26425,54341,15.0,8.0,690,620,0.0,865.0,221.0,84.0,68,10460.0,10528.0,9578.0,133.0,437787,1884885,14914.0,61527,64245,61554.0,59938.0,56239,56239,58.0,0.0,0.0,79,2392860,1094006,722463,378851,1283255,53422
6,80582,41402,56871,78993.0,68694.0,0.0,0.0,11233,2013,9220.0,39221,0.0,43844,55077,0.0,0.0,440,1015,0.0,898.0,480.0,2135.0,200,11436.0,11636.0,12364.0,0.0,189201,2432479,6477.0,74164,64473,63459.0,64928.0,70153,70153,0.0,0.0,0.0,136,2405090,1340889,656038,344084,1404487,50970
7,67865,56672,58038,66773.0,63063.0,0.0,0.0,30889,14285,16604.0,23683,8176.0,27872,58761,1720.0,1965.0,566,17380,0.0,962.0,1542.0,1846.0,468,9349.0,9817.0,14064.0,421.0,420073,1263010,7391.0,55745,53214,51796.0,51794.0,51082,49912,0.0,0.0,0.0,30,2282599,1113029,845999,233853,1201267,57739
8,75797,26155,42026,72251.0,53201.0,0.0,0.0,16304,7098,9206.0,30492,4921.0,35704,52008,18.0,0.0,320,1017,0.0,921.0,32.0,32.0,240,10515.0,10755.0,9320.0,79.0,432877,5497293,9151.0,44978,75748,69474.0,65981.0,64056,59379,0.0,0.0,0.0,62,2131536,1096925,674658,199803,1256242,51710
9,34481,21526,29461,34481.0,23429.0,0.0,0.0,6015,2535,3480.0,19432,0.0,21830,27845,924.0,502.0,138,662,0.0,923.0,0.0,695.0,247,6453.0,6700.0,5086.0,12.0,218736,2544462,16933.0,29812,29942,29794.0,29646.0,29537,29317,0.0,0.0,0.0,55,1064168,536298,343574,160670,559856,27707
10,38487,21544,16943,47077.0,37542.0,774.0,0.0,15792,5771,10021.0,22967,0.0,27601,43393,0.0,0.0,2370,1669,0.0,850.0,2267.0,1035.0,637,10777.0,11414.0,11509.0,0.0,201178,2085203,40611.0,39051,38850,34271.0,39580.0,39616,39616,0.0,0.0,0.0,108,1617916,817381,683464,155520,778831,39203
