Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,7836,3656,4401,6468.0,2011.0,0.0,0.0,1291,575,716.0,871.0,0.0,871,2162,0.0,0.0,34,44,0.0,1100.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20348,72882,2900,3609,4833.0,5483.0,5441.0,4872,2440,0.0,0.0,0.0,0.0,271423,196156,105156,27131,139102,3782
2,662,291,450,555.0,276.0,0.0,20.0,174,78,96.0,233.0,0.0,233,407,48.0,0.0,17,30,1.0,880.0,4.0,0.0,7.0,0.0,7.0,67.0,0.0,2039,4912,841,559,637.0,641.0,660.0,660,660,0.0,0.0,0.0,4.0,42887,28198,17316,6096,19445,534
3,2503,1563,1711,1858.0,922.0,0.0,0.0,359,223,136.0,344.0,0.0,344,703,0.0,0.0,22,212,0.0,958.0,9.0,17.0,123.0,46.0,169.0,299.0,0.0,20526,57493,311,2033,1729.0,1762.0,1695.0,1948,1298,0.0,0.0,0.0,2.0,142073,95868,52758,19568,68850,1175
4,2394,686,2190,2712.0,1291.0,0.0,0.0,764,531,233.0,982.0,982.0,982,1746,20.0,4.0,37,38,0.0,924.0,28.0,1.0,21.0,75.0,96.0,561.0,4.0,18909,64643,726,2045,2205.0,2296.0,2310.0,2319,2319,0.0,0.0,0.0,4.0,132339,82063,49405,14652,67230,1745
1,3896,2032,3122,2692.0,2662.0,1224.0,68.0,579,214,365.0,1658.0,49.0,1658,2237,329.0,0.0,77,158,2248.0,971.0,46.0,5.0,76.0,236.0,312.0,266.0,0.0,12382,59065,3303,3543,3614.0,3585.0,3619.0,3535,3267,0.0,0.0,0.0,15.0,275417,202035,107087,27618,140685,3075
2,6740,348,591,442.0,301.0,110.0,4.0,170,51,119.0,157.0,157.0,157,327,0.0,0.0,140,24,489.0,821.0,16.0,8.0,9.0,42.0,51.0,71.0,0.0,3341,8446,429,559,703.0,739.0,734.0,623,292,0.0,0.0,0.0,2.0,43159,28930,17282,6111,19742,479
3,2308,2122,2293,2067.0,1514.0,285.0,20.0,579,214,365.0,957.0,732.0,957,1536,95.0,0.0,26,17,1586.0,914.0,4.0,0.0,29.0,52.0,81.0,589.0,0.0,24443,61738,414,2017,2243.0,2172.0,2284.0,2248,2335,0.0,114.0,2198.0,3.0,143648,99364,52130,20903,69915,1606
4,2268,910,2157,2059.0,1278.0,577.0,71.0,644,173,471.0,1041.0,1020.0,1041,1685,26.0,1.0,36,31,1568.0,954.0,27.0,3.0,28.0,77.0,105.0,672.0,0.0,18356,142824,903,1926,2148.0,2159.0,2174.0,2184,2184,0.0,0.0,59.0,17.0,133691,85690,50004,16012,66847,1661
1,4862,2608,3224,3706.0,2241.0,1283.0,221.0,382,104,278.0,3148.0,874.0,4386,4768,665.0,438.0,89,170,2176.0,929.0,212.0,10.0,77.0,112.0,189.0,509.0,0.0,13014,65071,4561,4735,4324.0,4103.0,4203.0,4029,4029,0.0,1616.0,5572.0,53.0,279470,208091,109054,28114,142286,4630
2,650,291,577,547.0,445.0,72.0,4.0,120,36,84.0,293.0,215.0,293,413,0.0,0.0,12,17,394.0,1005.0,6.0,0.0,0.0,0.0,0.0,41.0,0.0,3337,6046,281,445,545.0,549.0,573.0,595,567,0.0,0.0,0.0,9.0,43433,29680,17249,6127,20043,407
3,2234,2008,1993,1874.0,883.0,560.0,3.0,413,182,231.0,1053.0,756.0,1053,1466,0.0,0.0,25,33,1652.0,932.0,42.0,0.0,0.0,6.0,6.0,618.0,0.0,23002,29346,441,1923,2053.0,2058.0,2160.0,2150,2094,0.0,6.0,2603.0,17.0,145240,102986,51510,22330,70998,1584
4,2179,1016,2019,2046.0,1376.0,645.0,77.0,568,163,405.0,916.0,719.0,916,1484,0.0,0.0,39,28,1434.0,1001.0,31.0,0.0,16.0,28.0,44.0,654.0,0.0,19945,68207,1035,1796,1879.0,1984.0,1985.0,2040,2040,0.0,0.0,120.0,20.0,135056,89477,50611,17498,66466,1451
1,4672,2769,3751,3846.0,3424.0,1316.0,26.0,305,63,242.0,4258.0,1992.0,4258,4563,845.0,0.0,102,367,3101.0,904.0,154.0,7.0,32.0,95.0,127.0,601.0,0.0,13351,60969,4806,5049,4129.0,4172.0,4090.0,4322,4137,0.0,1677.0,5606.0,2.0,283583,214328,111057,28620,143905,4540
2,716,315,702,631.0,656.0,118.0,0.0,134,54,80.0,347.0,328.0,347,481,0.0,0.0,20,41,508.0,817.0,15.0,0.0,0.0,0.0,0.0,51.0,0.0,5025,10347,385,493,654.0,666.0,728.0,701,647,0.0,0.0,0.0,0.0,43708,30450,17216,6142,20350,505
3,2290,1800,1969,2022.0,1882.0,668.0,4.0,390,97,293.0,1159.0,1042.0,1159,1549,10.0,0.0,41,82,1526.0,952.0,40.0,0.0,17.0,30.0,47.0,289.0,0.0,25378,48633,661,1625,2062.0,2048.0,2100.0,1930,1840,69.0,76.0,2674.0,0.0,146849,106740,50898,23855,72097,1519
4,2397,1258,2079,2158.0,1743.0,978.0,6.0,438,73,365.0,1011.0,876.0,1011,1449,1.0,0.0,23,46,1432.0,975.0,62.0,1.0,0.0,18.0,18.0,536.0,0.0,22818,97864,938,1774,2009.0,2065.0,2105.0,2037,2043,0.0,0.0,70.0,4.0,136435,93432,51224,19122,66087,1491
1,4102,2600,2901,3520.0,3897.0,1466.0,11.0,213,21,192.0,3577.0,2713.0,3577,3790,871.0,0.0,24,293,3457.0,970.0,137.0,5.0,14.0,73.0,87.0,402.0,0.0,12507,56470,4225,4415,3533.0,3554.0,3701.0,3853,3905,1.0,1941.0,4486.0,0.0,287756,220753,113097,29134,145542,3834
2,707,376,582,628.0,611.0,235.0,0.0,79,37,42.0,270.0,262.0,270,349,0.0,0.0,7,10,328.0,1102.0,15.0,0.0,0.0,0.0,0.0,62.0,0.0,5531,10018,284,360,583.0,596.0,623.0,634,547,0.0,0.0,0.0,2.0,43986,31239,17182,6158,20660,349
3,2248,1563,1841,2039.0,1853.0,973.0,2.0,252,73,179.0,1643.0,1229.0,1643,1895,323.0,0.0,36,50,1834.0,986.0,58.0,0.0,31.0,64.0,95.0,255.0,0.0,23043,57753,1133,1642,1974.0,2035.0,2043.0,2033,1965,67.0,354.0,3399.0,0.0,148477,110632,50292,25483,73212,1899
4,2231,1352,1965,2042.0,1537.0,1068.0,0.0,303,49,254.0,1103.0,1056.0,1103,1406,17.0,0.0,30,44,1359.0,996.0,72.0,1.0,0.0,3.0,3.0,364.0,0.0,21795,92759,1005,1762,1966.0,1999.0,1959.0,2023,1983,0.0,0.0,75.0,5.0,137828,97561,51846,20897,65710,1423
1,4381,3095,3640,3770.0,3469.0,1259.0,19.0,167,75,92.0,3602.0,2195.0,4505,4672,932.0,522.0,51,282,4500.0,962.0,209.0,10.0,12.0,92.0,104.0,522.0,115.0,14067,82821,4546,4649,3631.0,3603.0,3685.0,3994,3945,1.0,2152.0,5048.0,27.0,291990,227370,115175,29657,147198,4665
2,684,528,600,619.0,527.0,223.0,1.0,24,14,10.0,319.0,29.0,319,343,0.0,0.0,6,14,325.0,1104.0,19.0,10.0,0.0,0.0,0.0,67.0,0.0,6360,9578,305,344,557.0,578.0,585.0,557,554,0.0,0.0,0.0,4.0,44265,32049,17149,6174,20976,324
3,2195,1625,1752,1982.0,1716.0,1199.0,1.0,162,77,85.0,1573.0,489.0,1573,1735,422.0,0.0,29,63,1687.0,880.0,47.0,0.0,37.0,75.0,112.0,202.0,0.0,23290,71809,1463,1732,1931.0,1936.0,1980.0,1971,1956,0.0,634.0,3561.0,14.0,150122,114665,49694,27222,74346,1705
4,2183,1548,1807,1984.0,1914.0,1050.0,22.0,195,79,116.0,1033.0,103.0,1033,1228,18.0,0.0,26,70,1197.0,1028.0,109.0,0.0,0.0,0.0,0.0,528.0,0.0,25371,98207,1066,1341,1855.0,1850.0,1909.0,1903,1868,0.0,0.0,49.0,12.0,139235,101873,52475,22837,65335,1221
