Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,2781.0,3114.0,8417.0,1974.0,2343.0,87.0,132.0,1877.0,1763.0,114.0,1906.0,1967.0,1906.0,3783.0,543.0,47.0,6.0,233.0,1974.0,1000.0,13.0,245.0,579.0,1326.0,1905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736569,450924,265878,89561,380833,1974.0
2,87281.0,81560.0,83064.0,82861.0,19850.0,8.0,0.0,7.0,2.0,5.0,56624.0,0.0,86267.0,86274.0,0.0,0.0,142.0,4901.0,0.0,913.0,5586.0,4840.0,322.0,31783.0,32105.0,28915.0,6115.0,181061.0,1995333.0,68314.0,70431.0,73580.0,73016.0,75085.0,76017.0,61695.0,0.0,0.0,0.0,560.0,4553649,3638643,1543874,164749,2837164,80549.0
3,83455.0,57243.0,59824.0,82544.0,38660.0,33618.0,773.0,66.0,12.0,54.0,41687.0,0.0,75634.0,75700.0,4918.0,0.0,1721.0,14259.0,0.0,988.0,9717.0,818.0,59.0,19075.0,19134.0,20763.0,990.0,99520.0,758800.0,74757.0,74746.0,74894.0,74865.0,74452.0,74926.0,74932.0,0.0,7210.0,25697.0,563.0,3684397,2725140,1549448,131535,2003228,75066.0
4,41527.0,26808.0,28596.0,41024.0,33576.0,31745.0,464.0,88.0,26.0,62.0,24945.0,0.0,36158.0,36246.0,4603.0,0.0,490.0,3047.0,0.0,882.0,1169.0,1832.0,48.0,12507.0,12555.0,12356.0,600.0,93010.0,475855.0,38494.0,39403.0,39194.0,38153.0,38828.0,33840.0,33708.0,0.0,13808.0,65554.0,554.0,2505304,1686521,803453,302829,1397745,35756.0
5,30572.0,23407.0,23870.0,30114.0,17150.0,33655.0,808.0,251.0,52.0,199.0,21914.0,0.0,26930.0,27181.0,333.0,0.0,431.0,4488.0,0.0,917.0,2076.0,526.0,32.0,11374.0,11406.0,8606.0,171.0,56810.0,317980.0,26950.0,27133.0,27270.0,27000.0,26844.0,26092.0,24577.0,0.0,1000.0,17354.0,538.0,1825529,1066896,781488,125888,917525,27351.0
6,39739.0,33031.0,33492.0,38461.0,16021.0,22343.0,3807.0,538.0,364.0,174.0,18898.0,324.0,34302.0,34840.0,1351.0,0.0,481.0,2222.0,2039.0,947.0,2243.0,479.0,18.0,10959.0,10977.0,8876.0,1306.0,60458.0,386095.0,30873.0,31190.0,31855.0,31318.0,30852.0,27396.0,27367.0,0.0,5973.0,27338.0,492.0,2085838,1384576,924955,138839,1021975,30957.0
7,42563.0,32635.0,37516.0,42324.0,21818.0,40041.0,2539.0,74.0,33.0,41.0,23543.0,0.0,38410.0,38484.0,3299.0,0.0,359.0,5187.0,0.0,944.0,1246.0,522.0,134.0,14587.0,14721.0,10267.0,1140.0,72288.0,497395.0,38067.0,38095.0,38368.0,38184.0,38018.0,37670.0,37123.0,0.0,11362.0,26464.0,539.0,2345983,1501390,1169465,93196,1082520,38125.0
8,57293.0,40705.0,46250.0,58252.0,52245.0,23941.0,471.0,34.0,17.0,17.0,38013.0,0.0,51788.0,51822.0,2449.0,0.0,402.0,2341.0,0.0,936.0,1928.0,546.0,151.0,14034.0,14185.0,11040.0,269.0,67699.0,433887.0,53574.0,53781.0,54555.0,53435.0,53347.0,49546.0,49468.0,0.0,7354.0,48397.0,485.0,3622532,2645422,1212642,280659,2128273,54370.0
9,26830.0,20514.0,19765.0,25138.0,1126.0,14043.0,136.0,49.0,9.0,40.0,6688.0,0.0,24366.0,24415.0,921.0,0.0,135.0,1292.0,0.0,939.0,1116.0,341.0,83.0,9967.0,10050.0,4796.0,476.0,29858.0,227253.0,23052.0,23315.0,23733.0,23439.0,23975.0,23479.0,23409.0,0.0,3023.0,11108.0,206.0,1809817,1472308,521128,115894,1171562,24179.0
10,16662.0,13370.0,14082.0,16441.0,12608.0,17601.0,257.0,44.0,29.0,15.0,7647.0,0.0,14110.0,14154.0,1392.0,0.0,188.0,492.0,0.0,949.0,801.0,290.0,85.0,3831.0,3916.0,5763.0,286.0,21870.0,136620.0,13435.0,13425.0,14228.0,14008.0,14010.0,12689.0,12679.0,0.0,3907.0,14360.0,232.0,1024092,674690,488705,39024,495114,14873.0
