Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,6499.0,3580.0,2820.0,5535.0,4158.0,807.0,92.0,1103.0,17.0,1086.0,3138.0,2132.0,3138.0,4241.0,27.0,0.0,102.0,388.0,2483.0,848,159.0,996.0,72.0,1089.0,1161.0,2397.0,0.0,12139.0,34121.0,203.0,4972.0,6200.0,5519.0,5057.0,5440.0,6126.0,0.0,3018.0,0.0,45.0,355580,233775,103291,43084,209109,4142.0
2,14796.0,5085.0,6151.0,8752.0,20176.0,607.0,79.0,2872.0,26.0,2846.0,6215.0,2384.0,6215.0,9087.0,379.0,0.0,285.0,1217.0,3679.0,960,108.0,2026.0,358.0,1357.0,1715.0,906.0,0.0,50205.0,61963.0,523.0,10024.0,13011.0,10426.0,8956.0,8962.0,7468.0,67.0,254.0,562.0,171.0,661280,469334,176640,54028,429934,8802.0
3,15397.0,2846.0,3998.0,11730.0,29016.0,676.0,96.0,4166.0,166.0,4000.0,6913.0,2769.0,6913.0,11079.0,601.0,0.0,202.0,657.0,3531.0,917,97.0,1888.0,350.0,1011.0,1361.0,834.0,0.0,55695.0,156513.0,415.0,13430.0,15202.0,13916.0,13144.0,12561.0,11168.0,0.0,550.0,2874.0,24.0,841911,583754,248412,97907,495084,10877.0
4,25512.0,16960.0,17138.0,19982.0,32902.0,1746.0,83.0,3116.0,1025.0,2091.0,14355.0,4656.0,15662.0,18778.0,3143.0,35.0,379.0,3217.0,6897.0,872,566.0,2475.0,310.0,2771.0,3081.0,699.0,0.0,70617.0,217033.0,4056.0,27040.0,26522.0,25577.0,25043.0,24014.0,21977.0,0.0,27.0,90.0,166.0,1665496,1254034,496309,146224,1018796,18504.0
1,6329.0,4599.0,3452.0,5360.0,6098.0,1248.0,72.0,975.0,0.0,975.0,4216.0,3694.0,4216.0,5191.0,35.0,0.0,95.0,443.0,4304.0,950,1025.0,973.0,0.0,234.0,234.0,710.0,0.0,14291.0,52781.0,445.0,5384.0,6205.0,5158.0,4450.0,4169.0,3860.0,0.0,30.0,23.0,105.0,362975,247143,104921,44531,213448,5094.0
2,12348.0,4386.0,5598.0,8310.0,9458.0,1170.0,71.0,2591.0,52.0,2539.0,6169.0,5440.0,6169.0,8760.0,316.0,0.0,266.0,1169.0,7308.0,975,1661.0,1413.0,351.0,637.0,988.0,742.0,0.0,45028.0,91647.0,816.0,8671.0,11311.0,9513.0,8255.0,7704.0,5647.0,63.0,500.0,2143.0,162.0,671994,485774,179740,56735,434990,8602.0
3,16151.0,8186.0,9220.0,10905.0,12340.0,913.0,235.0,2911.0,0.0,2911.0,7940.0,7116.0,7940.0,10851.0,679.0,0.0,139.0,1459.0,9077.0,937,1954.0,1915.0,14.0,452.0,466.0,598.0,0.0,44056.0,160838.0,653.0,11392.0,13754.0,12434.0,11767.0,11138.0,10284.0,0.0,888.0,7574.0,70.0,853124,604058,251716,101283,499731,10727.0
4,37848.0,16854.0,18415.0,19616.0,27918.0,4365.0,197.0,2744.0,610.0,2134.0,18280.0,10535.0,18382.0,21126.0,4026.0,21.0,327.0,3314.0,18383.0,915,3893.0,3184.0,228.0,1829.0,2057.0,891.0,0.0,68183.0,287683.0,11005.0,25636.0,24045.0,23187.0,21923.0,20661.0,18968.0,30.0,2757.0,1574.0,294.0,1685339,1288832,505436,154946,1021709,20782.0
1,7235.0,4681.0,3436.0,4999.0,6745.0,1488.0,52.0,884.0,29.0,855.0,3959.0,605.0,3959.0,4843.0,29.0,0.0,114.0,541.0,4203.0,924,973.0,951.0,4.0,21.0,25.0,548.0,0.0,9925.0,50381.0,248.0,5708.0,6819.0,5531.0,4825.0,4781.0,4086.0,1.0,45.0,52.0,34.0,370524,261276,106577,46026,217877,4757.0
2,7976.0,2996.0,3762.0,5168.0,8557.0,636.0,6.0,1505.0,83.0,1422.0,2693.0,2340.0,2693.0,4198.0,4.0,0.0,148.0,343.0,3771.0,943,654.0,571.0,158.0,110.0,268.0,364.0,0.0,8950.0,53173.0,547.0,6511.0,8309.0,6871.0,5823.0,6612.0,3972.0,0.0,23.0,518.0,41.0,682882,502790,182894,59577,440105,4148.0
3,7768.0,4339.0,4037.0,5072.0,5940.0,609.0,51.0,1231.0,1.0,1230.0,2854.0,158.0,2854.0,4085.0,0.0,0.0,49.0,326.0,3735.0,944,1145.0,1123.0,21.0,4.0,25.0,191.0,0.0,11548.0,88227.0,514.0,5482.0,7233.0,6537.0,5826.0,5881.0,4343.0,0.0,0.0,0.0,10.0,864487,625068,255064,104775,504421,4052.0
4,19143.0,10266.0,10986.0,10963.0,11667.0,5289.0,50.0,1045.0,67.0,978.0,13585.0,9679.0,15365.0,16410.0,4862.0,1708.0,381.0,2856.0,13031.0,910,1895.0,1420.0,70.0,2501.0,2571.0,263.0,4.0,10544.0,147322.0,10798.0,16803.0,13336.0,12915.0,12275.0,11103.0,10414.0,4.0,5741.0,3484.0,9.0,1705419,1324597,514731,164187,1024630,16943.0
