Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,87133,33209,78784,61823.0,43304.0,0.0,0.0,14131.0,133.0,13998.0,39487.0,36531.0,42389,56520,2909,1291.0,1067,13170,0.0,907.0,507.0,120,2536,14366.0,16902.0,2292.0,11.0,487629,2660625,46979,65979,56038.0,51173.0,46985.0,54002,49957,138.0,0.0,0.0,1549,3470387,2069914,924652,528880,2013655,56432
2,148390,67507,96639,135382.0,79368.0,0.0,0.0,27057.0,0.0,27057.0,58250.0,0.0,96432,123489,7111,305.0,2346,15651,0.0,952.0,4276.0,6253,2644,30487.0,33131.0,7649.0,180.0,545906,3879093,91975,146092,105467.0,97034.0,90597.0,119741,79664,844.0,0.0,0.0,3100,7461156,4910029,2083776,679451,4694708,127975
3,88657,38369,55707,76625.0,61718.0,0.0,0.0,24851.0,0.0,24851.0,41470.0,0.0,42082,66933,3651,2729.0,1260,6173,0.0,921.0,1123.0,50,1436,21448.0,22884.0,3070.0,23.0,523431,2739145,50979,84430,62842.0,56453.0,54882.0,71057,66608,1774.0,0.0,0.0,1991,3348580,1955788,887702,377670,2081423,69049
4,31882,9463,24370,29610.0,10445.0,0.0,0.0,13987.0,0.0,13987.0,12315.0,0.0,12315,26302,1862,469.0,538,5221,0.0,840.0,1121.0,1380,721,3752.0,4473.0,1600.0,0.0,165753,1071150,20541,32428,28063.0,27036.0,25925.0,28480,23414,0.0,0.0,0.0,769,1622351,989177,509236,165201,947659,27898
5,41434,15821,24760,30259.0,38010.0,0.0,0.0,5707.0,304.0,5403.0,30298.0,0.0,30558,36265,3455,0.0,661,4817,0.0,938.0,238.0,1009,929,3800.0,4729.0,2383.0,0.0,56923,519896,18680,37662,32084.0,31441.0,30488.0,31888,27929,0.0,0.0,0.0,975,1772060,1214670,516043,129464,1124623,34079
6,107133,29189,57149,68613.0,32175.0,0.0,0.0,13966.0,502.0,13464.0,32288.0,0.0,32288,46254,3394,9557.0,741,9317,0.0,914.0,2165.0,5198,5184,8164.0,13348.0,3137.0,303.0,706627,3140007,41403,77063,59933.0,53549.0,50182.0,62400,60086,144.0,0.0,0.0,948,4669215,3375777,1409107,285791,2970014,64256
7,72475,24124,51718,67632.0,50570.0,0.0,0.0,26832.0,0.0,26832.0,27518.0,0.0,27518,54350,2657,1842.0,1055,7902,0.0,965.0,1376.0,2791,5156,5447.0,10603.0,5778.0,0.0,216435,1585391,51463,68401,58131.0,49471.0,46846.0,56171,41800,0.0,0.0,0.0,1425,3724858,2268397,1113664,332478,2278106,52901
8,63173,21222,37389,53254.0,22249.0,0.0,0.0,25475.0,0.0,25475.0,24942.0,0.0,24942,50417,1716,1659.0,947,7666,0.0,909.0,254.0,798,1442,13402.0,14844.0,6075.0,0.0,729942,4117460,25751,60930,47838.0,41036.0,37021.0,54056,36898,20.0,0.0,0.0,1564,2712482,1697159,844483,232453,1635401,52567
9,148882,61431,98784,53025.0,99749.0,0.0,0.0,227.0,116.0,111.0,69221.0,0.0,69221,69448,21085,6381.0,2151,21181,0.0,933.0,1791.0,9747,4861,15755.0,20616.0,2435.0,2712.0,162279,1400601,66329,80304,43873.0,38079.0,33967.0,46000,40625,0.0,0.0,0.0,2777,4519414,3525042,1590480,170071,2746314,80139
10,99203,43528,53531,81551.0,61973.0,0.0,0.0,53294.0,2.0,53292.0,30903.0,0.0,31381,84675,1427,1288.0,1365,8702,0.0,949.0,1603.0,1167,1272,13311.0,14583.0,3330.0,50.0,247149,1586185,50481,95099,73114.0,63085.0,56677.0,78456,62656,698.0,0.0,0.0,1672,3765046,1823908,1025103,449662,2288413,86702
