Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Panchkula *,468411,297795,150353,28291,289767
Ambala,1014411,662789,275648,48873,689890
Yamunanagar,1041630,638711,280728,55805,705097
Kurukshetra,825454,494873,250596,57796,517062
Kaithal,946131,472563,268127,103884,574120
Karnal,1274183,732609,355466,99989,818728
Panipat,967449,559478,289013,93788,584648
Sonipat,1279175,788105,383449,139582,756144
Jind,1189827,622654,372049,149897,667881
Fatehabad *,806158,392178,261623,101352,443183
Sirsa,1116649,574624,363946,111625,641078
Hisar,1537117,842302,516817,148755,871545
Bhiwani,1425022,809896,425210,184110,815702
Rohtak,940128,592485,288225,82848,569055
Jhajjar *,880072,541635,276208,112507,491357
Mahendragarh,812521,478296,204704,147160,460657
Rewari,765351,488190,204855,128767,431729
Gurgaon,1660289,834693,464644,165014,1030631
Faridabad,2194586,1269801,609663,176099,1408824
