Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Chamba,460887,246169,128452,102000,230435
Kangra,1339030,940505,336649,252345,750036
Lahul & Spiti,33224,21609,19209,1879,12136
Kullu,381571,239649,166715,49798,165058
Mandi,901344,587884,269076,185216,447052
Hamirpur,412700,298498,119870,85535,207295
Una,448273,312278,119050,82608,246615
Bilaspur,340885,231733,110652,56056,174177
Solan,500557,332410,172274,91171,237112
Sirmaur,458593,274643,175913,49959,232721
Shimla,722502,504330,305709,64514,352279
Kinnaur,78334,51913,40313,7498,30523
