Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Garhwa *,1035464,317078,231057,171864,632543
Palamu,2098359,750293,444921,348737,1304701
Chatra *,791434,270256,188843,110265,492326
Hazaribagh,2277475,1069890,532895,257154,1487426
Kodarma *,499403,207495,109394,65616,324393
Giridih,1904430,667385,340925,303719,1259786
Deoghar,1165390,469652,283711,149003,732676
Godda,1047939,363825,238694,183247,625998
Sahibganj,927770,275829,278407,109638,539725
Pakaur *,701664,170931,209435,100140,392089
Dumka,1759602,690834,470354,308024,981224
Dhanbad,2397102,1348584,492501,171557,1733044
Bokaro *,1777662,923150,336131,173179,1268352
Ranchi,2785064,1500541,750962,325942,1708160
Lohardaga,364521,156710,100918,52455,211148
Gumla,1346767,568234,446953,211968,687846
Pashchimi Singhbhum,2082795,857301,535154,382603,1165038
Purbi Singhbhum,1982988,1169213,455527,237137,1290324
