Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Bargarh  *,1346336,749820,384710,208820,752806
Jharsuguda  *,509716,312880,133148,56445,320123
Sambalpur,935613,544861,282174,139172,514267
Debagarh  *,274108,139877,69848,56412,147848
Sundargarh,1830673,1015485,480134,258669,1091870
Kendujhar,1561990,780918,395160,226066,940764
Mayurbhanj,2223456,964860,618457,409340,1195659
Baleshwar,2024508,1219495,483345,161788,1379375
Bhadrak  *,1333749,842855,301570,83549,948630
Kendrapara *,1302005,865643,293565,94731,913709
Jagatsinghapur  *,1057629,737848,247726,82247,727656
Cuttack,2341094,1574742,613883,180151,1547060
Jajapur  *,1624341,1004464,347328,99197,1177816
Dhenkanal,1066878,639363,261875,94638,710365
Anugul  *,1140003,671433,299052,154518,686433
Nayagarh  *,864516,529840,205676,82377,576463
Khordha  *,1877395,1310867,480247,94816,1302332
Puri,1502682,1024523,373481,77059,1052142
Ganjam,3160635,1631722,819726,486206,1854703
Gajapati  *,518837,175850,179992,95542,243303
Kandhamal,648201,279705,176128,130081,341992
Baudh  *,373372,180321,105794,64967,202611
Sonapur  *,541835,291931,148695,88285,304855
Balangir,1337194,638048,351689,208061,777444
Nuapada  *,530690,187412,131561,112799,286330
Kalahandi,1335494,513383,382050,238900,714544
Rayagada  *,831109,247829,249909,149275,431925
Nabarangapur  *,1025766,284538,264800,242595,518371
Koraput,1180637,350044,353367,217068,610202
Malkangiri  *,504198,126498,154179,93445,256574
