Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Saharanpur,2896863,1444013,692341,125187,2079335
Muzaffarnagar,3543362,1738529,899536,273617,2370209
Bijnor,3131619,1461119,708265,176216,2247138
Moradabad,3810983,1358935,993623,188373,2628987
Rampur,1923739,591351,457175,87236,1379328
Jyotiba Phule Nagar *,1499068,592056,382742,95361,1020965
Meerut,2997361,1606469,737166,158690,2101505
Baghpat *,1163991,615873,289862,90448,783681
Ghaziabad,3290586,1899735,799884,138367,2352335
Gautam Buddha Nagar *,1202030,675669,308884,54930,838216
Bulandshahar ,2913122,1408082,786708,387097,1739317
Aligarh,2992286,1420604,697481,218817,2075988
Hathras *,1336031,675483,295388,96582,944061
Mathura,2074516,1025566,538167,232751,1303598
Agra,3620436,1852919,814102,170203,2636131
Firozabad,2052958,1065525,455028,103913,1494017
Etah,2790410,1220398,659834,142584,1987992
Mainpuri,1596718,842119,365115,74083,1157520
Budaun,3069426,924643,768945,153155,2147326
Bareilly,3618589,1387124,862821,232260,2523508
Pilibhit,1645183,657860,360300,101039,1183844
Shahjahanpur,2547855,1004296,615499,114026,1818330
Kheri,3207232,1244189,838041,170511,2198680
Sitapur,3619661,1404443,923925,201584,2494152
Hardoi,3398306,1420161,904115,193546,2300645
Unnao,2700324,1215090,685498,240837,1773989
Lucknow,3647834,2129942,900181,186219,2561434
Rae Bareli,2872335,1259547,660527,362979,1848829
Farrukhabad,1570408,780747,380901,81952,1107555
Kannauj *,1388923,698434,347072,110519,931332
Etawah,1338871,766407,298612,69997,970262
Auraiya *,1179993,680440,285149,103111,791733
Kanpur Dehat,1563336,852350,377230,135981,1050125
Kanpur Nagar,4167999,2659833,1040278,207555,2920166
Jalaun ,1454452,782033,356090,166791,931571
Jhansi,1744931,958769,466903,179104,1098924
Lalitpur,977734,384491,289137,133228,555369
Hamirpur,1043724,490606,270959,137741,635024
Mahoba *,708447,305662,204026,95746,408675
Banda,1537334,670986,412443,206918,917973
Chitrakoot *,766225,392997,224429,99527,442269
Fatehpur,2308384,1062431,594435,275177,1438772
Pratapgarh,2731174,1278271,578632,337154,1815388
Kaushambi *,1293154,481756,325303,181430,786421
Allahabad ,4936105,2506942,1106598,564751,3264756
Barabanki,2673581,1023004,724352,259399,1689830
Faizabad,2088928,960361,527901,295816,1265211
Ambedkar Nagar *,2026876,954537,442210,235770,1348896
Sultanpur,3214832,1448422,679114,353406,2182312
Bahraich,2381072,665826,632957,211363,1536752
Shrawasti *,1176391,318353,338879,147596,689916
Balrampur *,1682350,464587,501620,212439,968291
Gonda,2765586,949342,697223,241871,1826492
Siddharthnagar,2040085,678900,493431,283056,1263598
Basti,2084814,880827,483455,251721,1349638
Sant Kabir Nagar *,1420226,573384,295045,194025,931156
Mahrajganj,2173878,799890,479400,371113,1323365
Gorakhpur,3769456,1798769,692824,443471,2633161
Kushinagar *,2893196,1082779,574887,415236,1903073
Deoria,2712650,1288320,465463,308439,1938748
Azamgarh,3939916,1790357,770269,429573,2740074
Mau,1853997,919974,396864,202536,1254597
Ballia,2761620,1298700,504543,289892,1967185
Jaunpur,3911679,1871674,789047,426468,2696164
Ghazipur,3037582,1444871,647379,306133,2084070
Chandauli *,1643251,785284,339953,187680,1115618
Varanasi,3138671,1694405,770799,211255,2156617
Sant Ravidas Nagar Bhadohi *,1353705,625404,271578,117056,965071
Mirzapur,2116042,935101,498926,215813,1401303
Sonbhadra,1463519,571318,360180,177755,925584
