Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Uttarkashi,295013,161161,114842,21062,159109
Chamoli,370359,237354,96900,67829,205630
Rudraprayag *,227439,141078,76068,25965,125406
Tehri Garhwal,604747,337816,181205,83510,340032
Dehradun,1282143,876441,336504,63971,881668
Garhwal,697078,461675,171647,98224,427207
Pithoragarh,462289,296362,124062,74647,263580
Bageshwar,249462,148464,85613,33231,130618
Almora,630567,392640,204649,87533,338385
Champawat,224542,129947,56165,34043,134334
Nainital,762909,508731,220995,57952,483962
Udham Singh Nagar *,1235614,659165,300141,92015,843458
Hardwar,1447187,754948,353556,71707,1021924
