Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Adilabad,2741239,1483347,1066460,257207,1417572
Nizamabad,2551335,1389810,1055965,205111,1290259
Karimnagar,3776269,2206829,1590304,286464,1899501
Medak,3033288,1637137,1195494,246709,1591085
Hyderabad,3943323,2892155,1096081,317216,2530026
Rangareddy,5296741,3538028,1834777,361301,3100663
Mahbubnagar,4053028,1940646,1815643,266858,1970527
Nalgonda,3488809,2001019,1493419,248274,1747116
Warangal,3512576,2065023,1442197,263458,1806921
Khammam,2797370,1630234,1215871,194191,1387308
Srikakulam,2703114,1495381,936244,354044,1412826
Vizianagaram,2344474,1238388,953215,204747,1186512
Visakhapatnam,4290589,2568249,1481139,408740,2400710
East Godavari,5154296,3288577,1748117,345564,3060615
West Godavari,3936966,2652389,1534166,238946,2163854
Krishna,4517398,3009718,1744978,303902,2468518
Guntur,4887813,2960441,2106326,275298,2506189
Prakasam,3397448,1904435,1463508,237059,1696881
Sri Potti Sriramulu Nellore,2963557,1832189,1076544,238017,1648996
Y.S.R.,2882469,1716766,1079903,240501,1562065
Kurnool,4053463,2127161,1757520,271905,2024038
Anantapur,4081148,2310960,1679655,356511,2044982
Chittoor,4174064,2667878,1669852,263505,2240707
