Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kokrajhar,887142,489305,253110,88021,546011
Dhubri,1949258,922341,504998,164821,1279439
Goalpara,1008183,563577,266376,96197,645610
Barpeta,1693622,897058,439453,122371,1131798
Morigaon,957423,539902,260968,90180,606275
Nagaon,2823768,1710716,734993,245005,1843770
Sonitpur,1924110,1108572,558325,212281,1153504
Lakhimpur,1042137,683486,283533,146462,612142
Dhemaji,686133,423028,201364,115436,369333
Tinsukia,1327929,798322,410188,147008,770733
Dibrugarh,1326335,884531,391597,168960,765778
Sivasagar,1151050,813505,318950,166767,665333
Jorhat,1092256,794929,338635,159983,593638
Golaghat,1066888,721764,331210,148718,586960
Karbi Anglong,956313,557214,260482,122959,572872
Dima Hasao,214102,140873,68297,16731,129074
Cachar,1736617,1174128,471259,136803,1128555
Karimganj,1228686,795297,293392,105779,829515
Hailakandi,659296,407366,165193,49047,445056
Bongaigaon,738804,434078,191671,64135,482998
Chirang,482162,259902,139027,54867,288268
Kamrup,1517542,995319,421244,207710,888588
Kamrup Metropolitan,1253938,1001191,413154,77778,763006
Nalbari,771639,531771,196773,70850,504016
Baksa,950075,572837,278297,128459,543319
Darrang,928500,487039,241456,83387,603657
Udalguri,831668,469926,253178,91852,486638
