Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Sheopur ,687861,328025,196189,81266,410406
Morena,1965970,1179685,520970,155023,1289977
Bhind,1703005,1094917,422111,98657,1182237
Gwalior,2032036,1357210,559845,125466,1346725
Datia,786754,491445,247229,73931,465594
Shivpuri,1726050,900846,577723,181558,966769
Tikamgarh,1445166,747940,470432,184886,789848
Chhatarpur,1762375,943033,553862,197935,1010578
Panna,1016520,552559,276633,155365,584522
Sagar,2378458,1545719,779093,226942,1372423
Damoh,1264219,747715,389993,184602,689624
Satna,2228935,1371781,612510,298839,1317586
Rewa,2365106,1441757,630251,361695,1373160
Umaria,644758,356672,138600,151091,355067
Neemuch ,826067,508834,358500,60182,407385
Mandsaur,1340411,834591,535066,144657,660688
Ratlam,1455069,825880,471139,219841,764089
Ujjain,1986864,1240990,682115,215327,1089422
Shajapur,1512681,894612,508833,209038,794810
Dewas,1563715,925369,528526,214150,821039
Dhar,2185793,1077338,783019,244955,1157819
Indore,3276697,2309130,1137251,130944,2008502
Khargone (West Nimar),1873046,986234,756735,137384,978927
Barwani ,1385881,549926,525791,128106,731984
Rajgarh,1545814,804245,471773,273830,800211
Vidisha,1458875,862918,397283,153119,908473
Bhopal,2371061,1660690,706036,161421,1503604
Sehore,1311332,780362,372150,213937,725245
Raisen,1331597,820220,370241,147597,813759
Betul,1575362,939769,511287,275693,788382
Harda ,570465,352550,163781,67198,339486
Hoshangabad,1241350,810644,361648,116434,763268
Katni ,1292042,790773,316144,227730,748168
Jabalpur,2463289,1756468,744287,261337,1457665
Narsimhapur,1091854,718785,358203,119615,614036
Dindori ,704524,378714,250137,139788,314599
Mandla,1054905,604962,325159,234490,495256
Chhindwara,2090922,1294198,673845,284139,1132938
Seoni,1379131,864194,397575,286859,694697
Balaghat,1701698,1147623,530506,362508,808684
Guna,1241519,653980,353671,161226,726622
Ashoknagar,845071,469109,241288,73982,529801
Shahdol,1066063,604194,240811,252246,573006
Anuppur,749237,436595,227040,119431,402766
Sidhi,1127033,600785,275482,186278,665273
Singrauli,1178273,585054,348393,151046,678834
Jhabua,1025048,352081,370641,144480,509927
Alirajpur,728999,209754,265029,101768,362202
Khandwa (East Nimar),1310061,731615,492393,120583,697085
Burhanpur,757847,408679,274900,53439,429508
