Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Nandurbar,1648295,906509,664193,127872,856230
Dhule,2050862,1293916,825875,110495,1114492
Jalgaon,4229917,2891882,1643955,219616,2366346
Buldana,2586258,1879874,1107542,112099,1366617
Akola,1813906,1411281,691025,77129,1045752
Washim,1197160,869917,502755,67037,627368
Amravati,2888445,2251875,1061544,174778,1652123
Wardha,1300774,1019458,529623,78612,692539
Nagpur,4653570,3673808,1654778,213782,2785010
Bhandara,1200334,899860,413838,183467,603029
Gondiya,1322507,1004243,433962,231457,657088
Gadchiroli,1072942,708365,392886,191351,488705
Chandrapur,2204307,1578615,804433,253739,1146135
Yavatmal,2772348,2022574,1195100,160899,1416349
Nanded,3361292,2189425,1317791,176162,1867339
Hingoli,1177345,790743,514371,54811,608163
Parbhani,1836086,1157814,756417,66380,1013289
Jalna,1959046,1195523,844492,86394,1028160
Aurangabad,3701282,2503837,1446636,128443,2126203
Nashik,6107187,4345366,2523023,240305,3343859
Thane,11060148,8227161,3930511,562256,6567381
Mumbai Suburban,9356962,7575485,3515922,219099,5621941
Mumbai,3085411,2509022,1209334,75062,1801015
Raigarh,2634200,1939994,858825,214144,1561231
Pune,9429408,7171723,3751221,297772,5380415
Ahmadnagar,4543159,3151890,2039455,165135,2338569
Bid,2585049,1718507,1154708,100840,1329501
Latur,2454196,1650672,964177,82680,1407339
Osmanabad,1657576,1137810,701894,72022,883660
Solapur,4317756,2910676,1763175,135220,2419361
Satara,3003741,2225694,1184407,170540,1648794
Ratnagiri,1615069,1199392,554973,159103,900993
Sindhudurg,849651,666067,226538,120640,502473
Kolhapur,3876001,2825845,1508563,195491,2171947
Sangli,2822143,2049467,1074948,140156,1607039
