Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Mon,250260,119626,104981,42673,102606
Mokokchung,194622,159494,81046,19021,94555
Zunheboto,140757,102881,49382,30084,61291
Wokha,166343,128208,63512,14900,87931
Dimapur ,378811,278037,122358,28992,227461
Phek,163418,105893,63645,16632,83141
Tuensang,196596,117511,73518,24636,98442
Longleng,50484,29859,20944,9624,19916
Kiphire,74004,41232,25830,6129,42045
Kohima,267988,197489,99408,15417,153163
Peren,95219,62204,36555,24835,33829
