Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Bargarh,1481255,983783,474390,287702,719163
Jharsuguda,579505,405879,172069,75638,331798
Sambalpur,1041099,703691,336854,168986,535259
Debagarh,312520,197819,83408,82027,147085
Sundargarh,2093437,1342322,535112,338115,1220210
Kendujhar,1801733,1052518,442497,324017,1035219
Mayurbhanj,2519738,1369397,548390,675144,1296204
Baleshwar,2320529,1621232,618064,314643,1387822
Bhadrak,1506337,1094140,328097,140502,1037738
Kendrapara ,1440361,1089265,322265,144625,973471
Jagatsinghapur ,1136971,889027,290170,113479,733322
Cuttack,2624470,2011469,696274,240091,1688105
Jajapur  ,1827192,1290455,407564,144670,1274958
Dhenkanal,1192811,829910,277338,158195,757278
Anugul  ,1273821,869456,317547,208973,747301
Nayagarh  ,962789,688362,229076,114557,619156
Khordha ,2251673,1749936,632625,159568,1459480
Puri,1698730,1291939,450536,171140,1077054
Ganjam,3529031,2210050,900744,601028,2027259
Gajapati,577817,262537,170371,123562,283884
Kandhamal,733110,399786,167112,188237,377761
Baudh,441162,271612,123724,95733,221705
Subarnapur,610183,398421,170218,116443,323522
Balangir,1648997,927260,402227,318374,928396
Nuapada,610382,299383,151694,153744,304944
Kalahandi,1576869,802036,376757,375173,824939
Rayagada  ,967911,407735,227815,239307,500789
Nabarangapur ,1220946,470379,279115,331791,610040
Koraput,1379647,568090,396460,296946,686241
Malkangiri  ,613192,244706,179030,131636,302526
