Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Gurdaspur,2298323,1634719,625778,131360,1541185
Kapurthala ,815168,576567,248208,35957,531003
Jalandhar,2193590,1622537,689592,84880,1419118
Hoshiarpur,1586625,1199699,411011,88811,1086803
Shahid Bhagat Singh Nagar ,612310,438459,173507,30822,407981
Fatehgarh Sahib,600163,426033,192845,21938,385380
Ludhiana,3498739,2560225,1138654,146168,2213917
Moga,995746,627889,304880,54292,636574
Firozpur,2029074,1227511,618362,138333,1272379
Muktsar,901896,524848,287205,48121,566570
Faridkot,617508,381285,190415,31140,395953
Bathinda,1388525,844868,452678,97308,838539
Mansa,769751,423560,247175,81337,441239
Patiala,1895686,1266791,570391,89876,1235419
Amritsar ,2490656,1684770,787254,130602,1572800
Tarn Taran,1119627,666162,316310,64392,738925
Rupnagar,684627,502731,194209,39467,450951
Sahibzada Ajit Singh Nagar,994628,736575,316236,39759,638633
Sangrur,1655169,1002077,499792,68966,1086411
Barnala,595527,359831,186434,22897,386196
