Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Uttarkashi,330086,215126,128367,28909,172810
Chamoli,391605,280556,115115,65825,210665
Rudraprayag,242285,170933,78950,34082,129253
Tehri Garhwal,618931,407994,165912,114530,338489
Dehradun,1696694,1259506,488161,94607,1113926
Garhwal,687271,494889,164439,109713,413119
Pithoragarh,483439,345550,145481,71009,266949
Bageshwar,259898,179483,78085,45553,136260
"Almora
",622506,436497,201078,97133,324295
Champawat,259648,177726,62698,36868,160082
Nainital,954605,696500,296424,79757,578424
Udham Singh Nagar,1648902,1037839,450762,140696,1057444
Hardwar,1890422,1178354,495152,82969,1312301
