Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Darjiling ,1846823,1315585,532855,150871,1163097
Jalpaiguri ,3872846,2498780,1153765,359145,2359936
Koch Bihar ,2819086,1850504,886357,241620,1691109
Uttar Dinajpur,3007134,1489667,824342,251284,1931508
Dakshin Dinajpur,1676276,1083685,526470,176517,973289
Maldah ,3988845,2086432,1050995,486852,2450998
Murshidabad ,7103807,4055834,2022083,567824,4513900
Birbhum,3502404,2158447,912844,418759,2170801
Barddhaman ,7717563,5247208,2166742,744509,4806312
Nadia ,5167600,3480555,1595880,246727,3324993
North Twenty Four Parganas,10009781,7608693,3055630,515994,6438157
Hugli ,5519145,4078388,1714645,438225,3366275
Bankura ,3596674,2232992,916393,549827,2130454
Puruliya,2930115,1624905,613398,636244,1680473
Haora ,4850029,3605206,1496267,323578,3030184
Kolkata,4496694,3588137,1576419,219321,2700954
South Twenty Four Parganas,8161961,5531657,2003685,960809,5197467
Paschim Medinipur,5913457,4078412,1510548,998611,3404298
Purba Medinipur,5095875,3923194,1127312,783008,3185555
