Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
medak,3233009,1935638,1269573,253533,1710651
vizianagaram,2393585,1379852,974315,181071,1246481
chittoor,4406177,2953389,1784188,251054,2375939
eastgodavari,5285585,3559053,1818848,356101,3111564
nizamabad,2660825,1602946,1100679,214415,1345731
guntur,5113922,3250300,2235531,255181,2630539
anantapur,4321099,2637552,1794698,384612,2142567
cuddapah,0,0,0,0,0
srikakulam,2789880,1657161,970886,366054,1453001
warangal,3653962,2349122,1532363,251647,1874063
khammam,2913435,1848523,1315092,188977,1414463
westgodavari,4005436,2754814,1591450,232385,2183453
mahbubnagar,4352839,2355270,2009366,236104,2127416
hyderabad,4001364,3030025,1129435,603836,2444612
karimnagar,3927067,2543645,1660349,305059,1962082
krishna,4691777,3276227,1836474,324732,2532024
prakasam,3580217,2123254,1548790,240266,1791789
visakhapatnam,4539871,2908636,1577579,479361,2491142
nalgonda,3615838,2240830,1595210,231417,1795993
rangareddi,0,0,0,0,0
kurnool,4343932,2458700,1902033,286667,2155744
adilabad,2877364,1713068,1153057,284003,1444742
nellore,0,0,0,0,0
