Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dibangvalley,9752,5330,3136,1167,5419
westkameng,82961,47284,34111,7482,41330
uppersiang,35119,17650,14608,2937,17528
changlang,145770,70619,50603,12060,83025
westsiang,111409,63245,42340,6183,62866
tirap,110751,46268,44216,5839,60659
lohit,145504,80980,50783,10098,84619
papumpare,170164,114593,49710,13308,106961
eastkameng,76216,35705,26741,4300,45100
lowersubansiri,84438,51893,23837,7571,52829
tawang,48743,24725,23712,4073,20951
eastsiang,97963,60340,33110,6371,58455
uppersubansiri,80090,42197,25209,6433,48022
