Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
tinsukia,1386471,874885,430243,157630,798938
marigaon,0,0,0,0,0
northcacharhills,0,0,0,0,0
bongaigaon,695211,432357,180745,65379,449977
barpeta,1707801,945547,449176,126850,1132303
cachar,1835109,1305517,508880,149875,1177659
kamrup,1302994,861885,362053,231625,734027
sibsagar,0,0,0,0,0
nagaon,2997321,1919395,794837,277663,1928620
darrang,803367,439669,206841,74106,522575
golaghat,1105983,779961,352188,159106,596053
jorhat,1121820,840324,356579,170553,596293
sonitpur,2003497,1208867,589709,227132,1187591
lakhimpur,1093025,747811,282191,131512,700110
hailakandi,698868,464218,174269,51506,473118
dhubri,2053941,1036377,541899,212054,1315242
karbianglong,1003929,623754,269816,131282,603026
kokrajhar,881630,526392,258886,84695,538753
dibrugarh,1371910,949604,407580,182905,782474
dhemaji,724644,466829,217628,122494,384918
goalpara,1071850,631993,286103,108708,678111
karimganj,1303881,888282,313583,120624,871111
nalbari,684797,498871,174859,65452,444731
