Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
sitamarhi,3182060,1213266,741568,272262,2152570
madhepura,1845483,684722,459298,280051,1094454
jamui,1643066,719453,428801,256065,957420
samastipur,3980544,1805751,887714,359211,2725094
kishanganj,1561022,574643,376865,109581,1068307
jehanabad,1230144,634958,294064,125514,808286
khagaria,1540044,638144,314138,209950,1008547
purbachamparan,4719576,1862126,1099523,470099,3131273
nalanda,2715066,1346720,728421,269661,1714153
pashchimchamparan,3643133,1454261,810213,539813,2270234
patna,5477126,3120764,1304804,418776,3744546
kaimur(bhabua),1516839,793651,292835,191764,1026579
bhojpur,2572726,1418743,505896,255386,1804831
rohtas,2796954,1595840,543125,314590,1930357
lakhisarai,936625,434841,208875,103243,619983
saran,3726268,1873390,573532,385990,2743422
nawada,2087429,946384,508336,256383,1316078
muzaffarpur,4456883,2124582,905937,477803,3044246
gopalganj,2431633,1180618,391534,292743,1730312
bhagalpur,2838594,1358855,547702,387667,1894283
gaya,4093085,1982616,1003260,510407,2555621
saharsa,1773247,683050,377171,248380,1140188
aurangabad,2368912,1275084,479113,297876,1585096
sheohar,610564,231691,136451,57572,412386
buxar,1608826,869320,321423,169359,1112913
purnia,3029248,1098423,778173,295516,1943058
siwan,3132225,1638526,476421,373869,2265464
darbhanga,3732788,1591007,740254,409784,2571266
munger,1294277,717767,233487,157523,898470
madhubani,4191678,1806157,1010857,488213,2689201
araria,2597264,967247,684484,307797,1597263
vaishali,3241230,1627701,687213,272712,2272796
banka,1896304,814224,383284,337486,1168048
katihar,2849455,1047100,666597,307697,1869238
begusarai,2768662,1314403,585662,281984,1892796
supaul,2066784,835555,488133,328715,1236271
sheikhpura,600835,284030,149044,64399,385644
