Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
durg,3462141,2421470,1261820,313266,1889768
korba,1249891,805901,360808,180822,708541
jashpur,875202,518230,297612,210893,368242
dantewada,0,0,0,0,0
rajnandgaon,1593651,1050172,603639,240246,759619
bastar,1435524,694128,392384,343102,701006
raigarh,1544403,998990,496495,212975,835140
surguja,2446153,1263296,626165,571493,1252144
bilaspur,2821200,1736745,872562,416738,1534395
raipur,4313352,2864920,1328915,550670,2436453
kanker,0,0,0,0,0
koriya,674479,419077,171352,142673,361690
dhamtari,819844,570632,350689,64339,406444
mahasamund,1071200,673962,349394,170199,552333
janjgirchampa,1688022,1092963,472679,455822,779748
kawardha,0,0,0,0,0
