Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
gandhinagar,1403504,1063590,448920,82266,872989
ahmadabad,7531734,5776132,2456706,274471,4801404
sabarkantha,2504416,1675784,824706,292158,1388118
porbandar,595687,411324,200124,34671,361181
dohad,2241622,1121598,565554,476815,1201698
patan,1378479,896069,457150,103566,820154
rajkot,3945994,2889233,1380943,151591,2415081
panchmahals,2471438,1542093,699672,423757,1348679
surendranagar,1808914,1169755,602476,137451,1069413
bharuch,1589845,1174372,538743,100471,950896
junagadh,2806196,1944483,977733,174823,1656161
mahesana,2076967,1574881,705707,105289,1270870
valsad,1771734,1253025,593383,170001,1008899
kheda,2359369,1759083,727812,211464,1422223
surat,6325392,4907457,2500414,139464,3691290
jamnagar,2215272,1469197,742438,129623,1343262
narmada,606769,397646,197628,104957,304275
kachchh,2212370,1371642,732524,86051,1396783
bhavnagar,2970370,2012431,1040731,157529,1773849
vadodara,4279106,3048240,1394677,336233,2548602
thedangs,237653,154346,92542,31541,113619
amreli,1539462,1042569,541838,127435,870447
banaskantha,3260879,1882947,1052886,231796,1980483
navsari,1350673,1043089,521320,80609,749049
anand,2143399,1634788,705490,152417,1286426
