Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kurukshetra,935052,613147,278465,52190,603958
kaithal,1047350,607242,286009,87007,673100
sonipat,1414101,952206,394063,128945,889852
yamunanagar,1177541,789496,326468,51281,799468
jind,1303950,785713,383050,139952,779903
hisar,1700453,1053655,528313,157995,1013381
rohtak,1035801,713612,288804,61442,683267
karnal,1455963,923102,399653,103604,952526
sirsa,1257331,735936,391861,104534,760120
bhiwani,1590232,1011931,441504,178666,968853
jhajjar,942199,646763,252139,85712,600872
fatehabad,913122,519686,281152,86237,544247
panipat,1153562,734783,328367,77005,746190
ambala,1104581,784311,310184,51882,742455
panchkula,541348,381083,175817,28576,336883
rewari,871553,603949,240406,94536,533586
faridabad,1880884,1272150,516325,97322,1264264
gurgaon,1542540,1049331,482793,70774,981603
mahendragarh,899052,596420,210839,130123,556558
