Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
mandi,979265,694268,281072,264041,431022
una,505701,380459,131243,81209,292943
sirmaur,514767,343035,190165,77274,246264
lahul&spiti,31889,21797,15920,3511,12242
kullu,426007,292674,188110,69255,168060
kangra,1474201,1106693,318335,336240,817195
bilaspur,373363,275456,104816,90820,175701
chamba,506881,306558,121346,156661,226112
hamirpur,446024,345289,124870,108975,211716
shimla,794825,589261,310548,105395,376714
solan,563410,407341,208916,81709,272066
kinnaur,82930,58830,45410,9053,28363
